accession	monosaccharide
G00167VE	HexNAc
G00167VE	Man
G00167VE	dHex
G00171RJ	Fuc
G00171RJ	Gal
G00171RJ	GlcNAc
G00171RJ	Hex
G00171RJ	HexNAc
G00171RJ	Man
G00171RJ	NeuAc
G00171RJ	Sia
G00171RJ	dHex
G00175GT	Gal
G00175GT	GlcNAc
G00175GT	Hex
G00175GT	HexNAc
G00176HZ	Fuc
G00176HZ	GlcNAc
G00176HZ	Hex
G00176HZ	HexNAc
G00176HZ	Man
G00176HZ	dHex
G00185NL	Fuc
G00185NL	Gal
G00185NL	GalNAc
G00185NL	Glc
G00185NL	GlcNAc
G00185NL	Hex
G00185NL	HexNAc
G00185NL	dHex
G00186OS	Fuc
G00186OS	Gal
G00186OS	GlcNAc
G00186OS	Hex
G00186OS	HexNAc
G00186OS	Man
G00186OS	dHex
G00194GV	HexNAc
G00194GV	dHex
G00194ZL	GlcA
G00194ZL	HexA
G00194ZL	Pent
G00194ZL	S
G00194ZL	Xyl
G00199JR	GlcNAc
G00199JR	Hex
G00199JR	HexNAc
G00199JR	Man
G00204EX	Gal
G00204EX	Glc
G00204EX	GlcNAc
G00204EX	Hex
G00204EX	HexNAc
G00204EX	Man
G00207YQ	Gal
G00207YQ	GlcNAc
G00207YQ	Hex
G00207YQ	HexNAc
G00207YQ	Man
G00211WY	Fuc
G00211WY	Gal
G00211WY	GlcNAc
G00211WY	Hex
G00211WY	HexNAc
G00211WY	Man
G00211WY	NeuAc
G00211WY	Sia
G00211WY	dHex
G00212ZT	GlcNAc
G00212ZT	Hex
G00212ZT	HexNAc
G00212ZT	Man
G00219DO	Fuc
G00219DO	Gal
G00219DO	GalNAc
G00219DO	GlcNAc
G00219DO	Hex
G00219DO	HexNAc
G00219DO	Man
G00219DO	dHex
G00219VH	GalNAc
G00219VH	GlcNAc
G00219VH	HexNAc
G00221CZ	Gal
G00221CZ	GlcNAc
G00221CZ	Hex
G00221CZ	HexNAc
G00221CZ	Man
G00222MO	Fuc
G00222MO	Hex
G00222MO	HexNAc
G00222MO	dHex
G00227RN	Fuc
G00227RN	Gal
G00227RN	GlcNAc
G00227RN	Hex
G00227RN	HexNAc
G00227RN	Man
G00227RN	NeuAc
G00227RN	Sia
G00227RN	dHex
G00229TF	Hex
G00229TF	HexNAc
G00229TF	HexNAc+aldi
G00229TF	aldi
G00229TF	dHex
G00229VQ	Hex
G00229VQ	Hex+aldi
G00229VQ	HexNAc
G00229VQ	aldi
G00230CO	Fuc
G00230CO	GalNAc
G00230CO	GlcNAc
G00230CO	Hex
G00230CO	HexNAc
G00230CO	Man
G00230CO	S
G00230CO	dHex
G00230IL	Fuc
G00230IL	Gal
G00230IL	GalNAc
G00230IL	GalNAc+aldi
G00230IL	GlcNAc
G00230IL	Hex
G00230IL	HexNAc
