HexNAc(6)Hex(7)dHex(1)NeuAc(2) % 3081.094742, G32926LW
HexNAc(6)Hex(7)dHex(3)NeuAc(1) % 3082.115143, G73918EY
HexNAc(8)Hex(9) % 3083.110392, G39471UU
HexNAc(6)Hex(7)dHex(5) % 3083.135544, G78811TO
HexNAc(7)Hex(7)NeuAc(1)Sulpho(3) % 3086.891233, G94070IL
HexNAc(6)Hex(7)NeuAc(2)Sulpho(2) % 3094.950463, G41879GR
HexNAc(6)Hex(8)NeuAc(2) % 3097.089657, G63332OE
HexNAc(7)Hex(6)dHex(1)NeuAc(2) % 3122.121291, G74160PK
HexNAc(6)Hex(11)dHex(1) % 3147.115203, G19512II
HexNAc(5)Hex(6)NeuAc(4) % 3152.095471, G70389OA
HexNAc(5)Hex(6)dHex(2)NeuAc(3) % 3153.115872, G06704MH
HexNAc(7)Hex(8)dHex(1)NeuAc(1) % 3155.131522, G82348RD
HexNAc(8)Hex(6)dHex(4) % 3181.183557, G25910LL
HexNAc(7)Hex(6)dHex(1)NeuAc(2)Sulpho(1) % 3202.078106, G47388FY
HexNAc(6)Hex(6)dHex(1)NeuAc(3) % 3210.137335, G90885MZ
HexNAc(6)Hex(6)dHex(3)NeuAc(2) % 3211.157737, G59007LK
HexNAc(8)Hex(8)NeuAc(1) % 3212.152985, G67350BD
HexNAc(8)Hex(8)dHex(2) % 3213.173387, G15881BW
HexNAc(6)Hex(7)NeuAc(3) % 3226.132250, G99679NM
HexNAc(6)Hex(7)dHex(2)NeuAc(2) % 3227.152651, G17899TT
HexNAc(6)Hex(7)dHex(4)NeuAc(1) % 3228.173052, G81128KB
HexNAc(8)Hex(9)dHex(1) % 3229.168301, G53315IV
HexNAc(7)Hex(7)dHex(1)NeuAc(1)Sulpho(3) % 3232.949142, G55475TR
HexNAc(6)Hex(7)dHex(1)NeuAc(2)Sulpho(2) % 3241.008371, G98601GY
HexNAc(9)Hex(8)dHex(1) % 3270.194850, G90444EI
HexNAc(7)Hex(7)dHex(1)NeuAc(2) % 3284.174115, G83141DC
HexNAc(7)Hex(7)dHex(5) % 3286.214917, G87183DD
HexNAc(6)Hex(7)NeuAc(3)Sulpho(1) % 3306.089065, G14366OZ
HexNAc(5)Hex(7)NeuAc(4) % 3314.148294, G90409BE
HexNAc(6)Hex(6)dHex(2)NeuAc(3) % 3356.195244, G75060MV
HexNAc(8)Hex(8)dHex(1)NeuAc(1) % 3358.210894, G62886TD
HexNAc(6)Hex(7)dHex(1)NeuAc(3) % 3372.190159, G41044JW
HexNAc(6)Hex(7)dHex(3)NeuAc(2) % 3373.210560, G59101HX
HexNAc(8)Hex(9)NeuAc(1) % 3374.205809, G30221QT
HexNAc(6)Hex(8)NeuAc(3) % 3388.185074, G42815AD
HexNAc(6)Hex(9)dHex(1)NeuAc(2) % 3405.200389, G25098MR
HexNAc(6)Hex(9)dHex(5) % 3407.241191, G43806FA
HexNAc(7)Hex(6)dHex(1)NeuAc(3) % 3413.216708, G26006IS
HexNAc(9)Hex(9)dHex(1) % 3432.247674, G08578KJ
HexNAc(7)Hex(7)dHex(6) % 3432.272826, G38508ZL
HexNAc(7)Hex(7)dHex(1)NeuAc(2)Sulpho(2) % 3444.087744, G07238JI
HexNAc(7)Hex(8)dHex(1)NeuAc(2) % 3446.226938, G95484XN
HexNAc(9)Hex(10) % 3448.242588, G15127JD
HexNAc(6)Hex(7)dHex(1)NeuAc(3)Sulpho(1) % 3452.146973, G95480OU
HexNAc(8)Hex(7)NeuAc(2)Sulpho(2) % 3501.109208, G15968KS
HexNAc(6)Hex(6)dHex(3)NeuAc(3) % 3502.253153, G25566QA
HexNAc(6)Hex(7)NeuAc(4) % 3517.227667, G11115RO
HexNAc(6)Hex(7)dHex(2)NeuAc(3) % 3518.248068, G87056QU
HexNAc(8)Hex(9)dHex(1)NeuAc(1) % 3520.263718, G76733PY
HexNAc(7)Hex(7)dHex(1)NeuAc(3) % 3575.269532, G25216KM
HexNAc(9)Hex(9)dHex(2) % 3578.305583, G33792IQ
HexNAc(9)Hex(10)dHex(1) % 3594.300497, G13716SG
HexNAc(8)Hex(7)dHex(1)NeuAc(2)Sulpho(2) % 3647.167117, G16455YH
HexNAc(7)Hex(7)dHex(1)NeuAc(3)Sulpho(1) % 3655.226346, G73408EA
HexNAc(6)Hex(7)dHex(1)NeuAc(4) % 3663.285576, G95678HJ
HexNAc(7)Hex(6)dHex(1)NeuAc(4) % 3704.312125, G14926RK
HexNAc(7)Hex(8)dHex(1)NeuAc(3) % 3737.322355, G59639BE
HexNAc(10)Hex(10)dHex(1) % 3797.379870, G12872WY
HexNAc(6)Hex(7)NeuAc(5) % 3808.323083, G11942GC
HexNAc(6)Hex(7)dHex(2)NeuAc(4) % 3809.343484, G45631ZN
HexNAc(8)Hex(9)dHex(1)NeuAc(2) % 3811.359134, G24369TK
HexNAc(10)Hex(11) % 3813.374785, G11541NC
HexNAc(7)Hex(7)dHex(1)NeuAc(4) % 3866.364948, G66362RJ
HexNAc(9)Hex(9)dHex(2)NeuAc(1) % 3869.400999, G42823ZU
HexNAc(7)Hex(8)NeuAc(4) % 3882.359863, G66537LK
HexNAc(9)Hex(10)dHex(1)NeuAc(1) % 3885.395914, G50148ER
