GlyTouCanAccession	Name	Domain
G06932DR	HexNAc1Hex2dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G06953DR	2,6-Branched O-mannose	SemanticName
G07238JI	HexNAc(7)Hex(7)dHex(1)NeuAc(2)Sulpho(2)	Byonic
G07238JI	HexNAc7Hex7dHex1NeuAc2NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G07238JI	HexNAc7Hex7dHex1NeuAc2S2	ShortUniCarbKB
G07246CJ	H6N6F	ShortComp
G07246CJ	HexNAc(6)Hex(6)Fuc(1)	Byonic
G07584HV	H3NF3	ShortComp
G07584HV	HexNAc(1)Hex(3)Fuc(3)	Byonic
G07755XJ	H4N5F2	ShortComp
G07755XJ	HexNAc(5)Hex(4)Fuc(2)	Byonic
G07764QX	HexNAc(5)Hex(5)NeuAc(1)NeuGc(1)	Byonic
G07764QX	HexNAc5Hex5NeuAc1NeuGc1	ShortUniCarbKB
G07764QX	HexNAc5Hex5dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G07799LX	HexNAc(4)Hex(5)dHex(3)NeuAc(1)	Byonic
G07799LX	HexNAc4Hex5dHex3NeuAc1	ShortUniCarbKB
G07799LX	HexNAc4Hex5dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G07810QS	H8N7S2	ShortComp
G07810QS	HexNAc(7)Hex(8)NeuAc(2)	Byonic
G07810QS	HexNAc7Hex8NeuAc2	ShortUniCarbKB
G07810QS	HexNAc7Hex8dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G07888AF	H5NF	ShortComp
G07888AF	HexNAc(1)Hex(5)Fuc(1)	Byonic
G07888KH	Hex(3)dHex(2)	Byonic
G07888KH	Hex3dHex2	ShortUniCarbKB
G07888KH	HexNAc0Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G07937JG	HexNAc(4)Hex(5)NeuGc(3)	Byonic
G07937JG	HexNAc4Hex5NeuGc3	ShortUniCarbKB
G07937JG	HexNAc4Hex5dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0	UniCarbKB
G08188WC	Hex(1)NeuAc(1)Sulpho(1)	Byonic
G08188WC	Hex1NeuAc1S1	ShortUniCarbKB
G08188WC	HexNAc0Hex1dHex0NeuAc1NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G08246VJ	H3NFS	ShortComp
G08246VJ	HexNAc(1)Hex(3)Fuc(1)NeuAc(1)	Byonic
G08290VR	H4N4FS	ShortComp
G08290VR	HexNAc(4)Hex(4)Fuc(1)NeuAc(1)	Byonic
G08293MJ	HexNAc(4)Hex(5)dHex(1)NeuAc(1)	Byonic
G08293MJ	HexNAc4Hex5dHex1NeuAc1	ShortUniCarbKB
G08293MJ	HexNAc4Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08453HV	Hex(1)dHex(1)	Byonic
G08453HV	Hex1dHex1	ShortUniCarbKB
G08453HV	HexNAc0Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08539HC	H6N7FS	ShortComp
G08539HC	HexNAc(7)Hex(6)Fuc(1)NeuAc(1)	Byonic
G08578KJ	HexNAc(9)Hex(9)dHex(1)	Byonic
G08578KJ	HexNAc9Hex9dHex1	ShortUniCarbKB
G08578KJ	HexNAc9Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08590QR	H3N	ShortComp
G08590QR	HexNAc(1)Hex(3)	Byonic
G08590QR	HexNAc1Hex3	ShortUniCarbKB
G08590QR	HexNAc1Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08609CW	H6N7FS4	ShortComp
G08609CW	HexNAc(7)Hex(6)Fuc(1)NeuAc(4)	Byonic
G08671QK	HexNAc(1)Hex(1)Fuc(1)Sulpho(1)	Byonic
G08678VD	H2N4F2	ShortComp
