GlyTouCanAccession	CFGAccession
G05948HK	carbNlink_20470_D000
G05948HK	carbNlink_20718_D000
G05948HK	carbNlink_40324_D000
G05953WP	carbNlink_21372_P
G05979QC	carbNlink_45845_D000
G05979RR	carbNlink_40798_D000
G06017WG	carbNlink_42791_D000
G06067KZ	carbNlink_43861_D000
G06210XB	carbNlink_42956_D000
G06215DG	carbNlink_40371_D000
G06216JP	carbNlink_21406_P
G06239NA	carbGlipid_20412_D000
G06239NA	carbSynthe_0032_D000
G06239NA	carbSynthe_0179_D000
G06239NA	carbSynthe_0693_D000
G06250ZP	carbNlink_21058_D000
G06371NP	carbNlink_30006_A
G06371NP	carbNlink_42185_D000
G06404ZJ	carbNlink_46498_D000
G06523WI	carbOlink_20877_D000
G06534UH	carbNlink_20682_D000
G06595MR	carbNlink_41445_D000
G06673TD	carbNlink_42895_D000
G06673TD	carbNlink_45730_D000
G06707ZH	carbNlink_21356_P
G06920GM	carbNlink_20479_D000
G06920GM	carbNlink_40191_D000
G06920GM	carbNlink_40302_D000
G07061BV	carbOlink_20555_D000
G07169PS	carbNlink_20441_D000
G07169PS	carbNlink_43486_D000
G07169PS	carbNlink_44466_D000
G07209HW	carbNlink_46314_D000
G07292LK	carbNlink_20266_D000
G07293JT	carbOlink_20822_D000
G07328EF	carbNlink_40740_D000
G07328EF	carbNlink_42337_D000
G07368IA	carbNlink_40799_D000
G07380TS	carbNlink_44166_D000
G07490EK	carbNlink_43662_D000
G07666IB	carbNlink_45566_D000
G07703ST	carbNlink_44707_D000
G07815PK	carbNlink_31724_A
G07842DQ	carbNlink_43833_D000
G07865ET	carbNlink_32485_A
G07982RO	carbNlink_20439_D000
G07982RO	carbNlink_40075_D000
G07982RO	carbNlink_40449_D000
G07982RO	carbNlink_40722_D000
G07982RO	carbNlink_46470_D000
G07982RO	carbNlink_46831_D000
G07982RO	carbNlink_46832_D000
G08043ID	carbNlink_20336_D000
G08060JF	carbNlink_40556_D000
G08111FJ	carbNlink_40828_D000
G08161JQ	carbNlink_44165_D000
G08304AG	carbNlink_40291_D000
G08304AG	carbNlink_41510_D000
G08348BC	carbNlink_45300_D000
G08358DN	carbOlink_20053_D000
G08371CD	carbOlink_20663_D000
G08371CD	carbOlink_21109_D000
G08373SM	carbNlink_41819_D000
G08378WD	carbNlink_21486_P
G08418PB	carbNlink_31080_A
G08569VN	carbOlink_21193_D000
G08577PR	carbNlink_21475_P
G08675PK	carbNlink_41718_D000
G08731KN	carbNlink_40810_D000
G08866CW	carbNlink_45658_D000
G09020HN	carbNlink_44251_D000
G09020HN	carbNlink_44835_D000
G09115OQ	carbNlink_44840_D000
G09125WG	carbNlink_41254_D000
G09130LO	carbNlink_41544_D000
G09255AF	carbNlink_30577_A
G09319JK	carbNlink_40014_D000
G09322OS	carbNlink_20631_D000
G09322OS	carbNlink_45830_D000
G09349XQ	carbNlink_44814_D000
G09376MR	carbNlink_20628_D000
G09376MR	carbNlink_42268_D000
G09393NL	carbNlink_40605_D000
G09420NN	carbNlink_40796_D000
G09482NW	carbSynthe_0207_D000
G09546QO	carbSynthe_0003_D000
G09546QO	carbSynthe_0090_D000
G09546QO	carbSynthe_0601_D000
G09568JT	carbNlink_20120_D000
G09568JT	carbNlink_31476_A
G09568JT	carbNlink_40012_D000
G09568JT	carbNlink_40013_D000
G09568JT	carbNlink_40354_D000
G09568JT	carbNlink_41749_D000
G09578TK	carbNlink_40093_D000
G09578TK	carbNlink_40387_D000
G09605DV	carbNlink_30517_A
G09650BK	carbNlink_42632_D000
G09666WO	carbNlink_20708_D000
G09666WO	carbNlink_44853_D000
G09730EH	carbNlink_45412_D000
G10106TL	carbNlink_20472_D000
G10106TL	carbNlink_20473_D000
G10106TL	carbNlink_40193_D000
G10106TL	carbNlink_40304_D000
G10108GZ	carbNlink_44725_D000
G10189EJ	carbNlink_44711_D000
G10203DW	carbNlink_20593_D000
G10203DW	carbNlink_42116_D000
G10203DW	carbNlink_43664_D000
G10203DW	carbOlink_48283_D000
G10225UW	carbOlink_20540_D000
G10225UW	carbOlink_20541_D000
G10228AY	carbNlink_45836_D000
G10417XF	carbNlink_44771_D000
G10470SE	carbNlink_21101_D000
G10470SE	carbNlink_40653_D000
G10529ZR	carbNlink_41400_D000
G10581YA	carbOlink_20300_D000
G10604KJ	carbOlink_21139_D000
G10627KR	carbNlink_20685_D000
G10627KR	carbNlink_46334_D000
G10666VQ	carbNlink_46955_D000
G10741VJ	carbNlink_20147_D000
G10816YX	carbOlink_20009_D000
G10845BX	carbNlink_44838_D000
G10881VB	carbNlink_21122_D000
G10925II	carbOlink_20876_D000
G10973QG	carbNlink_45698_D000
G11041DA	carbSynthe_0575_D000
G11213NA	carbNlink_42162_D000
G11350UX	carbNlink_44844_D000
G11450PA	carbNlink_21371_P
G11479AN	carbNlink_44744_D000
