GlyTouCanAccession	PubChem
G00091RT	GlyTouCan:G00091RT
G00091RT	SID252282782
G00091UN	GlyTouCan:G00091UN
G00091UN	SID491838135
G00094SE	CID146017916
G00094SE	GlyTouCan:G00094SE
G00094SE	SID405040662
G00097DN	CID101122762
G00097DN	GlyTouCan:G00097DN
G00097DN	SID445514415
G00104PH	GlyTouCan:G00104PH
G00104PH	SID491838128
G00105XF	GlyTouCan:G00105XF
G00105XF	SID491870237
G00106LE	GlyTouCan:G00106LE
G00106LE	SID491870191
G00106LK	GlyTouCan:G00106LK
G00106LK	SID491870198
G00109SL	GlyTouCan:G00109SL
G00109SL	SID491870244
G00112IO	CID91851800
G00112IO	GlyTouCan:G00112IO
G00112IO	SID252283898
G00113FP	GlyTouCan:G00113FP
G00113FP	SID491928761
G00116QX	GlyTouCan:G00116QX
G00116QX	SID491870231
G00118FH	GlyTouCan:G00118FH
G00118FH	SID491870217
G00120OY	GlyTouCan:G00120OY
G00120OY	SID491870199
G00120QS	CID91846337
G00120QS	GlyTouCan:G00120QS
G00120QS	SID252277397
G00122QX	GlyTouCan:G00122QX
G00122QX	SID491928725
G00123JF	CID11521105
G00123JF	GlyTouCan:G00123JF
G00123JF	SID252289905
G00123NG	GlyTouCan:G00123NG
G00123NG	SID521706590
G00124PC	GlyTouCan:G00124PC
G00124PC	SID500103932
G00124SJ	GlyTouCan:G00124SJ
G00124SJ	SID491870218
G00125TX	CID168356373
G00125TX	GlyTouCan:G00125TX
G00125TX	SID482377771
G00131HY	GlyTouCan:G00131HY
G00131HY	SID491870224
G00138ZP	CID56836039
G00138ZP	GlyTouCan:G00138ZP
G00138ZP	SID482377777
G00139WK	CID168356375
G00139WK	GlyTouCan:G00139WK
G00139WK	SID482377778
G00140UB	GlyTouCan:G00140UB
G00140UB	SID500103936
G00140XB	CID91852120
G00140XB	GlyTouCan:G00140XB
G00140XB	SID252284282
G00140YZ	GlyTouCan:G00140YZ
G00140YZ	SID491838162
G00141ZD	GlyTouCan:G00141ZD
G00141ZD	SID491838163
G00142DY	GlyTouCan:G00142DY
G00142DY	SID491838164
G00148WK	GlyTouCan:G00148WK
G00148WK	SID491928765
G00150FX	GlyTouCan:G00150FX
G00150FX	SID518303698
G00152IK	GlyTouCan:G00152IK
G00152IK	SID500103940
G00152LK	CID5287768
G00152LK	GlyTouCan:G00152LK
G00152LK	SID252288265
G00152SF	GlyTouCan:G00152SF
G00152SF	SID491838194
G00152UP	GlyTouCan:G00152UP
G00152UP	SID491928766
G00153LJ	CID91852608
G00153LJ	GlyTouCan:G00153LJ
G00153LJ	SID252284869
G00155YT	GlyTouCan:G00155YT
G00155YT	SID491870313
G00157HJ	GlyTouCan:G00157HJ
G00157HJ	SID500103941
G00157WT	CID146016275
G00157WT	GlyTouCan:G00157WT
G00157WT	SID405038917
G00159IZ	GlyTouCan:G00159IZ
G00159IZ	SID491838195
G00164QP	GlyTouCan:G00164QP
G00164QP	SID491838181
G00167FD	GlyTouCan:G00167FD
G00167FD	SID491870316
G00167VE	GlyTouCan:G00167VE
G00167VE	SID491838165
G00168JC	GlyTouCan:G00168JC
G00168JC	SID491870314
G00175DU	GlyTouCan:G00175DU
G00175DU	SID500103946
G00175GT	CID91861163
G00175GT	GlyTouCan:G00175GT
G00175GT	SID252295111
G00175UH	GlyTouCan:G00175UH
G00175UH	SID521706591
G00176HZ	CID91847874
G00176HZ	GlyTouCan:G00176HZ
G00176HZ	SID252279257
G00183XS	GlyTouCan:G00183XS
G00183XS	SID521706592
G00185NL	GlyTouCan:G00185NL
G00185NL	SID491870286
G00186OS	GlyTouCan:G00186OS
G00186OS	SID491870269
G00188VT	GlyTouCan:G00188VT
G00188VT	SID491838199
G00194GV	GlyTouCan:G00194GV
G00194GV	SID491870288
G00194ZL	CID91862458
G00194ZL	GlyTouCan:G00194ZL
G00194ZL	SID252296670
G00196CO	GlyTouCan:G00196CO
G00196CO	SID491928769
G00199AH	GlyTouCan:G00199AH
G00199AH	SID491838184
G00199JR	CID91845333
G00199JR	GlyTouCan:G00199JR
G00199JR	SID252276208
G00199PM	GlyTouCan:G00199PM
G00199PM	SID500103952
G00201AB	CID168356384
G00201AB	GlyTouCan:G00201AB
G00201AB	SID482377798
G00203KS	GlyTouCan:G00203KS
G00203KS	SID500103953
G00204EX	GlyTouCan:G00204EX
G00204EX	SID491870285
G00207YQ	GlyTouCan:G00207YQ
G00207YQ	SID491870259
G00208WQ	GlyTouCan:G00208WQ
G00208WQ	SID500103955
G00209ZX	GlyTouCan:G00209ZX
G00209ZX	SID491928773
G00210FR	GlyTouCan:G00210FR
G00210FR	SID491838203
G00210ZX	GlyTouCan:G00210ZX
G00210ZX	SID491928774
G00211WY	GlyTouCan:G00211WY
G00211WY	SID491928605
G00212RH	GlyTouCan:G00212RH
G00212RH	SID491838185
G00212ZT	GlyTouCan:G00212ZT
G00212ZT	SID491838166
G00217CL	GlyTouCan:G00217CL
G00217CL	SID500103958
G00219DO	GlyTouCan:G00219DO
G00219DO	SID491838167
G00219VH	CID146015727
G00219VH	GlyTouCan:G00219VH
G00219VH	SID405038346
G00221CZ	GlyTouCan:G00221CZ
G00221CZ	SID491838171
G00222MO	GlyTouCan:G00222MO
G00222MO	SID491838174
G00225DC	CID171121800
G00225DC	GlyTouCan:G00225DC
G00225DC	SID491820160
G00227RN	GlyTouCan:G00227RN
G00227RN	SID491870277
G00227ZY	CID102459947
G00227ZY	GlyTouCan:G00227ZY
G00227ZY	SID482377805
G00229QC	GlyTouCan:G00229QC
G00229QC	SID500103963
G00229TF	GlyTouCan:G00229TF
G00229TF	SID491870292
G00229VQ	GlyTouCan:G00229VQ
G00229VQ	SID491870290
G00230CO	GlyTouCan:G00230CO
G00230CO	SID491838157
G00230IL	GlyTouCan:G00230IL
G00230IL	SID491870263
G00231IQ	GlyTouCan:G00231IQ
G00231IQ	SID491870271
G00231WL	CID91849816
G00231WL	GlyTouCan:G00231WL
G00231WL	SID252281530
G00232ED	GlyTouCan:G00232ED
G00232ED	SID491870283
G00232UX	GlyTouCan:G00232UX
G00232UX	SID491838206
G00234GG	GlyTouCan:G00234GG
G00234GG	SID491838186
G00234MX	GlyTouCan:G00234MX
G00234MX	SID491928779
G00235HI	GlyTouCan:G00235HI
G00235HI	SID491870272
G00238CK	GlyTouCan:G00238CK
G00238CK	SID491928781
G00238FA	CID49820613
G00238FA	GlyTouCan:G00238FA
G00238FA	SID482377810
G00241VQ	GlyTouCan:G00241VQ
G00241VQ	SID491928782
G00247JV	GlyTouCan:G00247JV
G00247JV	SID491838176
G00247PL	CID71297668
G00247PL	GlyTouCan:G00247PL
G00247PL	SID252279192
G00248DH	GlyTouCan:G00248DH
G00248DH	SID491838208
G00249IY	GlyTouCan:G00249IY
G00249IY	SID491870312
G00249XF	GlyTouCan:G00249XF
G00249XF	SID491870273
G00249XR	GlyTouCan:G00249XR
G00249XR	SID491870306
G00250DZ	GlyTouCan:G00250DZ
G00250DZ	SID500103972
G00252UK	GlyTouCan:G00252UK
G00252UK	SID491928737
G00254JB	GlyTouCan:G00254JB
G00254JB	SID500103975
G00257RE	GlyTouCan:G00257RE
G00257RE	SID491838211
G00257UQ	GlyTouCan:G00257UQ
G00257UQ	SID491870265
G00272VU	CID91859859
G00272VU	GlyTouCan:G00272VU
G00272VU	SID252293533
G00273SJ	GlyTouCan:G00273SJ
G00273SJ	SID491870299
G00274WK	CID91855790
G00274WK	GlyTouCan:G00274WK
G00274WK	SID252288681
G00277SO	GlyTouCan:G00277SO
G00277SO	SID491870282
G00279YF	CID91851031
G00279YF	GlyTouCan:G00279YF
G00279YF	SID252282987
G00281HB	GlyTouCan:G00281HB
G00281HB	SID491870274
G00282XO	GlyTouCan:G00282XO
G00282XO	SID500103982
G00283TT	GlyTouCan:G00283TT
G00283TT	SID491838175
G00284SJ	GlyTouCan:G00284SJ
G00284SJ	SID491870329
G00287UD	CID91849825
G00287UD	GlyTouCan:G00287UD
G00287UD	SID252281541
G00288QM	GlyTouCan:G00288QM
G00288QM	SID491870330
G00288RP	GlyTouCan:G00288RP
G00288RP	SID491870424
G00294BL	CID91853036
G00294BL	GlyTouCan:G00294BL
G00294BL	SID252285376
G00294TN	CID53262335
G00294TN	GlyTouCan:G00294TN
G00294TN	SID445511718
G00298HY	GlyTouCan:G00298HY
G00298HY	SID491838217
G00298LF	GlyTouCan:G00298LF
G00298LF	SID491928795
G00299NZ	GlyTouCan:G00299NZ
G00299NZ	SID491870400
G00301DC	GlyTouCan:G00301DC
G00301DC	SID500103987
G00301IL	GlyTouCan:G00301IL
G00301IL	SID521706594
G00305EF	GlyTouCan:G00305EF
G00305EF	SID491870387
G00305KL	GlyTouCan:G00305KL
G00305KL	SID491928796
G00305KO	CID101421288
G00305KO	GlyTouCan:G00305KO
G00305KO	SID482377827
G00306VT	CID91848222
G00306VT	GlyTouCan:G00306VT
G00306VT	SID252279677
G00311MF	GlyTouCan:G00311MF
G00311MF	SID491870331
G00313OR	GlyTouCan:G00313OR
G00313OR	SID491870385
G00314IZ	GlyTouCan:G00314IZ
G00314IZ	SID491870373
G00314SC	GlyTouCan:G00314SC
G00314SC	SID518303701
G00315CH	GlyTouCan:G00315CH
G00315CH	SID491838262
G00318AV	GlyTouCan:G00318AV
G00318AV	SID491928368
G00318OS	GlyTouCan:G00318OS
G00318OS	SID491928868
G00318UE	GlyTouCan:G00318UE
G00318UE	SID491870334
G00320ZP	CID91848403
G00320ZP	GlyTouCan:G00320ZP
G00320ZP	SID252279888
G00321MZ	GlyTouCan:G00321MZ
G00321MZ	SID500103989
G00321UH	GlyTouCan:G00321UH
G00321UH	SID491838248
G00328AZ	GlyTouCan:G00328AZ
G00328AZ	SID491928866
G00328CG	GlyTouCan:G00328CG
G00328CG	SID491838243
G00328HB	GlyTouCan:G00328HB
G00328HB	SID491838226
G00330GX	GlyTouCan:G00330GX
G00330GX	SID518303702
G00330QO	GlyTouCan:G00330QO
G00330QO	SID521706595
G00330YN	CID171121804
G00330YN	GlyTouCan:G00330YN
G00330YN	SID491820183
G00331XG	GlyTouCan:G00331XG
G00331XG	SID491870335
G00333ZL	GlyTouCan:G00333ZL
G00333ZL	SID491928867
G00335DM	CID91848952
G00335DM	GlyTouCan:G00335DM
G00335DM	SID252280533
G00335JE	GlyTouCan:G00335JE
G00335JE	SID491838241
G00335TI	GlyTouCan:G00335TI
G00335TI	SID491870358
G00336XG	GlyTouCan:G00336XG
G00336XG	SID491870364
G00337GM	GlyTouCan:G00337GM
G00337GM	SID491870388
G00338CG	GlyTouCan:G00338CG
G00338CG	SID491870405
G00340NM	GlyTouCan:G00340NM
G00340NM	SID491928874
G00348IY	CID176511587
G00348IY	GlyTouCan:G00348IY
G00348IY	SID518301998
G00349CA	GlyTouCan:G00349CA
G00349CA	SID491838230
G00351AQ	GlyTouCan:G00351AQ
G00351AQ	SID491838269
G00356FQ	CID21607016
G00356FQ	GlyTouCan:G00356FQ
G00356FQ	SID482377847
G00357HK	GlyTouCan:G00357HK
G00357HK	SID491838270
G00361LC	GlyTouCan:G00361LC
G00361LC	SID491838252
G00361YF	CID91856256
G00361YF	GlyTouCan:G00361YF
G00361YF	SID252289237
G00362UY	GlyTouCan:G00362UY
G00362UY	SID491870339
G00368HM	CID91851288
G00368HM	GlyTouCan:G00368HM
G00368HM	SID252283288
G00369RM	GlyTouCan:G00369RM
G00369RM	SID491928909
G00370EI	CID91860459
G00370EI	GlyTouCan:G00370EI
G00370EI	SID252294266
G00370ES	GlyTouCan:G00370ES
G00370ES	SID491928974
G00371DJ	CID156614836
G00371DJ	GlyTouCan:G00371DJ
G00371DJ	SID445510705
G00372ZO	GlyTouCan:G00372ZO
G00372ZO	SID491928910
G00376RB	CID146017864
G00376RB	GlyTouCan:G00376RB
G00376RB	SID405040607
G00379PJ	GlyTouCan:G00379PJ
G00379PJ	SID491870342
G00381SH	GlyTouCan:G00381SH
G00381SH	SID491928882
G00381YD	GlyTouCan:G00381YD
G00381YD	SID491870414
G00383NC	GlyTouCan:G00383NC
G00383NC	SID491838254
G00383YF	GlyTouCan:G00383YF
G00383YF	SID491838222
G00387BU	GlyTouCan:G00387BU
G00387BU	SID518303704
G00390EC	GlyTouCan:G00390EC
G00390EC	SID491870344
G00390GQ	GlyTouCan:G00390GQ
G00390GQ	SID491870392
G00394CR	CID71298482
G00394CR	GlyTouCan:G00394CR
G00394CR	SID252296759
G00394QB	GlyTouCan:G00394QB
G00394QB	SID500104006
G00395FS	CID6540298
G00395FS	GlyTouCan:G00395FS
G00395FS	SID252287757
G00395TQ	CID91850249
G00395TQ	GlyTouCan:G00395TQ
G00395TQ	SID252282053
G00396DP	GlyTouCan:G00396DP
G00396DP	SID491870346
G00396IE	GlyTouCan:G00396IE
G00396IE	SID491838232
G00399LG	CID57339193
G00399LG	GlyTouCan:G00399LG
G00399LG	SID445511784
G00401IE	GlyTouCan:G00401IE
G00401IE	SID491870347
G00402KT	GlyTouCan:G00402KT
G00402KT	SID491928913
G00405TO	GlyTouCan:G00405TO
G00405TO	SID500104008
G00406II	GlyTouCan:G00406II
G00406II	SID491870413
G00407UJ	CID90475902
G00407UJ	GlyTouCan:G00407UJ
G00407UJ	SID252284066
G00410BM	GlyTouCan:G00410BM
G00410BM	SID500104009
G00412SV	GlyTouCan:G00412SV
G00412SV	SID491838235
G00413UF	CID91850486
G00413UF	GlyTouCan:G00413UF
G00413UF	SID252282338
G00418DG	GlyTouCan:G00418DG
G00418DG	SID491928892
G00420CS	GlyTouCan:G00420CS
G00420CS	SID491838256
G00420UH	GlyTouCan:G00420UH
G00420UH	SID491870425
G00422AZ	GlyTouCan:G00422AZ
G00422AZ	SID491928883
G00423IN	GlyTouCan:G00423IN
G00423IN	SID500104014
G00423TL	GlyTouCan:G00423TL
G00423TL	SID491870362
G00428HK	CID91861324
G00428HK	GlyTouCan:G00428HK
G00428HK	SID252295303
G00429OU	GlyTouCan:G00429OU
G00429OU	SID491838257
G00430ZK	CID91861203
G00430ZK	GlyTouCan:G00430ZK
G00430ZK	SID252295157
G00432WV	CID71297859
G00432WV	GlyTouCan:G00432WV
G00432WV	SID252292095
G00432WW	CID156618664
G00432WW	GlyTouCan:G00432WW
G00432WW	SID445516174
G00433KW	CID71297916
G00433KW	GlyTouCan:G00433KW
G00433KW	SID252276295
G00433UK	GlyTouCan:G00433UK
G00433UK	SID491870415
G00435KL	GlyTouCan:G00435KL
G00435KL	SID491928884
G00435KX	CID91848046
G00435KX	GlyTouCan:G00435KX
G00435KX	SID252279454
G00438EF	GlyTouCan:G00438EF
G00438EF	SID491838245
G00442PP	GlyTouCan:G00442PP
G00442PP	SID491928919
G00449DS	GlyTouCan:G00449DS
G00449DS	SID491870375
G00450EO	GlyTouCan:G00450EO
G00450EO	SID491870417
G00451UT	GlyTouCan:G00451UT
G00451UT	SID491838236
G00454PR	GlyTouCan:G00454PR
G00454PR	SID491838223
G00455MN	GlyTouCan:G00455MN
G00455MN	SID500104023
G00455NP	GlyTouCan:G00455NP
G00455NP	SID491928923
G00457KD	CID91851905
G00457KD	GlyTouCan:G00457KD
G00457KD	SID252284024
G00458CW	CID156618163
G00458CW	GlyTouCan:G00458CW
G00458CW	SID445515625
G00459BD	GlyTouCan:G00459BD
G00459BD	SID491870378
G00459HM	GlyTouCan:G00459HM
G00459HM	SID491838224
G00460DH	GlyTouCan:G00460DH
G00460DH	SID500104024
G00461RR	GlyTouCan:G00461RR
G00461RR	SID491870379
G00461ZN	CID91850313
G00461ZN	GlyTouCan:G00461ZN
G00461ZN	SID252282125
G00462AS	GlyTouCan:G00462AS
G00462AS	SID491928924
G00463XD	CID146017826
G00463XD	GlyTouCan:G00463XD
G00463XD	SID405040565
G00466XG	GlyTouCan:G00466XG
G00466XG	SID491928927
G00467QU	CID91845446
G00467QU	GlyTouCan:G00467QU
G00467QU	SID252276342
G00468IT	GlyTouCan:G00468IT
G00468IT	SID500104027
G00468KU	GlyTouCan:G00468KU
G00468KU	SID491838286
G00468NI	CID146015847
G00468NI	GlyTouCan:G00468NI
G00468NI	SID405038473
G00469BS	CID91850901
G00469BS	GlyTouCan:G00469BS
G00469BS	SID252282826
G00470UO	GlyTouCan:G00470UO
G00470UO	SID491838287
G00471UP	GlyTouCan:G00471UP
G00471UP	SID491928929
G00480IB	CID168356433
G00480IB	GlyTouCan:G00480IB
G00480IB	SID482377894
G00480KJ	CID91849565
G00480KJ	GlyTouCan:G00480KJ
G00480KJ	SID252281255
G00480NH	GlyTouCan:G00480NH
G00480NH	SID491928930
G00480OQ	GlyTouCan:G00480OQ
G00480OQ	SID491838288
G00482HJ	CID91852469
G00482HJ	GlyTouCan:G00482HJ
G00482HJ	SID252284702
G00483IX	CID91847553
G00483IX	GlyTouCan:G00483IX
G00483IX	SID252278868
G00484DO	GlyTouCan:G00484DO
G00484DO	SID491928931
G00484WE	GlyTouCan:G00484WE
G00484WE	SID491928887
G00484ZC	GlyTouCan:G00484ZC
G00484ZC	SID491838301
G00487XO	GlyTouCan:G00487XO
G00487XO	SID491838284
G00488OU	GlyTouCan:G00488OU
G00488OU	SID491870491
G00490MQ	GlyTouCan:G00490MQ
G00490MQ	SID491838299
G00490QA	CID69303687
G00490QA	GlyTouCan:G00490QA
G00490QA	SID482377896
G00491BE	GlyTouCan:G00491BE
G00491BE	SID491838318
G00492CQ	CID71297419
G00492CQ	GlyTouCan:G00492CQ
G00492CQ	SID252283921
G00492PO	GlyTouCan:G00492PO
G00492PO	SID491838300
G00496OX	GlyTouCan:G00496OX
G00496OX	SID491928934
G00500HT	GlyTouCan:G00500HT
G00500HT	SID491928935
G00503EE	CID91847573
G00503EE	GlyTouCan:G00503EE
G00503EE	SID252278894
G00504PK	GlyTouCan:G00504PK
G00504PK	SID491870495
G00504PZ	CID91854073
G00504PZ	GlyTouCan:G00504PZ
G00504PZ	SID252286606
G00505QC	GlyTouCan:G00505QC
G00505QC	SID500104031
G00506NQ	CID146017102
G00506NQ	GlyTouCan:G00506NQ
G00506NQ	SID405039829
G00506ZX	GlyTouCan:G00506ZX
G00506ZX	SID500104032
G00507LK	GlyTouCan:G00507LK
G00507LK	SID491870469
G00510MX	GlyTouCan:G00510MX
G00510MX	SID491838289
G00511BF	GlyTouCan:G00511BF
G00511BF	SID518303706
G00511LE	GlyTouCan:G00511LE
G00511LE	SID491870452
G00512PI	GlyTouCan:G00512PI
G00512PI	SID500104034
G00514XC	CID156614413
G00514XC	GlyTouCan:G00514XC
G00514XC	SID445510270
G00519UD	GlyTouCan:G00519UD
G00519UD	SID491838309
G00520NI	CID71298458
G00520NI	GlyTouCan:G00520NI
G00520NI	SID252293871
G00521FQ	GlyTouCan:G00521FQ
G00521FQ	SID500104038
G00523PT	GlyTouCan:G00523PT
G00523PT	SID491870455
G00524NO	GlyTouCan:G00524NO
G00524NO	SID491838310
G00527ZE	GlyTouCan:G00527ZE
G00527ZE	SID491870457
G00531ZU	CID71297737
G00531ZU	GlyTouCan:G00531ZU
G00531ZU	SID252291114
G00534LI	GlyTouCan:G00534LI
G00534LI	SID518303707
G00536FZ	CID91861420
G00536FZ	GlyTouCan:G00536FZ
G00536FZ	SID252295419
G00539AO	GlyTouCan:G00539AO
G00539AO	SID491838323
G00542QA	GlyTouCan:G00542QA
G00542QA	SID491838291
G00544JF	GlyTouCan:G00544JF
G00544JF	SID491838292
G00545NQ	GlyTouCan:G00545NQ
G00545NQ	SID491838302
G00545SU	GlyTouCan:G00545SU
G00545SU	SID521706598
G00546ZA	GlyTouCan:G00546ZA
G00546ZA	SID500104044
G00547ZN	CID91847572
G00547ZN	GlyTouCan:G00547ZN
G00547ZN	SID252278893
G00550RP	GlyTouCan:G00550RP
G00550RP	SID491870496
G00551JZ	GlyTouCan:G00551JZ
G00551JZ	SID491870472
G00551SX	CID176511589
G00551SX	GlyTouCan:G00551SX
G00551SX	SID518302000
G00553AN	GlyTouCan:G00553AN
G00553AN	SID491838298
G00557UC	GlyTouCan:G00557UC
G00557UC	SID491870460
G00558IW	CID91861779
G00558IW	GlyTouCan:G00558IW
G00558IW	SID252295840
G00560KG	CID91851713
G00560KG	GlyTouCan:G00560KG
G00560KG	SID252283788
G00565QJ	GlyTouCan:G00565QJ
G00565QJ	SID491870473
G00567EI	GlyTouCan:G00567EI
G00567EI	SID500104047
G00568LN	CID91848953
G00568LN	GlyTouCan:G00568LN
G00568LN	SID252280534
G00569WM	GlyTouCan:G00569WM
G00569WM	SID491928940
G00572SI	CID49804692
G00572SI	GlyTouCan:G00572SI
G00572SI	SID482377926
G00574FR	GlyTouCan:G00574FR
G00574FR	SID500104049
G00577YU	GlyTouCan:G00577YU
G00577YU	SID491928942
G00580CJ	GlyTouCan:G00580CJ
G00580CJ	SID491870482
G00580XP	GlyTouCan:G00580XP
G00580XP	SID491928943
G00582VL	CID91845362
G00582VL	GlyTouCan:G00582VL
G00582VL	SID252276240
