accession	monosaccharide	count
G00104PH	Sia	1
G00104PH	dHex	1
G00105XF	*	10
G00105XF	Gal	3
G00105XF	GlcNAc	4
G00105XF	Hex	5
G00105XF	HexNAc	4
G00105XF	Man	2
G00105XF	NeuAc	1
G00105XF	Sia	1
G00106LE	*	4
G00106LE	Fuc	1
G00106LE	Gal	1
G00106LE	GlcNAc	1
G00106LE	Hex	1
G00106LE	HexNAc	1
G00106LE	NeuAc	1
G00106LE	S	1
G00106LE	Sia	1
G00106LE	dHex	1
G00106LK	*	6
G00106LK	Hex	2
G00106LK	HexNAc	3
G00106LK	NeuAc	1
G00106LK	S	1
G00106LK	Sia	1
G00109SL	*	6
G00109SL	Fuc	1
G00109SL	Gal	2
G00109SL	GalNAc	1
G00109SL	GlcNAc	1
G00109SL	Hex	2
G00109SL	HexNAc	2
G00109SL	NeuAc	1
G00109SL	S	1
G00109SL	Sia	1
G00109SL	dHex	1
G00112IO	*	8
G00112IO	Gal	3
G00112IO	GalNAc	2
G00112IO	GalNAc+aldi	1
G00112IO	GlcNAc	3
G00112IO	Hex	3
G00112IO	HexNAc	5
G00112IO	HexNAc+aldi	1
G00112IO	aldi	1
G00116QX	*	5
G00116QX	Gal	1
G00116QX	GalNAc	1
G00116QX	GalNAc+aldi	1
G00116QX	GlcNAc	1
G00116QX	Hex	1
G00116QX	HexNAc	2
G00116QX	HexNAc+aldi	1
G00116QX	NeuAc	2
G00116QX	Sia	2
G00116QX	aldi	1
G00120OY	*	14
G00120OY	Hex	6
G00120OY	HexNAc	5
G00120OY	dHex	3
G00120QS	*	4
G00120QS	GlcNAc	2
G00120QS	Hex	2
G00120QS	HexNAc	2
G00120QS	Man	2
G00123JF	*	1
G00123JF	Pent	1
G00123JF	Xyl	1
G00133UK	*	3
G00133UK	Gal	2
G00133UK	Hex	2
G00133UK	NeuGc	1
G00133UK	Sia	1
G00140XB	*	2
G00140XB	Gal	1
G00140XB	Hex	2
G00140XB	Man	1
G00140YZ	*	5
G00140YZ	Fuc	1
G00140YZ	Gal	2
G00140YZ	GalNAc	1
G00140YZ	GalNAc+aldi	1
G00140YZ	GlcNAc	1
G00140YZ	Hex	2
G00140YZ	HexNAc	2
G00140YZ	HexNAc+aldi	1
G00140YZ	aldi	1
G00140YZ	dHex	1
G00141ZD	*	3
G00141ZD	Gal	1
G00141ZD	Glc	2
G00141ZD	Hex	3
G00152LK	*	6
G00152LK	Glc	6
G00152LK	Hex	6
G00153LJ	*	3
G00153LJ	Gal	3
G00153LJ	Hex	3
G00155YT	*	13
G00155YT	Fuc	1
G00155YT	Gal	3
G00155YT	GlcNAc	5
G00155YT	Hex	6
G00155YT	HexNAc	5
G00155YT	Man	3
G00155YT	NeuAc	1
G00155YT	Sia	1
G00155YT	dHex	1
G00157WT	*	11
G00157WT	Fuc	2
G00157WT	Gal	4
G00157WT	Glc	1
G00157WT	GlcNAc	3
G00157WT	Hex	5
G00157WT	HexNAc	3
G00157WT	NeuAc	1
G00157WT	Sia	1
G00157WT	dHex	2
G00167VE	*	12
G00167VE	Fuc	1
G00167VE	Gal	2
G00167VE	GalNAc	1
G00167VE	GlcNAc	5
G00167VE	Hex	5
G00167VE	HexNAc	6
G00167VE	Man	3
G00167VE	dHex	1
G00171RJ	*	15
G00171RJ	Fuc	1
G00171RJ	Gal	3
G00171RJ	GlcNAc	5
G00171RJ	Hex	6
G00171RJ	HexNAc	5
G00171RJ	Man	3
G00171RJ	NeuAc	3
G00171RJ	Sia	3
G00171RJ	dHex	1
G00175GT	*	4
G00175GT	Gal	2
G00175GT	GlcNAc	2
G00175GT	Hex	2
G00175GT	HexNAc	2
G00176HZ	*	10
G00176HZ	Fuc	1
G00176HZ	GlcNAc	6
G00176HZ	Hex	3
G00176HZ	HexNAc	6
G00176HZ	Man	3
G00176HZ	dHex	1
G00185NL	*	11
G00185NL	Fuc	2
G00185NL	Gal	4
G00185NL	GalNAc	2
G00185NL	Glc	1
G00185NL	GlcNAc	2
G00185NL	Hex	5
G00185NL	HexNAc	4
G00185NL	dHex	2
G00186OS	*	11
G00186OS	Fuc	1
G00186OS	Gal	3
G00186OS	GlcNAc	4
G00186OS	Hex	6
G00186OS	HexNAc	4
G00186OS	Man	3
G00186OS	dHex	1
G00194GV	*	2
G00194GV	HexNAc	1
G00194GV	dHex	1
G00194ZL	*	2
G00194ZL	GlcA	1
G00194ZL	HexA	1
G00194ZL	Pent	1
G00194ZL	S	1
G00194ZL	Xyl	1
G00199JR	*	5
G00199JR	GlcNAc	1
G00199JR	Hex	4
G00199JR	HexNAc	1
G00199JR	Man	4
G00204EX	*	8
