GlyTouCanAccession	ChEBIAccession
G02207TG	CHEBI:146633
G02226PP	CHEBI:146635
G02230VA	CHEBI:157483
G02240AO	CHEBI:61864
G02244ID	CHEBI:146637
G02252NT	CHEBI:156784
G02256MB	CHEBI:146640
G02259AO	CHEBI:146642
G02273DT	CHEBI:146643
G02284UY	CHEBI:146646
G02288EO	CHEBI:146648
G02290KA	CHEBI:146649
G02302MM	CHEBI:146651
G02310VX	CHEBI:146653
G02311IE	CHEBI:146655
G02332YO	CHEBI:27687
G02349HM	CHEBI:146657
G02353KU	CHEBI:146659
G02363VZ	CHEBI:146661
G02379AH	CHEBI:146663
G02387FV	CHEBI:146665
G02393VO	CHEBI:146668
G02394XU	CHEBI:157238
G02402HF	CHEBI:146669
G02403ZU	CHEBI:146672
G02425YO	CHEBI:70754
G02441OB	CHEBI:146673
G02442MH	CHEBI:156620
G02442YU	CHEBI:146676
G02470WS	CHEBI:146678
G02471GW	CHEBI:146679
G02474FD	CHEBI:146682
G02483WT	CHEBI:146684
G02522JF	CHEBI:146687
G02533LL	CHEBI:146689
G02534MS	CHEBI:146691
G02541EM	CHEBI:156803
G02562EQ	CHEBI:146424
G02568AU	CHEBI:146425
G02582JY	CHEBI:146427
G02594WS	CHEBI:61578
G02622IU	CHEBI:146430
G02633ON	CHEBI:146432
G02646YL	CHEBI:146434
G02657AK	CHEBI:59218
G02657AK	CHEBI:87516
G02657BS	CHEBI:146436
G02660IC	CHEBI:146438
G02660UC	CHEBI:146439
G02660WC	CHEBI:156769
G02679YX	CHEBI:146442
G02684WR	CHEBI:156649
G02698RR	CHEBI:146444
G02710ET	CHEBI:62341
G02729OV	CHEBI:62678
G02747VH	CHEBI:64528
G02752WS	CHEBI:156785
G02753DE	CHEBI:146446
G02760XH	CHEBI:146447
G02763QD	CHEBI:146450
G02786XX	CHEBI:146451
G02799CL	CHEBI:146454
G02816CI	CHEBI:146456
G02837JA	CHEBI:146458
G02844SX	CHEBI:146460
G02856QE	CHEBI:157458
G02878SQ	CHEBI:146462
G02880JU	CHEBI:146464
G02891BL	CHEBI:133612
G02891BL	CHEBI:133801
G02915XR	CHEBI:146468
G02934UB	CHEBI:146470
G02945KQ	CHEBI:146472
G02967YO	CHEBI:167711
G02998EX	CHEBI:50389
G03003KR	CHEBI:146474
G03004PD	CHEBI:156782
G03006JP	CHEBI:59249
G03015NB	CHEBI:146476
G03016BW	CHEBI:146478
G03021WA	CHEBI:146479
G03032GA	CHEBI:62539
G03044ED	CHEBI:71594
G03049NB	CHEBI:146482
G03052ZR	CHEBI:146483
G03053IU	CHEBI:146485
G03054QW	CHEBI:146487
G03065ZA	CHEBI:146490
G03067VG	CHEBI:145579
G03067VG	CHEBI:61850
G03074ZG	CHEBI:146491
G03075ZE	CHEBI:156645
G03081TH	CHEBI:146494
G03085SQ	CHEBI:146495
G03091JM	CHEBI:146498
G03091JW	CHEBI:156603
G03098CZ	CHEBI:146499
G03106MF	CHEBI:146501
G03116ET	CHEBI:143182
G03140AX	CHEBI:146506
G03144EF	CHEBI:15902
G03144EF	CHEBI:28518
G03144EF	CHEBI:57559
G03144EF	CHEBI:81279
G03144EF	CHEBI:90136
G03164NE	CHEBI:146508
G03168RN	CHEBI:156702
G03172PR	CHEBI:157374
G03177HU	CHEBI:146510
G03207XQ	CHEBI:146512
G03216SJ	CHEBI:146513
G03228NK	CHEBI:71452
G03230AX	CHEBI:146516
G03247RO	CHEBI:146518
G03250GT	CHEBI:146520
G03250UN	CHEBI:146521
G03260OU	CHEBI:146524
G03266UM	CHEBI:146525
G03272YQ	CHEBI:156773
G03275SD	CHEBI:157153
G03277UZ	CHEBI:146528
G03277YI	CHEBI:145580
G03277YI	CHEBI:60747
G03286CY	CHEBI:85041
G03296OS	CHEBI:146530
G03304QB	CHEBI:146531
G03309JT	CHEBI:146534
G03313QW	CHEBI:146536
G03316TJ	CHEBI:146537
G03321AC	CHEBI:146540
G03324AT	CHEBI:146542
G03332JB	CHEBI:146544
G03333ZM	CHEBI:156729
G03345AP	CHEBI:146546
G03361KC	CHEBI:146548
G03368AU	CHEBI:146550
G03385XG	CHEBI:146552
G03389ET	CHEBI:146554
G03412UM	CHEBI:157059
G03414KZ	CHEBI:146557
G03425VF	CHEBI:146560
G03431NA	CHEBI:146561
G03438WE	CHEBI:157487
G03439PY	CHEBI:156705
G03443JC	CHEBI:146563
G03445UI	CHEBI:146566
G03457IA	CHEBI:146567
