GlyTouCanAccession	BCSDBAccession
G89973QY	8687
G91079GH	106314
G91079GH	136297
G91079GH	138242
G91079GH	144851
G91083SV	109721
G91136CV	8741
G91237TK	20529
G91562NO	215
G91844AP	113451
G92042VQ	143735
G92082JS	23289
G92233FE	1798
G92550NU	20217
G92992DL	25767
G93507IP	23167
G93641DP	113746
G93760FW	23304
G94641WA	113446
G94678GU	115933
G94946WE	6005
G95051LD	113274
G95418WH	26485
G96179XD	25769
G96487RC	23105
G97100OC	25828
G97100OC	936
G97179UV	135902
G97179UV	143734
G97304IA	20427
G98173LG	6363
G98544DH	141386
G99059WO	136687
G99506BB	124345
G99821VN	24915
