GlyTouCanAccession	Resource	EntryID
G00134PL	glycosmos	G00134PL
G00134YK	glycosmos	G00134YK
G00135JS	glycosmos	G00135JS
G00137VD	glycosmos	G00137VD
G00138DZ	glycosmos	G00138DZ
G00138MB	glycosmos	G00138MB
G00138SD	glycosmos	G00138SD
G00138ZP	glycosmos	G00138ZP
G00139BQ	glycosmos	G00139BQ
G00139DI	glycosmos	G00139DI
G00139WK	glycosmos	G00139WK
G00140MU	glycosmos	G00140MU
G00140QW	glycosmos	G00140QW
G00140UB	glycosmos	G00140UB
G00140XB	glycosmos	G00140XB
G00140YZ	glycosmos	G00140YZ
G00141EN	glycosmos	G00141EN
G00141ZD	glycosmos	G00141ZD
G00142CB	glycosmos	G00142CB
G00142DY	glycosmos	G00142DY
G00142SB	glycosmos	G00142SB
G00144IY	glycosmos	G00144IY
G00144QZ	glycosmos	G00144QZ
G00145EN	glycosmos	G00145EN
G00146RL	glycosmos	G00146RL
G00147XT	glycosmos	G00147XT
G00147ZO	glycosmos	G00147ZO
G00148GN	glycosmos	G00148GN
G00148WK	glycosmos	G00148WK
G00149MJ	glycosmos	G00149MJ
G00149XH	glycosmos	G00149XH
G00149ZC	glycosmos	G00149ZC
G00150AH	glycosmos	G00150AH
G00150CO	glycosmos	G00150CO
G00150FX	glycosmos	G00150FX
G00150MR	glycosmos	G00150MR
G00151ME	glycosmos	G00151ME
G00151VJ	glycosmos	G00151VJ
G00152DR	glycosmos	G00152DR
G00152IK	glycosmos	G00152IK
G00152KP	glycosmos	G00152KP
G00152KS	glycosmos	G00152KS
G00152LK	glycosmos	G00152LK
G00152LQ	glycosmos	G00152LQ
G00152RO	glycosmos	G00152RO
G00152SF	glycosmos	G00152SF
G00152UP	glycosmos	G00152UP
G00153EL	glycosmos	G00153EL
G00153LJ	glycosmos	G00153LJ
G00154LC	glycosmos	G00154LC
G00155DW	glycosmos	G00155DW
G00155UL	glycosmos	G00155UL
G00155WD	glycosmos	G00155WD
G00155YT	glycosmos	G00155YT
G00156CM	glycosmos	G00156CM
G00156VH	glycosmos	G00156VH
G00157HJ	glycosmos	G00157HJ
G00157WT	glycosmos	G00157WT
G00158II	glycosmos	G00158II
G00159IZ	glycosmos	G00159IZ
G00159MK	glycosmos	G00159MK
G00159OX	glycosmos	G00159OX
G00160FW	glycosmos	G00160FW
G00161GQ	glycosmos	G00161GQ
G00161IL	glycosmos	G00161IL
G00161JU	glycosmos	G00161JU
G00162IM	glycosmos	G00162IM
G00162WF	glycosmos	G00162WF
G00163HS	glycosmos	G00163HS
G00164QP	glycosmos	G00164QP
G00164VL	glycosmos	G00164VL
G00165TI	glycosmos	G00165TI
G00166TJ	glycosmos	G00166TJ
G00166TY	glycosmos	G00166TY
G00167FD	glycosmos	G00167FD
G00167VE	glycosmos	G00167VE
G00167ZP	glycosmos	G00167ZP
G00168CD	glycosmos	G00168CD
G00168JC	glycosmos	G00168JC
G00168XB	glycosmos	G00168XB
G00169QD	glycosmos	G00169QD
G00169WT	glycosmos	G00169WT
G00170ET	glycosmos	G00170ET
G00171FQ	glycosmos	G00171FQ
G00171HI	glycosmos	G00171HI
G00171NQ	glycosmos	G00171NQ
G00171RJ	glycosmos	G00171RJ
G00171UK	glycosmos	G00171UK
G00172NW	glycosmos	G00172NW
G00173BU	glycosmos	G00173BU
G00173GD	glycosmos	G00173GD
G00175DU	glycosmos	G00175DU
G00175GT	glycosmos	G00175GT
G00175OP	glycosmos	G00175OP
G00175UH	glycosmos	G00175UH
G00175YE	glycosmos	G00175YE
G00176HZ	glycosmos	G00176HZ
G00176UB	glycosmos	G00176UB
G00176WP	glycosmos	G00176WP
G00177BS	glycosmos	G00177BS
G00179UY	glycosmos	G00179UY
G00180JU	glycosmos	G00180JU
