GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00123JF	2878	snfg	extended	svg
G00125TX	1287	snfg	extended	png
G00125TX	5947	snfg	extended	svg
G00133UK	1721	snfg	extended	png
G00133UK	5958	snfg	extended	svg
G00139WK	1479	snfg	extended	png
G00139WK	7592	snfg	extended	svg
G00140QW	4743	snfg	extended	png
G00140QW	25308	snfg	extended	svg
G00140XB	1280	snfg	extended	png
G00140XB	4305	snfg	extended	svg
G00140YZ	2426	snfg	extended	png
G00140YZ	8897	snfg	extended	svg
G00141ZD	1820	snfg	extended	png
G00141ZD	5993	snfg	extended	svg
G00142DY	5938	snfg	extended	png
G00142DY	24924	snfg	extended	svg
G00148WK	1110	snfg	extended	png
G00148WK	4247	snfg	extended	svg
G00152LK	1441	snfg	extended	png
G00152LK	11123	snfg	extended	svg
G00152SF	3359	snfg	extended	png
G00152SF	14475	snfg	extended	svg
G00152UP	5224	snfg	extended	png
G00152UP	21253	snfg	extended	svg
G00153LJ	1101	snfg	extended	png
G00153LJ	6011	snfg	extended	svg
G00155YT	5543	snfg	extended	png
G00155YT	22972	snfg	extended	svg
G00157WT	4566	snfg	extended	png
G00157WT	19458	snfg	extended	svg
G00164QP	3867	snfg	extended	png
G00164QP	15949	snfg	extended	svg
G00167VE	4581	snfg	extended	png
G00167VE	20977	snfg	extended	svg
G00171RJ	6015	snfg	extended	png
G00171RJ	25064	snfg	extended	svg
G00173GD	2472	snfg	extended	png
G00173GD	10142	snfg	extended	svg
G00175GT	1787	snfg	extended	png
G00175GT	7599	snfg	extended	svg
G00176HZ	4170	snfg	extended	png
G00176HZ	17566	snfg	extended	svg
G00185NL	2448	snfg	extended	png
G00185NL	9543	snfg	extended	svg
G00186HV	2969	snfg	extended	png
G00186HV	13444	snfg	extended	svg
G00186OS	3939	snfg	extended	png
G00186OS	19404	snfg	extended	svg
G00194GV	783	snfg	extended	png
G00194GV	3983	snfg	extended	svg
G00194ZL	1497	snfg	extended	png
G00194ZL	4774	snfg	extended	svg
G00196CO	4699	snfg	extended	png
G00196CO	19331	snfg	extended	svg
G00199AH	2360	snfg	extended	png
G00199AH	12571	snfg	extended	svg
G00199JR	2066	snfg	extended	png
G00199JR	9346	snfg	extended	svg
G00201AB	4674	snfg	extended	png
G00201AB	19398	snfg	extended	svg
G00204EX	2038	snfg	extended	png
G00204EX	7901	snfg	extended	svg
G00207YQ	4086	snfg	extended	png
G00207YQ	17796	snfg	extended	svg
G00209ZX	1929	snfg	extended	png
G00209ZX	9307	snfg	extended	svg
G00210FR	1646	snfg	extended	png
G00210FR	6700	snfg	extended	svg
G00210ZX	6039	snfg	extended	png
G00210ZX	24479	snfg	extended	svg
G00211WY	4274	snfg	extended	png
G00211WY	21005	snfg	extended	svg
G00212RH	5284	snfg	extended	png
G00212RH	26203	snfg	extended	svg
G00212ZT	3083	snfg	extended	png
G00212ZT	14547	snfg	extended	svg
G00219DO	3567	snfg	extended	png
G00219DO	17613	snfg	extended	svg
G00219VH	810	snfg	extended	png
G00219VH	4182	snfg	extended	svg
G00221CZ	5011	snfg	extended	png
G00221CZ	18043	snfg	extended	svg
G00222MO	1465	snfg	extended	png
G00222MO	5686	snfg	extended	svg
G00227RN	5480	snfg	extended	png
G00227RN	26062	snfg	extended	svg
G00227ZY	1399	snfg	extended	png
G00227ZY	5515	snfg	extended	svg
G00229TF	1683	snfg	extended	png
G00229TF	7418	snfg	extended	svg
G00229VQ	1474	snfg	extended	png
G00229VQ	6049	snfg	extended	svg
G00230CO	4456	snfg	extended	png
G00230CO	18437	snfg	extended	svg
G00230IL	3054	snfg	extended	png
G00230IL	17233	snfg	extended	svg
G00231IQ	4715	snfg	extended	png
G00231IQ	21092	snfg	extended	svg
G00231WL	8169	snfg	extended	png
G00231WL	29958	snfg	extended	svg
G00232ED	1992	snfg	extended	png
G00232ED	8292	snfg	extended	svg
G00234GG	2365	snfg	extended	png
G00234GG	7976	snfg	extended	svg
G00234MX	1555	snfg	extended	png
G00234MX	6330	snfg	extended	svg
G00235HI	3764	snfg	extended	png
G00235HI	20848	snfg	extended	svg
G00238CK	2272	snfg	extended	png
G00238CK	6297	snfg	extended	svg
G00238FA	1085	snfg	extended	png
G00238FA	4306	snfg	extended	svg
G00240EZ	2685	snfg	extended	png
G00240EZ	9056	snfg	extended	svg
G00241VQ	2657	snfg	extended	png
G00241VQ	12544	snfg	extended	svg
G00247JV	4047	snfg	extended	png
G00247JV	19771	snfg	extended	svg
G00247PL	4011	snfg	extended	png
G00247PL	17690	snfg	extended	svg
G00248DH	4557	snfg	extended	png
G00248DH	23178	snfg	extended	svg
G00249IY	4389	snfg	extended	png
G00249IY	19529	snfg	extended	svg
G00249XF	2188	snfg	extended	png
G00249XF	9658	snfg	extended	svg
G00249XR	2338	snfg	extended	png
G00249XR	8877	snfg	extended	svg
G00252UK	1234	snfg	extended	png
G00252UK	6010	snfg	extended	svg
G00257RE	1976	snfg	extended	png
G00257RE	8950	snfg	extended	svg
G00257UQ	3461	snfg	extended	png
G00257UQ	12684	snfg	extended	svg
G00258QK	2790	snfg	extended	png
G00258QK	12684	snfg	extended	svg
G00272VU	2995	snfg	extended	png
G00272VU	14235	snfg	extended	svg
G00273SJ	1535	snfg	extended	png
G00273SJ	6168	snfg	extended	svg
G00274WK	2538	snfg	extended	png
G00274WK	12711	snfg	extended	svg
G00277SO	2937	snfg	extended	png
G00277SO	12575	snfg	extended	svg
G00279YF	3558	snfg	extended	png
G00279YF	15904	snfg	extended	svg
G00281HB	3638	snfg	extended	png
G00281HB	16145	snfg	extended	svg
G00283TT	2116	snfg	extended	png
G00283TT	6353	snfg	extended	svg
G00284SJ	2697	snfg	extended	png
G00284SJ	12869	snfg	extended	svg
G00287UD	2464	snfg	extended	png
G00287UD	13826	snfg	extended	svg
G00288QM	2184	snfg	extended	png
G00288QM	10997	snfg	extended	svg
