accession	monosaccharide
G01364WM	HexNAc
G01364ZC	GlcNAc
G01364ZC	HexNAc
G01366WY	Hex
G01366WY	Man
G01367ZS	GlcNAc
G01367ZS	HexNAc
G01369KU	Glc
G01369KU	Hex
G01375NQ	GlcNAc
G01375NQ	HexNAc
G01376AY	Hex
G01378OV	GlcNAc
G01378OV	HexNAc
G01385UC	GlcNAc
G01385UC	HexNAc
G01386NB	GlcNAc
G01386NB	HexNAc
G01388RZ	GlcNAc
G01388RZ	HexNAc
G01392LP	GlcNAc
G01392LP	HexNAc
G01396FD	GlcNAc
G01396FD	HexNAc
G01406RR	GlcNAc
G01406RR	HexNAc
G01414CL	GlcNAc
G01414CL	HexNAc
G01416HI	GalNAc
G01416HI	HexNAc
G01416SG	GlcNAc
G01416SG	HexNAc
G01417SR	Xxx
G01424EN	GlcNAc
G01424EN	HexNAc
G01437WY	GalNAc
G01437WY	HexNAc
G01443DG	GlcNAc
G01443DG	HexNAc
G01445XB	GalNAc
G01445XB	HexNAc
G01447WV	GlcNAc
G01447WV	HexNAc
G01450RG	GalNAc
G01450RG	HexNAc
G01450UB	GlcNAc
G01450UB	HexNAc
G01450VD	GlcNAc
G01450VD	HexNAc
G01453BU	GalNAc
G01453BU	HexNAc
G01455VM	GalNAc
G01455VM	HexNAc
G01457KB	GalNAc
G01457KB	HexNAc
G01461LF	GlcNAc
G01461LF	HexNAc
G01464ES	GalNAc
G01464ES	HexNAc
G01465MJ	GlcNAc
G01465MJ	HexNAc
G01473WV	GlcNAc
G01473WV	HexNAc
G01476LL	GalNAc
G01476LL	HexNAc
G01476UF	GlcNAc
G01476UF	HexNAc
G01476WA	GlcNAc
G01476WA	HexNAc
G01489UZ	GlcNAc
G01489UZ	HexNAc
G01498NL	HexNAc
G01504UZ	GlcNAc
G01504UZ	HexNAc
G01505GJ	Hex
G01506GC	GlcNAc
G01506GC	HexNAc
G01510MQ	GlcNAc
G01510MQ	HexNAc
G01511KB	Xxx
G01513UO	Glc
G01513UO	Hex
G01514YB	GlcNAc
G01514YB	HexNAc
G01520KE	GalNAc
G01520KE	HexNAc
G01521YU	GlcNAc
G01521YU	HexNAc
G01525UQ	GlcNAc
G01525UQ	HexNAc
G01527ZD	Hex
G01527ZD	Man
G01532FF	GalNAc
G01532FF	HexNAc
G01534TU	GalNAc
G01534TU	HexNAc
G01535VC	GlcNAc
G01535VC	HexNAc
G01540PE	Xxx
G01541BA	Hex
G01541BA	Man
G01542OM	GlcNAc
G01542OM	HexNAc
G01543QR	Xxx
G01543ZX	GlcNAc
G01543ZX	HexNAc
G01544LX	Hex
G01544LX	Man
G01545QB	Hex
G01545QB	Man
G01546PE	GalNAc
G01546PE	HexNAc
G01550VL	Pent
G01550VL	Xyl
G01556OR	NeuAc
G01556OR	Sia
G01566HQ	GlcNAc
G01566HQ	HexNAc
G01573VB	Xxx
G01577DB	GalNAc
G01577DB	HexNAc
G01580PZ	Glc
G01580PZ	Hex
G01582PV	Hex
G01582PV	Man
G01584VI	GalNAc
G01584VI	HexNAc
G01587DQ	GlcNAc
G01587DQ	HexNAc
G01590HD	GlcNAc
G01590HD	HexNAc
G01595SM	GlcNAc
G01595SM	HexNAc
G01599BJ	Gal
G01599BJ	Hex
G01599DL	Glc
G01599DL	Hex
G01600VV	GlcNAc
G01600VV	HexNAc
G01602LO	GlcNAc
G01602LO	HexNAc
G01606CH	GlcNAc
G01606CH	HexNAc
G01607ZD	Gal
G01607ZD	Hex
