GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37314EM	UBERON:0001969	Human	Subsumption	GNOme	G04604BY
G37314EM	UBERON:0002107	Human	Subsumption	GNOme	G13519DN
G37314EM	UBERON:0000178	Human	Subsumption	GNOme	G40272PX
G37314EM	UBERON:0001155	Human	Subsumption	GNOme	G87267JO
G37314EM	UBERON:0002048	Human	Subsumption	GNOme	G87267JO
G37314EM	UBERON:0002107	Human	Subsumption	GNOme	G95162BD
G37327FR	UBERON:0000178	Human	Subsumption	GNOme	G23934NS
G37327FR	UBERON:0001969	Human	Subsumption	GNOme	G23934NS
G37327FR	UBERON:0002048	Human	Subsumption	GNOme	G23934NS
G37327FR	UBERON:0002185	Human	Subsumption	GNOme	G23934NS
G37327FR	UBERON:0002107	Human	Subsumption	GNOme	G34767QT
G37327FR	UBERON:0001969	Human	Subsumption	GNOme	G36191CD
G37327FR	UBERON:0000029	Human	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0000948	Human	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0001155	Human	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002048	Human	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002419	Human	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0001977	Human	Subsumption	GNOme	G66741YQ
G37327FR	UBERON:0000473	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0000955	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0000964	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0000992	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0001155	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002048	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002106	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002108	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0002370	Mouse	Subsumption	GNOme	G58521VQ
G37327FR	UBERON:0000160	ZebraFish	Subsumption	GNOme	G66741YQ
G37327FR	UBERON:0000473	ZebraFish	Subsumption	GNOme	G66741YQ
G37327FR	UBERON:0002419	ZebraFish	Subsumption	GNOme	G66741YQ
G37343ZQ	UBERON:0000178	Human	Subsumption	GNOme	G20021NB
G37343ZQ	UBERON:0001969	Human	Subsumption	GNOme	G20021NB
G37343ZQ	UBERON:0001155	Human	Subsumption	GNOme	G87721BR
G37343ZQ	UBERON:0002048	Human	Subsumption	GNOme	G87721BR
G37343ZQ	UBERON:0002419	Human	Subsumption	GNOme	G87721BR
G37343ZQ	UBERON:0002108	Mouse	Subsumption	GNOme	G87721BR
G37353HV	UBERON:0001155	Human	Subsumption	GNOme	G64454AV
G37399XV	UBERON:0002107	Human	Subsumption	GNOme	G06595UR
G37399XV	UBERON:0001969	Human	Subsumption	GNOme	G12400PA
G37399XV	UBERON:0002048	Human	Subsumption	GNOme	G52308VC
G37399XV	UBERON:0001977	Human	Subsumption	GNOme	G52928OQ
G37399XV	UBERON:0001969	Human	Subsumption	GNOme	G82463GQ
G37399XV	UBERON:0001977	Human	Subsumption	GNOme	G82463GQ
G37399XV	UBERON:0000178	Human	Direct	PubMed	29792883
G37399XV	UBERON:0000178	Human	Direct	PubMed	30093973
G37399XV	UBERON:0000178	Human	Direct	PubMed	30251656
G37399XV	UBERON:0000178	Human	Direct	PubMed	30844485
G37399XV	UBERON:0000178	Human	Direct	PubMed	32898301
G37399XV	UBERON:0000178	Human	Direct	PubMed	33877489
G37399XV	UBERON:0000178	Human	Direct	PubMed	37485378
G37399XV	UBERON:0000178	Human	Direct	TableMaker	GLY_001408
G37399XV	UBERON:0000955	ZebraFish	Subsumption	GNOme	G45319NP
G37427AX	UBERON:0001977	Human	Subsumption	GNOme	G01670UQ
G37427AX	UBERON:0000178	Human	Subsumption	GNOme	G03934AE
G37427AX	UBERON:0001969	Human	Subsumption	GNOme	G03934AE
G37427AX	UBERON:0002107	Human	Subsumption	GNOme	G13245XY
G37427AX	UBERON:0001977	Human	Subsumption	GNOme	G37591JC
G37427AX	UBERON:0000178	Human	Subsumption	GNOme	G43054OI
G37427AX	UBERON:0001969	Human	Subsumption	GNOme	G43054OI
G37427AX	UBERON:0002107	Human	Subsumption	GNOme	G58533RL
G37427AX	UBERON:0000178	Human	Subsumption	GNOme	G64536GL
G37427AX	UBERON:0002107	Human	Subsumption	GNOme	G75841SN
G37427AX	UBERON:0000029	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0000948	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0001155	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002106	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002107	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002108	Human	Subsumption	GNOme	G84553QQ
