GlyTouCanAccession	GLYCOSCIENCESdeAccession
G07301IS	24040
G07301IS	12532
G07352BK	1420
G07352BK	25344
G07360NF	2205
G07372WA	5098
G07376BS	15943
G07376BS	16803
G07392QY	12017
G07392QY	23856
G07410AW	23343
G07483YN	3415
G07483YN	6439
G07483YN	23316
G07483YN	24706
G07483YN	24709
G07528DS	7747
G07532ZA	26042
G07568IR	24977
G07617FP	22747
G07617FP	2145
G07641UW	1174
G07674LF	24751
G07681KR	3498
G07695ZT	23319
G07699XI	1622
G07699XI	23453
G07817HH	7759
G07835SR	527
G07835SR	3208
G07978HT	3680
G07982BU	1797
G07990UY	1916
G07990UY	5000
G07995VK	14360
G07995VK	22976
G08005PG	12621
G08046LM	12285
G08055MG	1673
G08066KX	2046
G08066KX	13323
G08096ND	3256
G08140FC	4297
G08242BT	25992
G08244KE	12409
G08244YE	12420
G08340FW	23237
G08364MT	3350
G08371CD	6269
G08371CD	22034
G08429SS	23540
G08456TO	25986
G08463CD	12535
G08463CD	24043
G08465VN	14426
G08474XG	12801
G08492JZ	1813
G08493GY	24902
G08520NM	2384
G08520NM	23657
G08561XZ	15738
G08577ZR	24857
G08646YJ	1072
G08646YJ	16008
G08679LR	14031
G08776GA	4479
G08776GA	2492
G08820NR	1802
G08835TC	1633
G08896RO	24939
G08961VV	2411
G09126MW	2047
G09126MW	1188
G09126MW	1864
G09150LP	23528
G09222UH	13400
G09260EL	13770
G09276TA	16451
G09362PR	1361
G09362PR	12310
G09362VG	12661
G09376MR	1162
G09397UV	12245
G09416DG	16146
G09416DG	23458
G09425PN	15191
G09441IP	1825
G09446VC	24892
G09452ED	15846
G09482NW	17372
G09482NW	3785
G09482NW	12952
G09482NW	23506
G09513RD	1807
G09533NV	17281
G09546QO	5954
G09546QO	14139
G09546QO	14379
G09546QO	15265
G09546QO	15272
G09546QO	18073
G09546QO	22578
G09546QO	22656
G09546QO	27047
G09546QO	27201
G09552LA	689
G09552LA	3707
G09552LA	15459
G09552LA	17661
G09568JT	19235
G09568JT	25020
G09576QH	23399
G09670SR	23516
G09675DY	1917
G09675DY	3349
G09682KX	16535
G09687RJ	3643
G09724ZC	3099
G09724ZC	22445
G09826WW	24124
G09839ES	16449
G09859LE	14427
G09902CG	6654
G09909FT	15696
G09921WG	24951
G09947VE	11735
G10080RX	3497
G10110YZ	631
G10112QT	16851
G10169QE	262
G10179FS	1377
G10179FS	2707
G10179FS	15984
G10182XZ	24954
G10203DW	2211
G10203DW	17346
G10209QU	24952
G10212DI	509
G10219AA	2383
G10219AA	23325
G10228OD	12714
G10228OD	24098
G10236SD	1999
G10236SD	25359
G10255XW	2016
G10258MC	25926
G10270EI	14415
G10292TC	12309
G10292TC	24020
G10295MW	24941
G10377CG	4123
G10425SO	12540
G10425SO	24048
G10448ZR	16795
G10461TS	15288
G10483PN	12603
G10487BH	17382
G10503MP	5173
G10540LB	24911
G10573FI	3406
G10602EW	17135
G10608NX	16992
G10614XK	15731
G10664FL	26008
G10689ZT	19148
G10691MJ	23227
G10694XU	2389
G10706KM	1693
G10712FZ	54
G10713RP	6492
G10733HY	24778
G10756ZZ	1518
G10756ZZ	23413
G10770RR	26141
G10805TH	1372
G10805TH	2702
G10818SM	18373
G10831FE	17389
G10835DD	13767
G10844WB	5451
G10859BP	16414
G10964LR	245
G10964LR	3746
G10993EM	4288
G11010AN	24863
G11024UW	16310
G11034PZ	24930
G11041DA	268
G11041DA	2928
G11041DA	3422
G11041DA	22982
G11052OE	26315
G11189WY	23086
G11256DQ	17081
G11260XI	16446
G11263YZ	2108
G11276SJ	16512
G11326RB	11899
G11346ER	12392
G11356UZ	19141
G11386DK	15960
G11450BY	25377
G11450BY	1383
G11457RF	9127
G11457RF	25814
G11460AB	12525
G11460AB	25523
G11509RN	2672
G11509RN	23666
G11535IB	13599
G11535IB	23283
G11635LG	7722
G11637WL	1526
G11637WL	23415
G11679NT	27557
G11721NX	15762
G11745XZ	27609
G11756ZM	12251
G11819NV	16730
G11829TU	241
G11865ZE	5441
G11885NX	23488
G11929SN	24749
G11994QC	24752
G12020PN	4290
G12061IK	25480
G12067FX	2957
G12067FX	13694
G12111NA	12417
G12185WN	5101
G12230UX	2536
G12340JM	16628
G12396GB	23427
G12398HZ	3419
G12398HZ	6465
G12398HZ	23275
G12400OQ	3388
G12460DL	2342
G12524BD	13355
G12593TX	1500
G12593TX	4318
G12593TX	4321
G12631FF	15774
G12699VT	26214
G12715RL	1418
G12715RL	25342
G12802HY	24736
G12848QL	16519
G12861CT	1087
G12878NK	1788
G12899EM	19145
G12932IO	4115
G12980HQ	6413
G13003UU	2854
G13074BX	17134
G13112FS	17529
G13151XE	24125
G13168IS	16289
G13177TU	4583
G13181ZZ	8241
G13181ZZ	9010
G13181ZZ	9702
G13210XL	26093
G13258AZ	12345
G13269QI	3135
G13270NH	12100
G13282WA	24809
G13294EW	16502
G13335AQ	23756
G13585JF	26134
G13585VS	4125
G13602QE	11733
G13610SN	16980
G13636IT	688
G13636IT	22046
G13659RH	26014
G13688QP	7757
G13698FQ	13914
G13757MF	16302
G13869TL	1316
G13869TL	4063
G13894RO	12504
G13902SG	11641
G13902SG	5190
G13902SG	11637
G13902SG	14145
G13902SG	14685
G13902SG	17897
G13902SG	19704
G13909GK	4490
G13947MP	1456
G13947MP	4139
G13974DV	1313
G13974DV	2504
G13976WV	1425
G13976WV	2111
G14020CV	19787
G14023WK	3401
G14043TF	16441
G14047PA	15024
G14047PA	22979
G14114NU	16622
G14127XU	23635
G14127XU	3424
G14127XU	3925
G14138XB	8716
G14190WK	1298
G14191ZT	3668
G14252XR	3678
G14311HQ	24975
G14326YE	2634
G14354BD	3492
G14356TR	2010
G14356TR	16799
G14371GV	9139
G14371GV	9140
G14371GV	13927
G14371GV	17444
G14371GV	25815
G14373ZY	7755
G14393TF	23820
G14428PM	26119
G14469GR	1455
G14469GR	4140
G14520ZO	12402
G14520ZO	24021
G14543IY	19558
G14567YG	17390
G14629VW	14569
G14634AH	16240
G14645TH	4280
G14675SI	16201
G14757SY	250
G14781HP	8935
G14782PJ	16606
G14782PJ	24427
G14815WH	4296
G14876IZ	698
G14885WQ	3686
G14969WO	2741
G14974EY	2356
G14978ZY	8953
G14996IQ	13626
G14996IQ	24193
G14998UC	23054
G15006PM	15682
G15023FV	16984
G15059WI	2358
G15144TI	632
G15149UW	22759
G15280CB	13259
G15317IZ	1317
G15317IZ	5583
G15351FP	6410
G15365ZM	8098
G15407YE	551
G15407YE	3409
G15407YE	3821
G15407YE	5704
G15407YE	13373
G15407YE	13729
G15407YE	14579
G15407YE	17541
G15409BP	12351
G15518HO	8181
G15541SE	221
G15541SE	7713
G15541SE	14193
G15577KP	16505
G15619OA	5384
G15631YF	1939
G15648GT	17109
G15667CY	14052
G15667CY	16753
G15696PP	5003
G15751RX	17039
G15777ZX	5243
G15807NZ	3223
G15807NZ	17304
G15826FL	16734
G15828WB	23499
G15859AU	26012
G15948XY	1138
G15998WM	5295
G16026TZ	254
G16063EF	2859
G16119YF	1282
G16144PA	17397
G16155TD	25922
G16175MV	4957
G16258KS	2288
G16269RR	1175
G16274HY	14898
G16276IK	3487
G16276IK	1368
G16293AI	4047
G16348RE	4408
G16370GQ	626
G16370GQ	18377
G16404NW	390
G16404NW	21433
G16404YH	2146
G16404YH	27586
G16437LH	23055
G16481GK	4058
G16520OZ	1373
G16520OZ	25337
G16523AO	23510
G16529MG	12715
G16529MG	24099
G16534FS	12354
G16546ZZ	25673
G16590BZ	12534
G16590BZ	24042
G16600BL	25753
G16612QG	12833
G16717IV	1398
G16717IV	3276
G16733YD	1793
G16768LX	1391
G16768LX	2100
G16774YZ	24798
G16782SL	15780
G16828VN	2134
G16828VN	23651
G16869MJ	16303
G16873YG	12717
G16873YG	24101
G16961BB	23738
G16961BB	3995
G16984QJ	12297
G16986CA	15724
G17029BL	15684
G17034UD	12406
G17039ZC	8930
G17041CW	516
G17041CW	6666
G17075EV	1564
G17108EX	148
G17120XF	5624
G17155VX	24804
G17168RO	7988
G17168RO	23492
G17228YV	15750
G17251XF	5337
G17251XF	5338
G17251XF	5339
G17251XF	25728
G17264LS	2373
G17264LS	23656
G17297XR	7753
G17326TY	13654
G17326TY	25479
G17331IX	13827
G17344FG	12469
G17443MW	1906
G17465GV	19909
G17473NR	2266
G17473NR	23653
G17540HT	24792
G17540MV	4487
G17557TG	4572
G17597KD	15944
G17597KD	16806
G17601US	27046
G17644VM	5073
G17644VM	23806
G17652NI	7746
G17689DH	2688
G17689DH	23242
G17689EW	22587
G17758YV	15221
G17758YV	26084
G17800QD	1363
G17800QD	25255
G17820VB	14018
G17849ZC	18233
G17857ZF	23909
G17875TE	12760
G17964DY	25467
G17964XN	13761
G17996ZO	13757
G18026EK	25703
G18082CO	1410
G18082CO	4077
G18132YR	647
G18165XJ	16595
G18201QM	13821
G18219CJ	25989
G18223CA	1935
G18252JT	1171
G18286BM	15674
G18331QM	7257
G18463FK	619
G18506AD	2755
G18510JA	2619
G18510JA	15942
G18510WC	11745
G18546YL	293
G18559VR	12423
G18564GN	16161
G18612LP	2553
G18625KA	163
G18625KA	22462
G18638YB	22588
G18638YB	23434
G18643KO	1586
G18643KO	25353
G18653BM	12388
G18687CN	23360
G18707MU	12349
G18731YM	18171
G18740DM	14827
G18740DM	15961
G18768EK	24937
G18814OJ	12498
G18833GC	630
G18859UG	23112
G18878GS	12291
G18878GY	3404
G18901ZN	5229
G18923CQ	3065
G18923CQ	3479
G18923CQ	11653
G18923CQ	11663
G18923CQ	14686
G18923CQ	17898
G18923CQ	22098
G18923CQ	22100
G18938DW	729
G18938DW	239
G18938DW	240
G18938DW	4950
G18938DW	5730
G18938DW	22954
G18950NM	1678
G18993ZZ	8313
G19019TY	17374
G19022QG	27407
G19075LN	16517
G19083SI	1360
G19083SI	14241
G19104OH	26116
G19127AY	8101
G19152KQ	2737
G19158MO	22725
G19179MO	27720
G19212IL	17111
G19242QH	26592
G19294RF	15686
G19310VN	14016
G19336PT	2726
G19432GA	3289
G19444JC	7710
G19444JC	23637
G19490AF	1224
G19555CW	12415
G19577LJ	11038
G19577LJ	5937
G19577LJ	11296
