GlyTouCanAccession	Relationship	RelatedAccession
G00745GK	Subsumes	G10023KT
G00747UC	SubsumedBy	G19124GC
G00747UC	Subsumes	G50535IT
G00747UC	Subsumes	G88800UV
G00760ZJ	SubsumedBy	G53072XH
G00761OX	SubsumedBy	G93921SI
G00761OX	Subsumes	G52789LB
G00774OZ	SubsumedBy	G75178ER
G00774OZ	SubsumedBy	G91331SN
G00774OZ	Subsumes	G86567NX
G00783PW	SubsumedBy	G40087YU
G00783PW	Subsumes	G68959TR
G00784PW	SubsumedBy	G35029YA
G00784PW	Subsumes	G92185NI
G00794UV	SubsumedBy	G74962OJ
G00794UV	Subsumes	G52816MI
G00797ZX	SubsumedBy	G80510YA
G00798PL	SubsumedBy	G51369CD
G00800WJ	SubsumedBy	G28149YN
G00800WJ	Subsumes	G10228OD
G00800WJ	Subsumes	G16150CJ
G00800WJ	Subsumes	G16529MG
G00800WJ	Subsumes	G62765SF
G00800WJ	Subsumes	G80537QW
G00800WJ	Subsumes	G91905FJ
G00803PJ	SubsumedBy	G34707SL
G00803PJ	Subsumes	G72079HR
G00803PJ	Subsumes	G66300WN
G00803PJ	Subsumes	G02622JG
G00803PJ	Subsumes	G05674AL
G00803PJ	Subsumes	G24108BY
G00803PJ	Subsumes	G33480TI
G00803PJ	Subsumes	G41960WS
G00803PJ	Subsumes	G64260NK
G00803PJ	Subsumes	G92094GJ
G00805TZ	SubsumedBy	G37222TA
G00805TZ	Subsumes	G75671DO
