GlyTouCanAccession	Relationship	RelatedAccession
G64870DN	SubsumedBy	G89291WX
G64870DN	SubsumedBy	G36880NK
G64871AT	SubsumedBy	G17704UG
G64871AT	Subsumes	G91421OF
G64873JT	SubsumedBy	G03895RQ
G64873JT	SubsumedBy	G97612GY
G64873JT	Subsumes	G75465YX
G64876LY	Subsumes	G40407UW
G64876LY	Subsumes	G94201BI
G64878VD	SubsumedBy	G17843DM
G64878VD	Subsumes	G85313YF
G64885AH	SubsumedBy	G03795KZ
G64894MA	SubsumedBy	G68203DZ
G64894MA	SubsumedBy	G52354QX
G64894MA	Subsumes	G59742GY
G64897QL	SubsumedBy	G79510CB
G64897QL	Subsumes	G21167TN
G64899EB	SubsumedBy	G40957MU
G64899EB	SubsumedBy	G50708YO
G64901XZ	SubsumedBy	G09811CA
G64901XZ	Subsumes	G11800WA
G64901XZ	Subsumes	G44883NU
G64901XZ	Subsumes	G38407OC
G64901XZ	Subsumes	G40813TL
G64904FE	SubsumedBy	G03644PT
G64904FE	SubsumedBy	G09287HW
G64904QS	SubsumedBy	G62382LX
G64913UY	SubsumedBy	G77503JL
G64913UY	Subsumes	G20332TP
G64913UY	Subsumes	G58029XR
G64916BF	SubsumedBy	G18662IW
G64916BF	SubsumedBy	G45552IY
G64916BF	Subsumes	G82308RC
G64916BF	Subsumes	G44534DB
G64916BF	Subsumes	G68588ED
G64916BF	Subsumes	G39220OK
G64916EE	SubsumedBy	G98097NI
G64916EE	Subsumes	G12174KS
G64916EE	Subsumes	G27051BW
G64917GW	SubsumedBy	G03585GW
G64917GW	Subsumes	G74121RX
G64917GW	Subsumes	G92550NU
G64919UI	SubsumedBy	G36043JE
G64922VJ	SubsumedBy	G57317CE
G64922VJ	Subsumes	G41487YW
G64922VJ	Subsumes	G44848DV
G64922VJ	Subsumes	G69311JK
G64926QS	SubsumedBy	G58087IP
G64926QS	Subsumes	G33549NI
G64926QS	Subsumes	G50083IJ
G64926QS	Subsumes	G02882GQ
G64926QS	Subsumes	G72153KX
G64926QS	Subsumes	G98788VR
G64926QS	Subsumes	G65006SL
G64926QS	Subsumes	G11846HL
G64926QS	Subsumes	G59846KX
G64926QS	Subsumes	G14235DH
G64926QS	Subsumes	G61746NO
G64926QS	Subsumes	G16094GG
G64926QS	Subsumes	G16097JY
G64926QS	Subsumes	G60158NU
G64926QS	Subsumes	G56852BP
G64926QS	Subsumes	G65444MU
G64931FF	SubsumedBy	G40909HG
G64933BH	SubsumedBy	G10292DJ
G64933BH	Subsumes	G16188IP
G64933BH	Subsumes	G44058QD
G64937FU	SubsumedBy	G22015OG
G64937FU	SubsumedBy	G83223NT
G64937FU	Subsumes	G06509PB
G64937FU	Subsumes	G33651SE
G64937FU	Subsumes	G69729AS
G64943CI	SubsumedBy	G81337OK
G64943NM	SubsumedBy	G58087IP
G64943NM	Subsumes	G61746NO
G64950NP	SubsumedBy	G03436RQ
G64950NP	SubsumedBy	G18641IV
G64950NP	SubsumedBy	G36131WL
G64951NH	SubsumedBy	G29046XY
G64951NH	SubsumedBy	G79986LV
G64951NH	Subsumes	G78290JM
G64952VU	SubsumedBy	G46338CQ
G64959IQ	SubsumedBy	G97451MM
G64959IQ	Subsumes	G75197HN
G64959IQ	Subsumes	G50829CY
G64959IQ	Subsumes	G55184GH
G64959IQ	Subsumes	G84526SL
G64959JJ	SubsumedBy	G28830RK
G64959JJ	Subsumes	G25457IZ
G64960RN	SubsumedBy	G22355FZ
G64960RN	SubsumedBy	G61985YC
G64960RN	Subsumes	G26453HS
G64963HC	SubsumedBy	G56711UY
G64963HC	SubsumedBy	G91257TL
G64964LN	SubsumedBy	G06281SB
G64964LN	Subsumes	G08799JV
G64964LN	Subsumes	G69408QG
G64964LN	Subsumes	G98836DL
G64965ZH	SubsumedBy	G83155SV
G64965ZH	Subsumes	G92848QA
G64967DO	SubsumedBy	G29046XY
G64967DO	SubsumedBy	G79986LV
G64967DO	Subsumes	G15001YX
G64968QT	SubsumedBy	G88426KH
G64973KT	SubsumedBy	G09938IH
G64973KT	SubsumedBy	G69723CB
G64973KT	SubsumedBy	G49465QD
G64973KT	SubsumedBy	G26690QG
G64979EW	SubsumedBy	G72948EU
G64979EW	Subsumes	G80513FH
G64989JY	SubsumedBy	G51067CM
G64989JY	SubsumedBy	G95640AM
G64989JY	Subsumes	G36259JQ
G64990MD	SubsumedBy	G26695FN
G64990MD	Subsumes	G42140AQ
G64992NN	SubsumedBy	G61683AD
G64996BH	SubsumedBy	G13976VB
G64998DO	SubsumedBy	G72745TM
G64998DO	Subsumes	G00362UY
G64998DO	Subsumes	G55080MI
G64998DO	Subsumes	G66273AJ
G64998DO	Subsumes	G75319OX
G65002PM	SubsumedBy	G68750IZ
G65002PM	SubsumedBy	G01994DD
G65002PM	Subsumes	G73528EG
G65006SL	SubsumedBy	G64926QS
G65006SL	SubsumedBy	G46680KA
G65006SL	Subsumes	G24956HQ
G65006SL	Subsumes	G28281DE
G65006SL	Subsumes	G78445JO
G65006SL	Subsumes	G79242MX
G65007AU	SubsumedBy	G76950LE
G65007AU	SubsumedBy	G95133KC
G65009JH	SubsumedBy	G66835PM
G65012HL	SubsumedBy	G44953PJ
G65012HL	Subsumes	G51722UJ
G65012HL	Subsumes	G57543CL
G65012HL	Subsumes	G20672LV
G65012HL	Subsumes	G02519WY
G65012HL	Subsumes	G49372DP
G65012HL	Subsumes	G35118MS
G65012HL	Subsumes	G14176QY
G65012HL	Subsumes	G25304PN
G65012HL	Subsumes	G36167NI
G65012HL	Subsumes	G51177EP
G65012HL	Subsumes	G66751BK
G65012HL	Subsumes	G77703ZT
G65012HL	Subsumes	G90918EK
G65012HL	Subsumes	G37718JO
G65012HL	Subsumes	G96484SJ
G65015ZK	SubsumedBy	G42592TX
G65018DN	SubsumedBy	G68504EY
G65018DN	Subsumes	G89699BW
G65020KU	SubsumedBy	G55840CA
G65022XW	SubsumedBy	G54829NU
G65022XW	Subsumes	G78577JJ
G65030HB	SubsumedBy	G18548RP
G65030HB	SubsumedBy	G47577UM
G65030HB	Subsumes	G29056SI
G65030JI	SubsumedBy	G76054RA
G65030JI	Subsumes	G42713FO
G65030KC	SubsumedBy	G87606IK
G65030KC	Subsumes	G67887EF
G65030KC	Subsumes	G13454LA
G65030KC	Subsumes	G18640IS
G65043VH	SubsumedBy	G86725SE
G65043VH	Subsumes	G76124IU
G65044JI	SubsumedBy	G04767UR
G65044JI	SubsumedBy	G24428CW
G65065ME	SubsumedBy	G65937TS
G65065ME	SubsumedBy	G18743DS
G65065ME	Subsumes	G43290KL
G65070LF	SubsumedBy	G18318CV
G65070OM	SubsumedBy	G49358BI
G65070OM	Subsumes	G79093TF
G65070OM	Subsumes	G20575PK
G65070RM	SubsumedBy	G94583DZ
G65070RM	Subsumes	G70062NE
G65070RM	Subsumes	G17497PZ
G65070RM	Subsumes	G24508MA
G65070RM	Subsumes	G50631BD
G65070VQ	SubsumedBy	G03909YF
G65070VQ	SubsumedBy	G65695UT
G65071ON	SubsumedBy	G13835VN
G65071ON	Subsumes	G14887HS
G65071ON	Subsumes	G23243OZ
G65071ON	Subsumes	G25836SQ
G65071ON	Subsumes	G27814RR
G65071ON	Subsumes	G50181DP
G65071ON	Subsumes	G59833HB
G65079ZY	SubsumedBy	G20652QD
G65080HF	SubsumedBy	G08017ND
G65080HF	Subsumes	G66399CG
G65085HC	SubsumedBy	G57515XH
G65085NL	SubsumedBy	G89380NB
G65087VI	SubsumedBy	G97599MN
G65092SV	SubsumedBy	G02886BB
G65092SV	Subsumes	G03772ZE
G65097BM	SubsumedBy	G37330XC
G65097BM	SubsumedBy	G84853MY
G65097BM	Subsumes	G14879UV
G65097BM	Subsumes	G75483SB
G65101VB	SubsumedBy	G16882JV
G65103XZ	SubsumedBy	G59655FF
G65103XZ	Subsumes	G34065SW
G65103XZ	Subsumes	G52428MJ
G65109OK	SubsumedBy	G22659EW
G65109OK	Subsumes	G50866KI
G65109OK	Subsumes	G56133NW
G65112QB	SubsumedBy	G81020JP
G65112QB	Subsumes	G25216QA
G65114FX	SubsumedBy	G34794YT
G65114FX	Subsumes	G46077HB
G65117HG	SubsumedBy	G58753AP
G65117HG	SubsumedBy	G89911NQ
G65117IS	Subsumes	G78221KA
G65124UZ	SubsumedBy	G00897BY
G65124UZ	Subsumes	G86537AD
G65135MY	SubsumedBy	G08941LG
G65135MY	SubsumedBy	G82651UV
G65146TB	SubsumedBy	G18573YO
G65146TB	SubsumedBy	G14883DT
G65146TB	Subsumes	G85217XJ
G65153LB	SubsumedBy	G76282XA
G65153LB	SubsumedBy	G92638UJ
G65153LB	Subsumes	G12751KV
G65153LB	Subsumes	G61917ZZ
G65154AP	SubsumedBy	G53015AN
G65154AP	Subsumes	G02086TB
G65156DS	SubsumedBy	G58858DY
G65156DS	SubsumedBy	G43214GM
G65156XZ	SubsumedBy	G52967NB
G65156XZ	Subsumes	G61168WC
G65162CH	SubsumedBy	G53909CK
G65165JE	SubsumedBy	G82688EZ
G65165JE	Subsumes	G16998CF
G65165RH	SubsumedBy	G78242EN
G65165RH	SubsumedBy	G92786RJ
G65165RH	SubsumedBy	G70192OC
G65166VR	SubsumedBy	G09533NV
G65166VR	SubsumedBy	G67935HZ
G65169LC	SubsumedBy	G42426KZ
G65169LC	SubsumedBy	G55559HZ
G65180FA	SubsumedBy	G10746HE
G65180FA	Subsumes	G26805JF
G65180FA	Subsumes	G94264FX
G65180FA	Subsumes	G53726DG
G65184UU	Subsumes	G31831PV
G65184UU	Subsumes	G79568CQ
G65184UU	Subsumes	G88620WF
G65184UU	Subsumes	G76746OW
G65184UU	Subsumes	G24526DO
G65184UU	Subsumes	G73489OC
G65184XJ	SubsumedBy	G54296PF
G65184XJ	Subsumes	G35735VF
G65186OJ	SubsumedBy	G31089UT
G65186OJ	Subsumes	G17385XL
G65186OJ	Subsumes	G44210FS
G65186OJ	Subsumes	G91219PM
G65186XA	SubsumedBy	G06656BE
G65186XA	SubsumedBy	G78644BR
G65186XA	Subsumes	G45359RY
G65186XA	Subsumes	G07568IR
G65186XA	Subsumes	G28948UC
G65186XA	Subsumes	G29797YX
G65186XA	Subsumes	G51265ES
G65186XA	Subsumes	G54260SD
G65186XA	Subsumes	G74286KY
G65191ST	SubsumedBy	G01203BZ
G65191ST	SubsumedBy	G30110UW
G65191ST	SubsumedBy	G50999TP
G65191ST	SubsumedBy	G70572KM
G65191ST	Subsumes	G01614ZM
G65191ST	Subsumes	G04267XF
G65192DL	SubsumedBy	G71539PO
G65192DL	SubsumedBy	G55205JA
G65199FX	SubsumedBy	G19305UJ
G65199FX	Subsumes	G99350IC
G65201PY	SubsumedBy	G30909LI
G65201PY	Subsumes	G11035GA
G65214YE	SubsumedBy	G58392XZ
G65214YE	Subsumes	G04165ZA
G65218NW	SubsumedBy	G83555HU
G65218NW	Subsumes	G53162HM
G65218NY	Subsumes	G09943HK
G65219TP	SubsumedBy	G11801TI
G65219TP	SubsumedBy	G43753QH
G65219TP	SubsumedBy	G89339VV
G65219TP	Subsumes	G01954BU
G65220LI	SubsumedBy	G13973YO
G65220LI	Subsumes	G80326PJ
G65223RT	SubsumedBy	G49320XS
G65223RT	SubsumedBy	G80291PD
G65225MN	SubsumedBy	G01605NF
G65225MN	Subsumes	G23895DA
G65225MN	Subsumes	G60191CN
G65226QM	SubsumedBy	G48504ND
G65226QM	SubsumedBy	G74429YM
G65226QM	SubsumedBy	G75932ZJ
G65226QM	SubsumedBy	G16504VB
G65226QM	SubsumedBy	G30142LS
G65226QM	Subsumes	G52483OL
G65234FH	SubsumedBy	G32675WL
G65234FH	SubsumedBy	G80111QD
G65234FH	Subsumes	G18574CV
G65234FH	Subsumes	G78768PN
G65236BH	SubsumedBy	G44202ZW
G65236BH	Subsumes	G55950MY
G65236EL	SubsumedBy	G64780OA
G65236OQ	SubsumedBy	G15810CI
G65236OQ	SubsumedBy	G66624IK
G65238IV	SubsumedBy	G45504EY
G65238IV	Subsumes	G06014UR
G65238IV	Subsumes	G27750TY
G65238IV	Subsumes	G83204BU
G65238IV	Subsumes	G30844CL
G65238IV	Subsumes	G61326KG
G65239SF	SubsumedBy	G37552GO
G65239SF	SubsumedBy	G99235VG
G65243FP	SubsumedBy	G51588IU
G65243FP	SubsumedBy	G90840KY
G65243FP	Subsumes	G84390MS
G65244XM	SubsumedBy	G89233BN
G65244XM	Subsumes	G43523KB
G65244XM	Subsumes	G34861PV
G65255ZQ	SubsumedBy	G23539GZ
G65256PU	SubsumedBy	G65391WE
G65256PU	Subsumes	G61009AA
G65256PU	Subsumes	G96680QM
G65263TV	SubsumedBy	G22555FB
G65263TV	SubsumedBy	G80148RS
G65263TV	Subsumes	G61011QL
G65268SY	SubsumedBy	G52106VD
G65268SY	Subsumes	G86454PA
G65268SY	Subsumes	G54083SI
G65268SY	Subsumes	G64563CQ
G65276XQ	SubsumedBy	G62082AD
G65276XQ	Subsumes	G78367BV
G65276ZU	SubsumedBy	G86744JN
G65276ZU	Subsumes	G65628OM
G65277OQ	SubsumedBy	G07008XD
G65277OQ	Subsumes	G79794WE
G65277OQ	Subsumes	G92826BL
G65284HT	SubsumedBy	G97743NA
G65284HT	Subsumes	G21013JK
G65284HT	Subsumes	G46058YI
G65284VS	SubsumedBy	G67591LJ
G65284VS	SubsumedBy	G78417ZB
G65284VS	Subsumes	G03099FD
G65284VS	Subsumes	G47103DT
G65284VS	Subsumes	G14439NS
G65284VS	Subsumes	G64102SZ
G65285QO	SubsumedBy	G39115ZT
G65285QO	SubsumedBy	G88803KC
G65288NK	SubsumedBy	G43326BY
G65288NK	Subsumes	G00032MO
G65288NK	Subsumes	G78249UI
G65291BW	SubsumedBy	G63185HW
G65291GO	SubsumedBy	G30723YY
G65291GO	Subsumes	G12907EO
G65291GO	Subsumes	G93802RY
G65294YU	SubsumedBy	G10859ES
G65294YU	SubsumedBy	G56809XB
G65294YU	SubsumedBy	G65945PP
G65294YU	SubsumedBy	G94568XL
G65294YU	SubsumedBy	G47925EV
G65294YU	Subsumes	G82252QI
G65296TL	SubsumedBy	G15039AD
G65298XR	SubsumedBy	G61576VD
G65299LG	SubsumedBy	G54139VV
G65299LG	SubsumedBy	G64085NR
G65303YU	SubsumedBy	G82930TB
G65303YU	SubsumedBy	G17202MP
G65307GS	SubsumedBy	G60130ME
G65307GS	Subsumes	G86022PE
G65309UJ	SubsumedBy	G07538NX
G65309UJ	Subsumes	G89575QC
G65311MC	SubsumedBy	G74842QH
G65311MC	SubsumedBy	G89499FB
G65311MC	Subsumes	G61593AU
G65312PV	SubsumedBy	G79301FF
G65312PV	Subsumes	G51472TJ
G65312PV	Subsumes	G92647DE
G65315WP	SubsumedBy	G13334HZ
G65315WP	Subsumes	G54831HN
G65315WP	Subsumes	G83519QC
G65318OO	SubsumedBy	G43454YS
G65318OO	Subsumes	G02207TG
G65318OO	Subsumes	G66835PM
G65318OO	Subsumes	G04903PZ
G65318OO	Subsumes	G17228YV
G65318OO	Subsumes	G20953SW
G65318OO	Subsumes	G41850YN
G65318OO	Subsumes	G57158CS
G65318OO	Subsumes	G69738ZU
G65318OO	Subsumes	G96045AL
G65323BX	SubsumedBy	G84492TS
G65323BX	Subsumes	G70152SH
G65333DX	SubsumedBy	G99174ZQ
G65333DX	Subsumes	G09802TO
G65338GP	SubsumedBy	G82930TB
G65338GP	SubsumedBy	G40866TN
G65340BF	SubsumedBy	G97286VY
G65340BF	Subsumes	G03727RK
G65342QU	SubsumedBy	G72457SF
G65342QU	Subsumes	G93412AQ
G65343UJ	SubsumedBy	G82953UJ
G65343UJ	Subsumes	G63179CS
G65343UJ	Subsumes	G79172UW
G65343UJ	Subsumes	G88673AA
G65351EL	SubsumedBy	G22348XO
G65356DX	SubsumedBy	G62816JK
G65364FS	SubsumedBy	G44236OL
G65365UP	SubsumedBy	G29256WH
G65365UP	Subsumes	G07800ED
G65365UP	Subsumes	G11012KS
G65365UP	Subsumes	G47031UJ
G65365UP	Subsumes	G70594XD
G65365VP	SubsumedBy	G40133HG
G65365VP	SubsumedBy	G29802DQ
G65365VP	Subsumes	G53809EF
G65365ZJ	SubsumedBy	G50685MJ
G65370RS	SubsumedBy	G83312UD
G65370RS	SubsumedBy	G35777BH
G65372SM	SubsumedBy	G00047MO
G65375UN	SubsumedBy	G99243QF
G65375UN	Subsumes	G95491GH
G65376QI	SubsumedBy	G05234QD
G65380CT	SubsumedBy	G37310RN
G65380CT	SubsumedBy	G62165AG
G65383LK	SubsumedBy	G26550KF
G65383LK	Subsumes	G47466SD
G65383LK	Subsumes	G99368YN
G65383LK	Subsumes	G12637ID
G65383LK	Subsumes	G25244IK
G65383LK	Subsumes	G33044HF
G65383LK	Subsumes	G48884SG
G65383LK	Subsumes	G92115PW
G65383LK	Subsumes	G98127AN
G65391WE	SubsumedBy	G87183DD
G65391WE	Subsumes	G65256PU
G65391WE	Subsumes	G29335OP
G65396UE	SubsumedBy	G13334HZ
G65414VM	SubsumedBy	G48143IU
G65415JG	SubsumedBy	G27827YO
G65415JG	Subsumes	G75584LU
G65419YA	SubsumedBy	G06404ZJ
G65419YA	SubsumedBy	G79745PG
G65429EL	SubsumedBy	G11664SJ
G65429EL	Subsumes	G03153DL
G65429EL	Subsumes	G48789KT
G65429EL	Subsumes	G70239OQ
G65429EL	Subsumes	G99591TA
G65432MI	SubsumedBy	G18920FS
G65432SL	SubsumedBy	G66300WN
G65432SL	Subsumes	G75057NM
G65437NL	SubsumedBy	G87961VV
G65437NL	SubsumedBy	G91444NO
G65438SS	SubsumedBy	G24274LP
G65438SS	SubsumedBy	G37830ZV
G65444MU	SubsumedBy	G64926QS
G65444MU	SubsumedBy	G51022MS
G65444MU	Subsumes	G91277HN
G65446KH	SubsumedBy	G77711DZ
G65446KH	Subsumes	G23314QX
G65447BW	SubsumedBy	G97373KA
G65447JX	SubsumedBy	G36845KK
G65447JX	Subsumes	G28654UV
G65449BO	SubsumedBy	G54599TH
G65460ES	SubsumedBy	G92378XH
G65464PI	SubsumedBy	G01730TA
G65464PI	SubsumedBy	G87823PQ
G65464PI	Subsumes	G61718TK
G65466VT	SubsumedBy	G79794WE
G65466VT	SubsumedBy	G59130GH
G65466VT	SubsumedBy	G92826BL
G65466VT	Subsumes	G11929SN
G65466VT	Subsumes	G39595CR
G65467NS	SubsumedBy	G78620TU
G65475CX	SubsumedBy	G51871PB
G65481GA	SubsumedBy	G88245FJ
G65481GA	Subsumes	G68615TX
G65484DP	SubsumedBy	G00975ZH
G65484DP	SubsumedBy	G07372WA
G65484DP	Subsumes	G28651UO
G65492BN	SubsumedBy	G82252SA
G65492BN	SubsumedBy	G65908CH
G65500VO	SubsumedBy	G28722QH
G65500VO	SubsumedBy	G52675YR
G65507FU	SubsumedBy	G17672KF
G65507FU	SubsumedBy	G25715LK
G65507FU	Subsumes	G09899NJ
G65507FU	Subsumes	G80483PX
G65508FE	SubsumedBy	G03757EK
G65508FE	SubsumedBy	G09437GG
G65508OC	SubsumedBy	G97599MN
G65514VB	SubsumedBy	G31349CX
G65514VB	SubsumedBy	G88793UI
G65514VB	Subsumes	G32931VP
G65515HD	SubsumedBy	G18630TP
G65515HD	Subsumes	G48802KI
G65515UQ	SubsumedBy	G18842WA
G65515UQ	Subsumes	G43140KY
G65515UQ	Subsumes	G84817HK
G65516CQ	SubsumedBy	G27104KT
G65518IK	SubsumedBy	G71720UK
G65518IK	Subsumes	G50507PS
G65525UV	SubsumedBy	G23611BU
G65525UV	SubsumedBy	G86037TO
G65526RB	SubsumedBy	G10522CP
G65526RB	Subsumes	G59458NY
G65527PZ	SubsumedBy	G22428GQ
G65527PZ	SubsumedBy	G97496ZX
G65527PZ	Subsumes	G84622HC
G65533MH	SubsumedBy	G25776KR
G65533MH	SubsumedBy	G22830WV
G65533MH	Subsumes	G00936LV
G65533MH	Subsumes	G11182SS
G65533MH	Subsumes	G11787AF
G65533MH	Subsumes	G12182VX
G65533MH	Subsumes	G13975CX
G65533MH	Subsumes	G18238YG
G65533MH	Subsumes	G20866ZQ
G65533MH	Subsumes	G31116GS
G65533MH	Subsumes	G37879VE
G65533MH	Subsumes	G39686QD
G65533MH	Subsumes	G43300WR
G65533MH	Subsumes	G47504RX
G65533MH	Subsumes	G49764YU
G65533MH	Subsumes	G52067GK
G65533MH	Subsumes	G53969KM
G65533MH	Subsumes	G74656GM
G65533MH	Subsumes	G81216DQ
G65533MH	Subsumes	G81788HU
G65533MH	Subsumes	G92944JP
G65533MH	Subsumes	G97077OZ
G65533MH	Subsumes	G97222TN
G65536FS	SubsumedBy	G78185ZA
G65536FS	Subsumes	G75372BZ
G65542KP	SubsumedBy	G61701FD
G65542KP	Subsumes	G37681WS
G65547KW	SubsumedBy	G52478HI
G65547KW	Subsumes	G05002AF
G65550TC	SubsumedBy	G10743GO
G65550TC	Subsumes	G04209KR
G65562ZE	SubsumedBy	G56299XO
G65562ZE	SubsumedBy	G49763BM
G65562ZE	SubsumedBy	G99556PB
G65562ZE	SubsumedBy	G48818KL
G65573RJ	SubsumedBy	G34248UK
G65573RJ	SubsumedBy	G72205TD
G65573RJ	SubsumedBy	G75079FY
G65573RJ	Subsumes	G11801TI
G65575TV	SubsumedBy	G72404VA
G65575TV	Subsumes	G12511VU
G65585XE	SubsumedBy	G32550BI
G65585XE	SubsumedBy	G77956CJ
G65585XE	Subsumes	G83781TR
G65585XE	Subsumes	G03054QW
G65585XE	Subsumes	G64548HA
G65585XE	Subsumes	G97526EY
G65593FM	SubsumedBy	G24113GT
G65593FM	Subsumes	G52236XX
G65593FM	Subsumes	G68713BO
G65593RU	SubsumedBy	G90396JH
G65594XM	SubsumedBy	G65638YM
G65594XM	SubsumedBy	G83943AU
G65594XM	SubsumedBy	G92288VU
G65594XM	SubsumedBy	G95462PR
G65594XM	Subsumes	G07703ST
G65594XM	Subsumes	G10108GZ
G65594XM	Subsumes	G10189EJ
G65594XM	Subsumes	G11613HW
G65594XM	Subsumes	G30062BR
G65594XM	Subsumes	G32483HZ
G65594XM	Subsumes	G39600NF
G65594XM	Subsumes	G62196IB
G65594XM	Subsumes	G64857LW
G65594XM	Subsumes	G66661ZY
G65594XM	Subsumes	G67362UI
G65594XM	Subsumes	G68801RI
G65594XM	Subsumes	G71063DT
G65594XM	Subsumes	G72952WX
G65594XM	Subsumes	G73836ED
G65594XM	Subsumes	G87124HX
G65597BI	SubsumedBy	G01169EW
G65597BI	SubsumedBy	G07024LX
G65597BI	SubsumedBy	G09394JN
G65597BI	SubsumedBy	G24028ZU
G65597BI	SubsumedBy	G89264ZR
G65599QE	SubsumedBy	G91239PO
G65599QE	Subsumes	G92789KS
G65600KO	SubsumedBy	G49499SW
G65600KO	SubsumedBy	G50165MW
G65602FX	SubsumedBy	G82913AR
G65603XA	SubsumedBy	G03750RD
G65609XC	SubsumedBy	G62723BQ
G65609XC	SubsumedBy	G84702VT
G65609XC	Subsumes	G43534QA
G65609XC	Subsumes	G85856KC
G65612XR	SubsumedBy	G61613II
G65612XR	Subsumes	G50695ST
G65612XR	Subsumes	G04467BX
G65612XR	Subsumes	G91535JV
G65612XR	Subsumes	G26166NJ
G65612XR	Subsumes	G44182FH
G65612XR	Subsumes	G45771VM
G65612XR	Subsumes	G62837IG
G65612XR	Subsumes	G64127GJ
G65612XR	Subsumes	G76127VR
G65612XR	Subsumes	G79790LK
G65612XR	Subsumes	G82227EQ
G65612XR	Subsumes	G87728VN
G65612XR	Subsumes	G99112UB
G65612XR	Subsumes	G08608DR
G65612XR	Subsumes	G99160VY
G65612XR	Subsumes	G91857IX
G65612XR	Subsumes	G64439DM
G65612XR	Subsumes	G79849TQ
G65612XR	Subsumes	G95590HB
G65617KZ	SubsumedBy	G15577DT
G65617KZ	Subsumes	G43665PB
G65621RR	SubsumedBy	G87900MR
G65622RZ	SubsumedBy	G74616HH
G65622RZ	Subsumes	G83234UJ
G65622RZ	Subsumes	G42231HN
G65623LC	SubsumedBy	G14683HJ
G65624ZE	SubsumedBy	G34748ZT
G65624ZE	SubsumedBy	G81598XH
G65624ZE	Subsumes	G50855RB
G65625PM	SubsumedBy	G45127TQ
G65625PM	Subsumes	G32358YV
G65628OM	SubsumedBy	G65276ZU
G65628OM	Subsumes	G13375OB
G65635AB	SubsumedBy	G60602HQ
G65638YM	SubsumedBy	G27039IU
G65638YM	Subsumes	G30743QX
G65638YM	Subsumes	G62899XL
G65638YM	Subsumes	G69802ND
G65638YM	Subsumes	G09601WV
G65638YM	Subsumes	G13135UM
G65638YM	Subsumes	G65594XM
G65638YM	Subsumes	G81806PG
G65638YM	Subsumes	G50964YW
G65644CC	SubsumedBy	G52834YJ
G65644CC	SubsumedBy	G71684CB
G65653DJ	SubsumedBy	G00717KJ
G65653DJ	SubsumedBy	G75036QF
G65653DJ	Subsumes	G03609WM
G65653DJ	Subsumes	G18775SC
G65653DJ	Subsumes	G43066JS
G65660BL	SubsumedBy	G17823PT
G65660BL	Subsumes	G91484JV
G65667PE	SubsumedBy	G47486YB
G65668CK	SubsumedBy	G24335BD
G65668CK	SubsumedBy	G32127JA
G65668CK	Subsumes	G80005YU
G65668CK	Subsumes	G43835NS
G65669BM	SubsumedBy	G89137AE
G65675XT	SubsumedBy	G98916HO
G65680SX	SubsumedBy	G74612QZ
G65681OO	SubsumedBy	G17742QD
G65686FS	SubsumedBy	G38184ED
G65687AD	SubsumedBy	G86880YI
G65687AD	SubsumedBy	G65817LG
G65687AD	Subsumes	G50728CA
G65690IK	SubsumedBy	G45493QM
G65690IK	SubsumedBy	G80294ZS
G65690IK	Subsumes	G16678YO
G65690IK	Subsumes	G25354TP
G65690IK	Subsumes	G36587PQ
G65690IK	Subsumes	G45443QH
G65690IK	Subsumes	G74836BV
G65690IK	Subsumes	G88239JU
G65691QG	SubsumedBy	G18183SM
G65691QG	SubsumedBy	G34961YB
G65691QG	Subsumes	G62527ZD
G65695UT	SubsumedBy	G78600GX
G65695UT	SubsumedBy	G70046PH
G65695UT	Subsumes	G65070VQ
G65695UT	Subsumes	G50348ER
G65697SK	SubsumedBy	G03873JW
G65697SK	SubsumedBy	G08351JQ
G65697SK	Subsumes	G66866LE
G65701KB	SubsumedBy	G09016GK
G65701KB	Subsumes	G00020MO
G65701KB	Subsumes	G05571PH
G65703ID	SubsumedBy	G92500KM
G65703ID	SubsumedBy	G94692TX
G65703ID	Subsumes	G08340FW
G65704VY	SubsumedBy	G56676XV
G65712VD	SubsumedBy	G58209EN
G65712VD	Subsumes	G17977UE
G65712VD	Subsumes	G97884WW
G65712VD	Subsumes	G38271CW
G65718MY	SubsumedBy	G57100KZ
G65718MY	SubsumedBy	G97222OW
G65718MY	Subsumes	G00025MO
G65718MY	Subsumes	G41724ZD
G65720XL	SubsumedBy	G62968UK
G65720XL	Subsumes	G03316TJ
G65721PE	SubsumedBy	G83574AW
G65721PE	Subsumes	G43837UW
G65721PE	Subsumes	G90478XM
G65721TS	SubsumedBy	G53204YA
G65721TS	SubsumedBy	G56851CO
G65721TS	Subsumes	G36772MC
G65726WP	SubsumedBy	G00293HN
G65726WP	SubsumedBy	G38776RF
G65726WP	Subsumes	G29729DF
G65726WP	Subsumes	G96446SA
G65741RB	SubsumedBy	G92682LK
G65741RB	Subsumes	G57746CF
G65744QH	SubsumedBy	G08885DJ
G65756JP	SubsumedBy	G21394HA
G65756JP	Subsumes	G16374KD
G65758JQ	Subsumes	G89931DG
G65760UO	SubsumedBy	G61691TW
G65761OP	SubsumedBy	G85282JO
G65761OP	Subsumes	G19536OF
G65761OP	Subsumes	G73410JO
G65761OP	Subsumes	G73390OW
G65761OP	Subsumes	G70091CH
G65761OP	Subsumes	G72559TO
G65761WK	SubsumedBy	G02456AL
G65761WK	Subsumes	G88242BL
