GlyTouCanAccession	UniCarbKBID
G39393YO	comp_HexNAc9Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G39407NE	G39407NE
G39408GQ	comp_HexNAc7Hex9dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G39411LN	comp_HexNAc5Hex4dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G39446WN	G39446WN
G39446WN	comp_HexNAc3Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G39454SL	comp_HexNAc6Hex3dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G39471UU	comp_HexNAc8Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G39540XG	1731
G39602UU	3415
G39617JJ	7489
G39689FZ	comp_HexNAc5Hex6dHex4NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G39820SQ	comp_HexNAc7Hex8dHex3NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G39916IH	comp_HexNAc2Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G39917RN	7866
G39927PF	comp_HexNAc2Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G39943KJ	5107
G39945EK	7456
G40012WS	7638
G40027VO	1993
G40124HY	3293
G40124HY	G40124HY
G40194MN	2669
G40206WX	comp_HexNAc9Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G40245CP	G40245CP
G40257VP	comp_HexNAc7Hex7dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G40309II	G40309II
G40418GW	comp_HexNAc0Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G40554DX	1559
G40664HB	comp_HexNAc4Hex4dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G40673VG	G40673VG
G40681VB	comp_HexNAc7Hex11dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G40702WU	1083
G40707RU	G40707RU
G40740AD	comp_HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G40792UP	G40792UP
G40792UP	comp_HexNAc5Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G40806JH	G40806JH
G40834TG	comp_HexNAc4Hex6dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G40887GX	comp_HexNAc1Hex1dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G40926MX	G40926MX
G40926MX	comp_HexNAc5Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G40959OV	comp_HexNAc3Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G41044JW	G41044JW
G41044JW	comp_HexNAc6Hex7dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G41126SR	G41126SR
G41126SR	comp_HexNAc5Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G41247ZX	G41247ZX
G41247ZX	comp_HexNAc2Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G41272YH	comp_HexNAc7Hex9dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G41304KE	3913
G41405QQ	7499
G41410CC	comp_HexNAc7Hex4dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G41424HD	353
G41437NK	G41437NK
G41443EO	comp_HexNAc4Hex4dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G41444NH	comp_HexNAc3Hex3dHex0NeuAc0NeuGc0Pent0S5P0KDN0HexA0
G41520EY	comp_HexNAc8Hex9dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G41708PN	7709
G41742IZ	7673
G41855OJ	comp_HexNAc7Hex11dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G41860VW	comp_HexNAc4Hex8dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G41866GK	G41866GK
G41879GR	comp_HexNAc6Hex7dHex0NeuAc2NeuGc0Pent0S2P0KDN0HexA0
G41891LD	comp_HexNAc6Hex7dHex0NeuAc0NeuGc5Pent0S0P0KDN0HexA0
G41925PC	comp_HexNAc6Hex7dHex0NeuAc3NeuGc1Pent0S0P0KDN0HexA0
G41970VG	comp_HexNAc5Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G41972NX	comp_HexNAc7Hex9dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G41978TW	comp_HexNAc9Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G41981MA	1549
G42032FN	comp_HexNAc2Hex3dHex1NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G42032ZI	G42032ZI
G42039DE	3497
G42081JA	7420
G42264OV	3407
G42358LZ	4923
G42358LZ	7523
G42358LZ	7643
G42398CG	G42398CG
G42407LQ	comp_HexNAc5Hex4dHex2NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G42440OJ	7692
G42518JM	comp_HexNAc0Hex1dHex0NeuAc0NeuGc0Pent2S0P0KDN0HexA0
G42535AI	G42535AI
G42555WL	comp_HexNAc6Hex7dHex0NeuAc2NeuGc2Pent0S0P0KDN0HexA0
G42581TG	comp_HexNAc2Hex5dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G42666HT	3371
G42679AH	3013
G42686NQ	1691
G42713IF	G42713IF
G42789YX	comp_HexNAc6Hex7dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G42797SX	95
G42815AD	comp_HexNAc6Hex8dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G42817NX	comp_HexNAc6Hex3dHex0NeuAc0NeuGc0Pent0S2P0KDN0HexA0
G42823ZU	comp_HexNAc9Hex9dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G42826YI	7625
G42882CO	comp_HexNAc5Hex4dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G42996AA	comp_HexNAc5Hex6dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G43005HM	comp_HexNAc4Hex5dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G43037OL	comp_HexNAc5Hex9dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43071TH	comp_HexNAc1Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G43096XG	comp_HexNAc7Hex7dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G43159MH	8171
G43181MG	comp_HexNAc7Hex3dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G43280TQ	comp_HexNAc5Hex9dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43299SD	3127
G43346PX	1727
G43417UB	comp_HexNAc1Hex1dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43549OX	7497
G43560PI	comp_HexNAc7Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43638QT	G43638QT
G43638QT	comp_HexNAc6Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G43642TU	comp_HexNAc4Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43648DB	1041
G43664YB	3387
G43669FQ	G43669FQ
G43669FQ	comp_HexNAc6Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43694RQ	1605
G43709WM	comp_HexNAc2Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G43734MM	G43734MM
G43734MM	comp_HexNAc7Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43753QH	7725
G43761FR	G43761FR
G43761WH	4791
G43764JK	comp_HexNAc7Hex7dHex0NeuAc0NeuGc5Pent0S0P0KDN0HexA0
G43769HG	G43769HG
G43769HG	comp_HexNAc6Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43769ZW	comp_HexNAc7Hex4dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G43806FA	comp_HexNAc6Hex9dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G43814TV	7509
G43947VZ	7478
G43947VZ	7592
G43953LS	7854
G44023UC	comp_HexNAc16Hex12dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G44050CO	comp_HexNAc8Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G44148BN	5174
G44211QA	G44211QA
G44211QA	comp_HexNAc5Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G44276EF	1853
G44339YF	4253
G44369QM	7670
G44413JJ	7789
G44413JJ	G44413JJ
G44414IQ	G44414IQ
G44438VT	comp_HexNAc7Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G44444MB	3055
G44533KV	2157
G44576HQ	7714
G44606CY	comp_HexNAc6Hex7dHex1NeuAc0NeuGc4Pent0S0P0KDN0HexA0
G44630PQ	comp_HexNAc5Hex7dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G44659VQ	7582
G44753VC	G44753VC
G44753VC	comp_HexNAc6Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G44799CV	comp_HexNAc2Hex2dHex2NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G44842OK	7686
G44900JK	comp_HexNAc4Hex8dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G44953PJ	G44953PJ
G44953PJ	comp_HexNAc5Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G45017TI	comp_HexNAc8Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G45036WQ	3405
G45042TM	comp_HexNAc6Hex7dHex5NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G45045RU	7598
G45187EI	1907
G45359RY	1659
G45395BF	G45395BF
G45495MK	7423
G45495MK	7502
G45495MK	7548
G45495MK	7813
G45498YC	1849
G45504EY	G45504EY
G45504EY	comp_HexNAc4Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G45546UJ	comp_HexNAc2Hex1dHex0NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G45560HM	1185
G45586SP	comp_HexNAc1Hex0dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA1
G45631ZN	comp_HexNAc6Hex7dHex2NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G45637XA	541
G45656VV	G45656VV
G45703RF	comp_HexNAc1Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G45759AR	comp_HexNAc1Hex5dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G45775XU	G45775XU
G45819QB	comp_HexNAc4Hex5dHex1NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G45827ZM	650
G45841FE	4027
G45889JQ	1491
G45889JQ	7400
G46071XJ	comp_HexNAc6Hex9dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G46177TS	comp_HexNAc6Hex6dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G46185ND	1545
G46275YY	comp_HexNAc8Hex9dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G46450MZ	comp_HexNAc6Hex9dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G46455GO	4255
G46503DX	comp_HexNAc4Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G46568MX	1931
G46580TJ	comp_HexNAc8Hex9dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G46674NU	comp_HexNAc4Hex4dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G46684LL	comp_HexNAc6Hex8dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G46748BU	98
G46754UW	7611
G46759WS	7754
G46768QH	7403
G46784SU	comp_HexNAc4Hex8dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G46823ME	comp_HexNAc4Hex4dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G46831VC	comp_HexNAc5Hex7dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G46923KZ	7783
G46982GD	comp_HexNAc8Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G47007PV	5158
G47058MH	5360
G47108UC	7819
G47180UC	385
G47186OL	comp_HexNAc5Hex3dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G47246VB	comp_HexNAc8Hex8dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G47253OG	7771
G47279LF	1995
G47310BX	comp_HexNAc3Hex5dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G47318KU	731
G47370JY	comp_HexNAc3Hex6dHex0NeuAc1NeuGc0Pent0S0P1KDN0HexA0
G47388FY	comp_HexNAc7Hex6dHex1NeuAc2NeuGc0Pent0S1P0KDN0HexA0
G47408NQ	comp_HexNAc12Hex13dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G47555ZB	comp_HexNAc7Hex5dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G47606XQ	7441
G47619WV	comp_HexNAc7Hex9dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G47621XV	comp_HexNAc3Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G47642TL	comp_HexNAc6Hex5dHex1NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G47644PP	G47644PP
G47649ZW	G47649ZW
G47737VJ	comp_HexNAc4Hex5dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G47760VS	5132
G47909JD	4025
G47913JC	comp_HexNAc3Hex5dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G47957HH	comp_HexNAc0Hex0dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G47975JA	1299
G47978ON	comp_HexNAc1Hex0dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G48053DU	comp_HexNAc6Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G48109OV	1759
G48149UR	comp_HexNAc6Hex6dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G48189XH	G48189XH
G48213MO	7556
G48381WH	3955
G48433AY	comp_HexNAc6Hex7dHex1NeuAc3NeuGc1Pent0S0P0KDN0HexA0
G48489PM	7583
G48522YQ	comp_HexNAc2Hex0dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G48542US	G48542US
G48586RX	comp_HexNAc2Hex1dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G48642OF	comp_HexNAc5Hex6dHex0NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G48648VZ	8234
G48712ZJ	4043
G48818KL	180
G48840WY	comp_HexNAc6Hex7dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G48848IF	4236
G48905WL	comp_HexNAc2Hex16dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G48927BJ	comp_HexNAc0Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G48975GN	7897
G49012OF	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G49018RC	comp_HexNAc4Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49035CH	comp_HexNAc6Hex6dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G49043NO	7570
G49108TO	1219
G49108TO	7841
G49151OV	comp_HexNAc6Hex6dHex0NeuAc1NeuGc3Pent0S0P0KDN0HexA0
G49159VE	comp_HexNAc0Hex2dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G49187LA	comp_HexNAc10Hex11dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G49284IH	comp_HexNAc4Hex6dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G49305IN	5168
G49317EL	comp_HexNAc8Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49345XT	comp_HexNAc4Hex7dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49431SR	comp_HexNAc8Hex8dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49446SO	2007
G49478NM	1929
G49632WD	482
G49739MP	G49739MP
G49739MP	comp_HexNAc6Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49743VF	1319
G49755GI	comp_HexNAc6Hex6dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G49864XO	comp_HexNAc8Hex8dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49889OJ	G49889OJ
G49905YN	comp_HexNAc7Hex10dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G49906RN	G49906RN
G49906RN	comp_HexNAc6Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49955PK	G49955PK
G49955PK	comp_HexNAc5Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G49963FN	G49963FN
G49969HV	comp_HexNAc8Hex8dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G49991UY	7671
G50030TB	comp_HexNAc10Hex11dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G50073PQ	G50073PQ
G50073PQ	comp_HexNAc4Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G50106JX	7931
G50131RA	7594
G50143PC	comp_HexNAc9Hex7dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G50148ER	comp_HexNAc9Hex10dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G50166FV	G50166FV
G50200KE	G50200KE
G50204XM	comp_HexNAc5Hex6dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G50210FA	7622
G50221RF	comp_HexNAc9Hex6dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G50248NU	G50248NU
G50282JC	G50282JC
G50336DT	G50336DT
G50353PP	2595
G50372IH	comp_HexNAc3Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G50384CO	comp_HexNAc2Hex2dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G50450QW	comp_HexNAc8Hex11dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G50489VC	1745
G50709EY	G50709EY
G50713DU	comp_HexNAc3Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G50739NP	7510
G50888WV	4792
G50903RY	7418
G50947IE	comp_HexNAc7Hex11dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G51057KO	4789
G51096IO	comp_HexNAc6Hex7dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G51098AA	5154
G51114UP	G51114UP
G51123ZO	comp_HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA3
G51177EP	7639
G51210WZ	comp_HexNAc2Hex2dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G51240MJ	comp_HexNAc7Hex8dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G51367TM	2557
G51369CD	7775
G51412NQ	comp_HexNAc5Hex8dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G51434LA	comp_HexNAc3Hex2dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G51488KH	comp_HexNAc8Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G51494PB	comp_HexNAc6Hex7dHex0NeuAc4NeuGc1Pent0S0P0KDN0HexA0
G51497BL	7728
G51551FB	comp_HexNAc2Hex5dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G51562OR	3155
G51572MS	comp_HexNAc6Hex10dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G51623PN	7810
G51623PN	7875
G51637RO	comp_HexNAc8Hex9dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G51666FY	comp_HexNAc8Hex6dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G51793MY	1245
G51793MY	G51793MY
G51828IE	comp_HexNAc7Hex8dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G51911KE	comp_HexNAc4Hex7dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G51941GC	7833
G51941GC	7872
G51941GC	8104
G52003QG	7659
G52038JM	1881
G52080WL	2979
G52122ZD	7805
G52162PS	comp_HexNAc4Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G52348KO	comp_HexNAc8Hex8dHex4NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G52361ZH	G52361ZH
G52428MJ	3381
G52448OU	comp_HexNAc3Hex2dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G52560PC	comp_HexNAc7Hex6dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G52622SW	1841
G52676LZ	5142
G52687MJ	comp_HexNAc10Hex11dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G52880ZN	1221
G52880ZN	G52880ZN
G52934AK	1647
G52934AK	G52934AK
G52952NI	comp_HexNAc1Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA2
G53000RQ	G53000RQ
G53124QD	comp_HexNAc6Hex9dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G53151WW	G53151WW
G53168IY	2541
G53276NK	2985
G53276NK	G53276NK
G53315IV	G53315IV
G53315IV	comp_HexNAc8Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53384JS	comp_HexNAc5Hex6dHex7NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53425NH	comp_HexNAc7Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G53434XO	G53434XO
G53434XO	comp_HexNAc2Hex2dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53450AF	3949
G53483ZG	comp_HexNAc3Hex4dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G53511WG	comp_HexNAc0Hex2dHex0NeuAc0NeuGc2Pent0S1P0KDN0HexA0
G53558IG	comp_HexNAc13Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53598EU	comp_HexNAc6Hex6dHex0NeuAc0NeuGc0Pent0S4P0KDN0HexA0
G53604QR	7749
G53657ER	comp_HexNAc3Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G53677UQ	comp_HexNAc10Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53744UF	comp_HexNAc5Hex3dHex0NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G53752TA	1525
G53854XZ	7712
G53859QY	G53859QY
G53874PO	comp_HexNAc4Hex5dHex1NeuAc0NeuGc0Pent0S2P0KDN0HexA0
G53909TO	G53909TO
G53933HU	1103
G53958ZQ	comp_HexNAc3Hex5dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53962WT	1721
G53965RU	7637
G53969DE	comp_HexNAc1Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G53985AY	1723
G54018RP	5178
G54042WO	G54042WO
G54059XR	7687
G54129SE	comp_HexNAc1Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G54168YD	comp_HexNAc4Hex3dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G54296PF	comp_HexNAc2Hex3dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G54323TO	G54323TO
G54378KA	comp_HexNAc7Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G54417MJ	G54417MJ
G54417MJ	comp_HexNAc6Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G54543KY	comp_HexNAc0Hex3dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G54600FO	G54600FO
G54600FO	comp_HexNAc4Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G54620LW	comp_HexNAc3Hex5dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G54630CD	comp_HexNAc1Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G54652ZD	7535
G54682XF	7761
G54795GY	G54795GY
G54929QT	G54929QT
G54968WM	comp_HexNAc2Hex1dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G54992WG	comp_HexNAc3Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G55101FB	comp_HexNAc2Hex8dHex0NeuAc0NeuGc0Pent0S0P2KDN0HexA0
G55216FT	comp_HexNAc7Hex8dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G55220VL	7666
G55299GS	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA3
G55303SJ	comp_HexNAc7Hex8dHex0NeuAc0NeuGc4Pent0S0P0KDN0HexA0
G55373ZG	2983
G55382TU	G55382TU
G55382TU	comp_HexNAc6Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G55420LT	G55420LT
G55420XE	comp_HexNAc5Hex8dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G55444WK	comp_HexNAc3Hex6dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G55475TR	comp_HexNAc7Hex7dHex1NeuAc1NeuGc0Pent0S3P0KDN0HexA0
G55504WE	7885
G55521GY	G55521GY
G55696LV	comp_HexNAc1Hex3dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G55783TD	7710
G55848QM	comp_HexNAc7Hex8dHex2NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G55913GS	comp_HexNAc0Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G55965XA	comp_HexNAc6Hex5dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G55982TK	G55982TK
G56001JD	comp_HexNAc12Hex12dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G56069TX	7586
G56124CR	G56124CR
G56202CU	comp_HexNAc6Hex8dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G56245IE	518
G56269EA	3399
G56271TF	1317
G56307ZW	G56307ZW
G56307ZW	comp_HexNAc4Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G56318NV	1197
G56499YQ	1553
G56501FP	7153
G56516KW	1989
G56555MU	7946
G56558YT	G56558YT
G56610MH	G56610MH
G56610MH	comp_HexNAc6Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G56682BC	8
G56689CA	comp_HexNAc6Hex7dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G56749GV	1137
G56749GV	G56749GV
G56859XA	comp_HexNAc7Hex7dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G56903ZB	7425
G56962DV	comp_HexNAc1Hex3dHex0NeuAc0NeuGc1Pent0S1P0KDN0HexA0
G57077XE	comp_HexNAc4Hex5dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G57081YJ	3487
G57220OY	comp_HexNAc4Hex4dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G57269FM	comp_HexNAc5Hex6dHex1NeuAc0NeuGc0Pent0S3P0KDN0HexA0
G57317CE	G57317CE
G57317CE	comp_HexNAc3Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G57321FI	25
G57321FI	G57321FI
G57385VB	comp_HexNAc11Hex7dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G57399QL	G57399QL
G57413FT	7290
G57505PZ	G57505PZ
G57543JK	comp_HexNAc2Hex1dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G57565TQ	5160
G57607BW	7943
G57676EM	G57676EM
G57776ZU	G57776ZU
