GlyTouCanAccession	UniCarbKBID
G10486CT	comp_HexNAc4Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G10601XM	7517
G10604KJ	G10604KJ
G10609HO	7647
G10756ZZ	3131
G10768ZE	G10768ZE
G10820KD	7906
G10898KH	7601
G10944ZI	3495
G10995NB	5609
G11009FR	comp_HexNAc4Hex4dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G11041DA	1119
G11103DG	comp_HexNAc8Hex10dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G11105NL	comp_HexNAc7Hex5dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G11115RO	G11115RO
G11115RO	comp_HexNAc6Hex7dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G11145KS	comp_HexNAc6Hex3dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G11157ZG	comp_HexNAc3Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G11206IW	comp_HexNAc6Hex6dHex1NeuAc1NeuGc0Pent0S2P0KDN0HexA0
G11235SR	comp_HexNAc1Hex2dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G11239ZB	comp_HexNAc1Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G11253UV	G11253UV
G11254FL	3419
G11314AS	G11314AS
G11329LI	5133
G11357FA	comp_HexNAc2Hex2dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G11392CL	3465
G11453BM	5128
G11457RF	99
G11460AB	2473
G11528MV	4821
G11535IB	2663
G11535IB	G11535IB
G11541NC	comp_HexNAc10Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G11637WL	G11637WL
G11671GQ	5162
G11719TC	comp_HexNAc6Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G11727SL	comp_HexNAc7Hex8dHex5NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G11908FF	5127
G11942GC	comp_HexNAc6Hex7dHex0NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G11994QC	4211
G12047XR	comp_HexNAc4Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G12150CK	7465
G12222NC	5156
G12261QD	comp_HexNAc7Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G12270AG	comp_HexNAc8Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
