GlyTouCanAccession	KEGGAccession
G38630WM	G00997
G38658JL	G05334
G38753OV	G04293
G38955TH	G11932
G38979OV	G09767
G38997JB	G03664
G39023AU	G10738
G39029JR	G10824
G39062YR	G02225
G39064VB	G00254
G39183DW	G12923
G39188CA	G00978
G39211DH	G00263
G39213VZ	G00015
G39298CN	G12045
G39318IJ	G02239
G39408YK	G04036
G39452ZZ	G00340
G39478RR	G05054
G39531LA	G00928
G39578OU	G00007
G39600NF	G06334
G39764AC	G03801
G39794DN	G04718
G39807DF	G02474
G39861AN	G10278
G39884QV	G00730
G39893KL	G00664
G39896WY	G00658
G39951CP	G02665
G40064GR	G07399
G40194MN	G04325
G40198OD	G00312
G40268BC	G01808
G40343KH	G04635
G40482NA	G04192
G40491DT	G00087
G40544US	G01964
G40585SO	G03109
G40702WU	G10694
G40702WU	G12003
G40757HO	G05465
G40900UQ	G02982
G40906DZ	G01234
G40909HG	G02727
G40915GX	G01170
G41095QB	G11750
G41107EH	G05644
G41179DF	G10913
G41234QD	G05198
G41324RH	G05624
G41372SJ	G00727
G41416MJ	G06169
G41656NL	G03845
G41722LN	G02895
G41789QF	G00524
G41800OU	G03724
G41821MR	G00976
G41824PC	G10814
G41859KE	G01001
G41923EO	G01841
G41937ED	G11950
G41953RN	G10791
G42028VS	G04721
G42039AA	G00214
G42176GK	G04170
G42192BR	G03792
G42227JK	G11056
G42295MA	G01088
G42415XD	G03882
G42471QL	G05954
G42548XF	G05425
G42556BP	G12133
G42653GO	G04763
G42666HT	G10631
G42674AX	G05044
G42737HJ	G05485
G42824AQ	G01641
G42993UG	G06175
G43014FZ	G10888
G43081BK	G01098
G43415UJ	G02914
G43499QE	G01649
G43547MI	G00005
G43547MI	G12228
G43558RC	G02687
G43657WC	G04347
G43660IT	G03951
G43664YB	G10801
G43677TG	G10815
G43677XO	G02757
G43687XR	G00886
G43694RQ	G00974
G43702JT	G11334
G43804GS	G01897
G43873MM	G11846
G43925AD	G04960
G43944UW	G05498
G44043ZX	G04513
G44046WQ	G05890
G44073EJ	G10812
G44151FI	G11396
G44152CO	G11444
G44264DI	G11973
G44345UH	G00299
G44361OH	G06784
G44479SH	G00729
G44515AZ	G05213
G44639PM	G05333
G44688UB	G03739
G44747CU	G00659
G44754DF	G00562
G44770ZI	G02841
G44865OQ	G10595
G44917UQ	G05974
G44996SV	G04892
G45104SZ	G05331
G45108QT	G11342
G45209NR	G10964
G45215IJ	G00195
G45229AI	G11381
G45256SO	G00330
G45264AM	G11446
G45325UV	G11395
G45359RY	G01326
G45374ZW	G11383
G45388GV	G01033
G45408ZW	G00817
G45420PL	G04585
G45494FB	G04018
G45522CT	G04702
G45560HM	G00203
G45614AE	G01150
G45673KX	G00851
G45712QJ	G03288
G45714BQ	G00127
G45747TC	G04581
G45776ET	G03741
G45777DE	G10764
G45811PK	G00369
G45826PJ	G05088
G45827GY	G00395
G45844BS	G04202
G45882CQ	G04029
G45889JQ	G10769
G45995IV	G00286
G46059YJ	G01800
G46108US	G06308
G46123YD	G05037
G46141DD	G04804
G46208LD	G00380
G46222DM	G00942
G46387UV	G11997
G46406BL	G11942
G46407AA	G04207
G46420ZV	G01700
G46420ZV	G12321
G46425HN	G04381
G46432HW	G03858
G46461VY	G00072
G46503KK	G04043
G46526SO	G01887
G46559US	G04634
G46560SM	G03993
G46609ZR	G01471
G33636XJ	G12143
G46677TE	G00111
G46772BG	G05487
G46774NB	G00186
G46836GH	G10806
G46836GH	G12138
G46868TY	G00320
G46991EQ	G02664
G46998LN	G02191
G47023PF	G00319
G47163SC	G05276
G47180UC	G06389
G47206MY	G05066
G47280HM	G11356
G47338FR	G01058
G47379VH	G00295
G47391NN	G01490
G47414TF	G04933
G47427YD	G03943
G47498FQ	G05372
G47520QY	G11528
G47531XE	G11969
G47548GA	G10642
G47614ZH	G00083
G47675LW	G01102
G47741BL	G01692
G47766VH	G01657
G47854HN	G04047
G47877IZ	G05342
G47920WV	G08640
G47921ZO	G02010
G47924XK	G01502
G47925PB	G03003
G47961DI	G01716
G48020LQ	G00529
G48027TR	G00649
G48040FY	G03737
