GlyTouCanAccession	TaxID	Source	SourceID
G01820ZB	9606	GlyTouCan	G01820ZB
G01823EY	9606	GlyTouCan	G01823EY
G01823EY	9913	GlyTouCan	G01823EY
G01856RL	9913	GlyTouCan	G01856RL
G01923FT	156871	GlyTouCan	G01923FT
G01954BU	9606	UniCarbKB	3567
G01994DD	3760	GlyTouCan	G01994DD
G01999JH	11276	GlyTouCan	G01999JH
G02000AU	9606	UniCarbKB	7663
G02020YO	10114	GlyTouCan	G02020YO
G02020YO	8364	GlyTouCan	G02020YO
G02020YO	8384	GlyTouCan	G02020YO
G02020YO	9606	GlyTouCan	G02020YO
G02020YO	9823	GlyTouCan	G02020YO
G02029PW	4615	GlyTouCan	G02029PW
G02086TB	9606	GlyTouCan	G02086TB
G02096VT	5665	GlyTouCan	G02096VT
G02122FK	10036	GlyTouCan	G02122FK
G02122FK	9606	GlyTouCan	G02122FK
G02126PG	9606	GlyTouCan	G02126PG
G02126PG	9913	GlyTouCan	G02126PG
G02146NT	9606	GlyTouCan	G02146NT
G02149VR	10114	GlyTouCan	G02149VR
G02149VR	10116	GlyTouCan	G02149VR
G02149VR	30511	GlyTouCan	G02149VR
G02149VR	7796	GlyTouCan	G02149VR
G02149VR	9913	GlyTouCan	G02149VR
G02152MS	9913	GlyTouCan	G02152MS
G02156UW	9606	GlyTouCan	G02156UW
G02170ZK	32644	GlyTouCan	G02170ZK
G02174FQ	9606	GlyTouCan	G02174FQ
G02182MJ	9606	GlyTouCan	G02182MJ
G02193CV	10029	GlyTouCan	G02193CV
G02193CV	10036	GlyTouCan	G02193CV
G02207TG	9606	GlyTouCan	G02207TG
G02207TG	9823	GlyTouCan	G02207TG
G02226PP	10029	GlyTouCan	G02226PP
G02226PP	9606	GlyTouCan	G02226PP
G02240AO	7459	GlyTouCan	G02240AO
G02240AO	9606	GlyTouCan	G02240AO
G02244ID	10116	GlyTouCan	G02244ID
G02251YG	10090	GlyTouCan	G02251YG
G02278OY	9606	GlyTouCan	G02278OY
G02297WO	9606	GlyTouCan	G02297WO
G02302MM	9606	GlyTouCan	G02302MM
G02310VX	9606	GlyTouCan	G02310VX
G02311IE	9606	UniCarbKB	1985
G02353KU	9606	GlyTouCan	G02353KU
G02379AH	9606	GlyTouCan	G02379AH
G02386TE	9606	GlyTouCan	G02386TE
G02402FF	9606	UniCarbKB	7608
G02410EE	9606	GlyTouCan	G02410EE
G02441OB	10090	GlyTouCan	G02441OB
G02456AL	10090	GlyTouCan	G02456AL
G02470WS	9606	GlyTouCan	G02470WS
G02473HY	9606	GlyTouCan	G02473HY
G02483WT	9606	GlyTouCan	G02483WT
G02556BT	112509	GlyTouCan	G02556BT
G02556BT	147366	GlyTouCan	G02556BT
G02556BT	4498	GlyTouCan	G02556BT
G02556BT	4530	GlyTouCan	G02556BT
G02556BT	4577	GlyTouCan	G02556BT
G02561FC	9606	UniCarbKB	4794
G02562EQ	9606	GlyTouCan	G02562EQ
G02594WS	9606	GlyTouCan	G02594WS
G02600QJ	9606	GlyTouCan	G02600QJ
G02624IW	10029	GlyTouCan	G02624IW
G02625SJ	10114	GlyTouCan	G02625SJ
G02625SJ	9606	GlyTouCan	G02625SJ
G02625SJ	9913	GlyTouCan	G02625SJ
G02625SJ	9986	GlyTouCan	G02625SJ
G02633ON	11309	GlyTouCan	G02633ON
G02646YL	9606	GlyTouCan	G02646YL
G02646YL	9823	GlyTouCan	G02646YL
G02646YL	9913	GlyTouCan	G02646YL
G02654EL	9606	GlyTouCan	G02654EL
G02657AK	10026	GlyTouCan	G02657AK
G02657AK	10029	GlyTouCan	G02657AK
G02657AK	10090	GlyTouCan	G02657AK
G02657AK	10114	GlyTouCan	G02657AK
G02657AK	10116	GlyTouCan	G02657AK
G02657AK	10141	GlyTouCan	G02657AK
G02657AK	40691	GlyTouCan	G02657AK
G02657AK	58319	GlyTouCan	G02657AK
G02657AK	7742	GlyTouCan	G02657AK
G02657AK	7957	GlyTouCan	G02657AK
G02657AK	7962	GlyTouCan	G02657AK
G02657AK	8113	GlyTouCan	G02657AK
G02657AK	8127	GlyTouCan	G02657AK
G02657AK	8353	GlyTouCan	G02657AK
G02657AK	9031	GlyTouCan	G02657AK
G02657AK	9606	GlyTouCan	G02657AK
G02657AK	9615	GlyTouCan	G02657AK
G02657AK	9823	GlyTouCan	G02657AK
G02657AK	9913	GlyTouCan	G02657AK
G02657BS	9606	GlyTouCan	G02657BS
G02660UC	9823	GlyTouCan	G02660UC
G02661MY	9606	UniCarbKB	3463
G02684WR	10029	GlyTouCan	G02684WR
G02684WR	9913	GlyTouCan	G02684WR
G02710ET	10114	GlyTouCan	G02710ET
G02718AK	10029	GlyTouCan	G02718AK
G02718AK	9606	GlyTouCan	G02718AK
G02718AK	9913	GlyTouCan	G02718AK
G02725GF	9940	GlyTouCan	G02725GF
G02760XH	9606	GlyTouCan	G02760XH
G02776UX	9606	GlyTouCan	G02776UX
G02786XX	9606	GlyTouCan	G02786XX
G02799CL	9606	GlyTouCan	G02799CL
G02815KT	10116	UniCarbKB	comp_HexNAc2Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
