GlyTouCanAccession	PDB
G09546QO	9abp
G09552LA	3sej
G09724ZC	1gw0
G09724ZC	2pe4
G09724ZC	3fpx
G09724ZC	3oja
G09724ZC	3sio
G09724ZC	3u4e
G09724ZC	3vi3
G09724ZC	3vi4
G09724ZC	4g1e
G09724ZC	4gtw
G09724ZC	4gtx
G09724ZC	4gty
G09724ZC	4gtz
G09724ZC	4h53
G09791GF	2dwa
G09791GF	2h4i
G09791GF	2hca
G09899NJ	1kx1
G09988GX	1ypz
G09988GX	2ifg
G09988GX	3ciy
G10234TF	2dsw
G10234TF	2dt2
G10356UT	4kmb
G10444RV	3gd9
G10756ZZ	1h1m
G10756ZZ	1tg7
G10756ZZ	1xc6
G10756ZZ	1y9m
G10756ZZ	2h5u
G10756ZZ	2qqv
G10756ZZ	3div
G10756ZZ	3uue
G10899AB	4gjj
G11031MS	2phf
G11052OE	1szn
G11065GA	3ef2
G11065GA	3p5g
G11107OX	3v7m
G11107OX	3v95
G11460AB	4gwm
G11460AB	4gwn
G11679NT	3agv
G11745XZ	3ry6
G11971MR	1fx5
G11971MR	1g7y
G11971MR	1ioa
G11971MR	1lec
G11971MR	1led
G11971MR	1n47
G11971MR	1uzy
G11971MR	1wbl
G11971MR	1xzw
G11971MR	2b1m
G11971MR	2b1n
G11971MR	2d3s
G11971MR	2dtw
G11971MR	2dty
G11971MR	2du0
G11971MR	2du1
G11971MR	2e51
G11971MR	2e53
G11971MR	2e7q
G11971MR	2e7t
G11971MR	2f9o
G11971MR	2faw
G11971MR	2gys
G11971MR	2liq
G11971MR	2v3f
G11971MR	2vt0
G11971MR	2zmk
G11971MR	2zml
G11971MR	2zmn
G11971MR	3c9z
G11971MR	3ca0
G11971MR	3ca1
G11971MR	3ca3
G11971MR	3ca5
G11971MR	3gdn
G11971MR	3gdp
G11971MR	3hdl
G11971MR	3i6s
G11971MR	3i74
G11971MR	3s5y
G11971MR	3s5z
G11971MR	3s8k
G11971MR	3ugf
G11971MR	3ugg
G11971MR	3ugh
G11971MR	3vta
G11971MR	4a5g
G11971MR	4dhl
G11971MR	4dsy
G11971MR	4dt2
G12058PE	4afa
G12058PE	4afc
G12295TB	3kmb
G12573LQ	1xfd
G12885FH	2dv9
G13164IZ	1f31
G13164IZ	1ww4
G13201UL	2yl9
G13201UL	2yla
G13278OU	1jdn
G13302FO	1nwt
G13359IF	2rip
G13380TW	3fru
G13680ZF	3fru
G13811NF	1uzg
G14000ZZ	1sie
G14000ZZ	1vps
G14000ZZ	2df3
G14214WX	1zu6
G14214WX	2dt3
G14338VK	2bwa
G14338VK	2bwc
G14338VK	2rfz
G14338VK	2y6g
G14338VK	3ays
G14338VK	3ndz
G14338VK	3pl3
G14338VK	3voh
G14338VK	4doe
G14651SS	4eem
G14882GG	1u65
G15021LG	1ven
G15031WB	1ay2
G15031WB	2pil
G15110KA	1ow0
G15149UW	1kj2
G15255MA	1qxb
G15255MA	3ksm
G15255MA	3rcy
G15255MA	4h55
G15255MA	4rhn
G15286HU	3ghg
G15407YE	1apy
G15407YE	1apz
G15407YE	1blf
G15407YE	1c1z
G15407YE	1ckl
G15407YE	1cvi
G15407YE	1d7b
G15407YE	1d7c
G15407YE	1d7d
G15407YE	1dl2
G15407YE	1e03
G15407YE	1e04
G15407YE	1e05
G15407YE	1eo8
G15407YE	1f2q
G15407YE	1f42
G15407YE	1f45
G15407YE	1f6a
G15407YE	1f88
G15407YE	1fl7
G15407YE	1flc
G15407YE	1fmx
G15407YE	1g5g
G15407YE	1gh7
G15407YE	1gqg
G15407YE	1gqh
G15407YE	1gw0
G15407YE	1h8l
G15407YE	1ha0
G15407YE	1hgd
G15407YE	1hge
G15407YE	1hgf
G15407YE	1hgg
G15407YE	1hgh
G15407YE	1hgi
G15407YE	1hgj
G15407YE	1hwo
G15407YE	1hwp
G15407YE	1i8l
G15407YE	1ieq
G15407YE	1iew
G15407YE	1j88
G15407YE	1j89
G15407YE	1j8v
G15407YE	1jmj
G15407YE	1ken
G15407YE	1l6z
G15407YE	1mwa
G15407YE	1n1m
G15407YE	1nb3
G15407YE	1nb5
G15407YE	1nkx
G15407YE	1nql
G15407YE	1orv
G15407YE	1orw
G15407YE	1pc8
G15407YE	1qfu
G15407YE	1qmu
G15407YE	1qqs
G15407YE	1qub
G15407YE	1r47
G15407YE	1rd8
G15407YE	1rj5
G15407YE	1rky
G15407YE	1rmg
G15407YE	1rpa
G15407YE	1rpq
G15407YE	1rpt
G15407YE	1s78
G15407YE	1t1f
G15407YE	1tb6
G15407YE	1tfm
G15407YE	1tg7
G15407YE	1tk3
G15407YE	1tkr
G15407YE	1ukc
G15407YE	1umz
G15407YE	1un1
G15407YE	1vsg
G15407YE	1w7c
G15407YE	1x38
G15407YE	1x39
G15407YE	1xc6
G15407YE	1xfd
G15407YE	1xhb
G15407YE	1xwd
G15407YE	1yf8
G15407YE	1yo8
G15407YE	1zag
G15407YE	2a0z
G15407YE	2ach
G15407YE	2aj8
G15407YE	2ajb
G15407YE	2ajc
G15407YE	2ajd
G15407YE	2ajf
G15407YE	2alt
G15407YE	2ays
G15407YE	2b39
G15407YE	2bgr
G15407YE	2c11
G15407YE	2c6p
G15407YE	2civ
G15407YE	2ciw
G15407YE	2cix
G15407YE	2ciz
G15407YE	2cj2
G15407YE	2d1k
G15407YE	2ds9
G15407YE	2dwh
G15407YE	2dxy
G15407YE	2e26
G15407YE	2e47
G15407YE	2e9e
G15407YE	2efb
G15407YE	2eha
G15407YE	2erj
G15407YE	2fk0
G15407YE	2g5b
G15407YE	2gjx
G15407YE	2guy
G15407YE	2h5u
G15407YE	2hl6
G15407YE	2hmg
G15407YE	2hpa
G15407YE	2hr7
G15407YE	2i35
G15407YE	2i6q
G15407YE	2i6s
G15407YE	2id5
G15407YE	2ih8
G15407YE	2ih9
G15407YE	2j0h
G15407YE	2j18
G15407YE	2j19
G15407YE	2j3f
G15407YE	2j3g
G15407YE	2j5m
G15407YE	2o39
G15407YE	2o5n
G15407YE	2ocu
G15407YE	2oyu
G15407YE	2p1s
G15407YE	2q9o
G15407YE	2qje
G15407YE	2qsc
G15407YE	2qz1
G15407YE	2r0l
G15407YE	2v5p
G15407YE	2viu
G15407YE	2w59
G15407YE	2wah
G15407YE	2win
G15407YE	2wub
G15407YE	2x1w
G15407YE	2xot
G15407YE	2xr9
G15407YE	2xrg
G15407YE	2xv7
G15407YE	2xwb
G15407YE	2xyb
G15407YE	2xyd
G15407YE	2ypg
G15407YE	2z64
G15407YE	2z65
G15407YE	2z66
G15407YE	2z7x
G15407YE	2z81
G15407YE	3a5v
G15407YE	3a79
G15407YE	3abg
G15407YE	3al4
G15407YE	3ala
G15407YE	3ay4
G15407YE	3b2u
G15407YE	3b2v
G15407YE	3bes
G15407YE	3bl8
