GlyTouCanAccession	NativeFormula	PermethylatedFormula
G50262MB	C26H45NO19	C38H69NO19
G50263VL	C54H89N3O38	C76H133N3O38
G50263XV	C70H115N5O50	C100H175N5O50
G50264UK	C52H86N2O40	C76H134N2O40
G50264WM	C22H36N2O15	C31H54N2O15
G50268MB	C65H106N4O47	C93H162N4O47
G50272UH	C79H129N5O57	C113H197N5O57
G50273OO	C82H136N2O65	C121H214N2O65
G50274CU	C20H33NO15	C29H51NO15
G50277GE	C24H40O20	C36H64O20
G50278CI	C53H86N4O37	C75H130N4O37
G50280OG	C88H143N5O66	C128H223N5O66
G50281DW	C53H86N4O38	C76H132N4O38
G50281RU	C23H37NO19	C35H61NO19
G50282JC	C52H86N2O39	C75H132N2O39
G50282YC	C36H56N2O27	C51H86N2O27
G50282ZJ	C36H59N3O25	C51H89N3O25
G50283DX	C81H132N6O58	C116H202N6O58
G50285FK	C64H105N5O44	C90H157N5O44
G50287OZ	C48H79N3O34	C68H119N3O34
G50289YQ	C24H36N2O38S6	C32H52N2O38S6
G50290HR	C58H96N2O41	C81H142N2O41
G50290UO	C115H186N8O84	C166H288N8O84
G50292TF	C12H20O13S	C17H30O13S
G50293EM	C64H105N5O45	C91H159N5O45
G50293LU	C76H125N5O55	C109H191N5O55
G50294FI	C31H50N2O23	C45H78N2O23
G50294UT	C39H64N2O29	C56H98N2O29
G50295PX	C30H50O23	C43H76O23
G50297NI	C31H50N2O23	C45H78N2O23
G50300JG	C24H40O20	C36H64O20
G50301CS	C18H30O15	C27H48O15
G50302DD	C52H86N2O39	C75H132N2O39
G50302TT	C86H141N7O60	C122H213N7O60
G50303DJ	C70H115N5O49	C99H173N5O49
G50303LH	C147H239N9O110	C214H373N9O110
G50303VE	C34H58N2O27S	C48H86N2O27S
G50312CA	C39H64N2O28	C55H96N2O28
G50315FC	C72H118N6O49	C101H176N6O49
G50318MT	C40H66N2O29	C57H100N2O29
G50318UE	C72H118N6O50	C102H178N6O50
G50319MW	C42H69N3O30	C60H105N3O30
G50319NW	C24H40O20	C36H64O20
G50321ON	C16H26O13	C23H40O13
G50321QR	C43H70N2O32	C62H108N2O32
G50325PK	C84H138N6O59	C119H208N6O59
G50327BS	C68H112N4O49	C97H170N4O49
G50327WN	C76H125N5O55	C109H191N5O55
G50328FG	C56H92N4O40	C80H140N4O40
G50328JC	C45H71N3O35	C67H115N3O35
G50328TF	C64H105N5O45	C91H159N5O45
G50329BY	C120H198N6O89	C173H304N6O89
G50329HB	C102H168N6O73	C145H254N6O73
G50330KQ	C37H55NO37S2	C52H85NO37S2
G50331GM	C34H54N2O28	C52H90N2O28
G50331RU	C42H70O35	C63H112O35
G50332IW	C44H73NO35	C65H115NO35
G50336DT	C31H50N2O23	C45H78N2O23
G50336YN	C152H246N10O109	C217H376N10O109
G50337ZH	C80H131N7O55	C113H197N7O55
G50339FG	C22H36N2O18S	C30H52N2O18S
G50340QI	C52H86N2O38	C74H130N2O38
G50343XZ	C98H161N7O69	C139H243N7O69
G50344HU	C64H105N5O45	C91H159N5O45
G50345ID	C32H53NO23	C45H79NO23
G50346FN	C34H56N2O24	C48H84N2O24
G50348ER	C12H20O10	C18H32O10
G50349SK	C77H125N7O53	C109H189N7O53
G50351TJ	C12H20O10	C18H32O10
G50353FU	C90H146N6O66	C130H226N6O66
G50353IT	C42H69N3O32S	C58H101N3O32S
G50353PP	C96H156N6O69	C137H238N6O69
G50354DO	C26H43NO20	C38H67NO20
G50355CC	C47H76N4O33	C67H116N4O33
G50359HZ	C90H148N6O64	C128H224N6O64
G50360LL	C82H135N5O59	C117H205N5O59
G50361AJ	C40H66N2O30	C58H102N2O30
G50361JT	C60H99N3O43	C85H149N3O43
G50361WL	C80H136NO68P	C121H218NO68P
G50362JF	C60H101N3O42	C85H151N3O42
G50363OF	C76H125N5O54	C108H189N5O54
G50364FV	C140H226N10O101	C201H348N10O101
G50365JU	C93H152N6O67	C133H232N6O67
G50367BK	C78H128N6O53	C109H190N6O53
G50369EI	C39H64N2O29	C56H98N2O29
G50370PE	C36H59N3O25	C51H89N3O25
G50372IH	C72H119N3O53	C103H181N3O53
G50375DL	C22H35NO17	C32H55NO17
G50375FS	C23H34O20	C34H56O20
G50375VB	C73H119N5O52	C104H181N5O52
G50378AV	C82H135N5O58	C116H203N5O58
G50383SB	C116H191N7O82	C164H287N7O82
G50384CO	C51H83N3O36	C72H125N3O36
G50387BD	C54H89N3O40	C78H137N3O40
G50387OH	C84H136N6O63	C123H214N6O63
G50390GB	C45H73N3O32	C64H111N3O32
G50392AV	C56H94N4O40	C81H144N4O40
G50392ZV	C83H135N7O58	C118H205N7O58
G50393WI	C52H88N2O39	C76H136N2O39
G50395ZT	C36H60O30	C54H96O30
G50398UZ	C58H97N5O40	C83H147N5O40
G50399JL	C75H122N6O53	C107H186N6O53
G50403XA	C99H162N6O73	C143H250N6O73
G50404FV	C24H40O20	C36H64O20
G50409AQ	C76H125N5O54	C108H189N5O54
G50411TY	C122H201N7O88	C174H305N7O88
G50412JF	C72H118N6O55S2	C99H172N6O55S2
G50415AF	C104H171N7O74	C148H259N7O74
G50415EJ	C14H19NO14S	C19H29NO14S
G50416HB	C30H51O28P	C46H83O28P
G50417QY	C20H33NO15	C29H51NO15
G50419BC	C160H259N11O115	C229H397N11O115
G50422MU	C48H79N3O35	C69H121N3O35
G50425IY	C100H167N5O73	C144H255N5O73
G50427EN	C101H163N7O73	C145H251N7O73
G50427EO	C125H205N7O89	C177H309N7O89
G50430PB	C88H145N5O65	C127H223N5O65
G50431EZ	C80H133NO65	C119H211NO65
G50432RB	C27H43N3O18	C38H65N3O18
G50432VO	C116H191N7O82	C164H287N7O82
G50434PK	C84H140N6O58	C119H210N6O58
G50435ON	C24H39N3O15	C33H57N3O15
G50438CQ	C36H55N3O54S8	C49H81N3O54S8
G50439PO	C68H110N4O50	C98H170N4O50
G50441CK	C71H116N4O52	C102H178N4O52
G50443KQ	C12H20O10	C18H32O10
G50443RA	C40H66N2O29	C57H100N2O29
G50444IY	C56H92N4O40	C80H140N4O40
G50446KW	C52H86N2O40	C76H134N2O40
G50448ZV	C52H86N2O40	C76H134N2O40
G50449AD	C98H161N7O69	C139H243N7O69
G50450QW	C148H244N8O107	C211H370N8O107
G50451AA	C20H33NO18S	C28H49NO18S
G50451XH	C80H132N4O57	C113H198N4O57
G50454XO	C14H19NO17S2	C18H27NO17S2
G50457PU	C112H182N8O83	C163H284N8O83
G50458XA	C87H142N6O61	C123H214N6O61
G50460GN	C20H33NO13	C27H47NO13
G50460ME	C26H43NO19	C37H65NO19
G50462VS	C129H209N9O93	C185H321N9O93
G50463MY	C46H76N2O34	C66H116N2O34
G50471DC	C154H253N11O106	C216H377N11O106
G50471HQ	C42H69N3O29	C59H103N3O29
G50474FI	C68H112N4O49	C97H170N4O49
G50474QL	C82H133N5O60	C118H205N5O60
G50474SP	C66H108N6O45	C93H162N6O45
G50478SO	C98H159N7O71	C141H245N7O71
G50480ID	C99H162N6O73	C143H250N6O73
G50482KM	C30H49N3O20	C42H73N3O20
G50483QX	C66H110O55	C99H176O55
G50487BS	C75H122N6O56S	C106H184N6O56S
G50487YA	C18H30O15	C27H48O15
G50489VC	C129H209N9O93	C185H321N9O93
G50490MP	C26H38N2O27S2	C37H60N2O27S2
G50491MP	C99H164N6O71	C142H250N6O71
G50492QP	C142H229N11O101	C203H351N11O101
G50494HZ	C18H31O18P	C28H51O18P
G50494XN	C84H138N6O58	C118H206N6O58
G50495ES	C28H46N2O20	C40H70N2O20
G50498MJ	C39H63N3O27	C55H95N3O27
G50499BR	C76H125N5O54	C108H189N5O54
G50500IN	C86H141N7O60	C122H213N7O60
G50501KF	C50H84N4O35	C72H128N4O35
G50502BT	C96H158N6O69	C137H240N6O69
G50504AR	C12H20O13S	C17H30O13S
G50504QA	C52H88N2O38	C75H134N2O38
G50504VE	C129H209N9O95	C187H325N9O95
G50507IT	C36H59N3O25	C51H89N3O25
G50507PS	C58H96N2O45	C85H150N2O45
G50508SG	C172H278N14O121	C245H424N14O121
G50509JJ	C26H43NO18	C36H63NO18
G50513EC	C28H46N2O22S	C38H66N2O22S
G50513QN	C68H112N4O50	C98H172N4O50
G50517DR	C65H106N4O48	C94H164N4O48
G50517NM	C60H99N3O45	C87H153N3O45
G50517WJ	C106H172N8O77	C154H268N8O77
G50518EB	C132H215N9O95	C189H329N9O95
G50518XT	C112H180N8O81	C161H278N8O81
G50524TY	C40H66N2O28	C56H98N2O28
G50525GP	C79H129N5O58	C114H199N5O58
G50530BS	C26H43NO20	C38H67NO20
G50531HE	C72H113N5O53	C103H175N5O53
G50531NJ	C70H115N5O55S2	C97H169N5O55S2
G50535IT	C90H148N6O65	C129H226N6O65
G50537DF	C79H129N5O56	C112H195N5O56
G50538IF	C16H26N2O10	C22H38N2O10
G50539ZQ	C18H30O15	C27H48O15
G50540JU	C38H63NO28	C54H95NO28
G50543NR	C96H158N6O69	C137H240N6O69
G50548PW	C140H226N10O102	C202H350N10O102
G50549VU	C96H158N6O69	C137H240N6O69
G50550RZ	C34H56N2O23	C47H82N2O23
G50552TH	C37H62N2O28	C55H98N2O28
G50553IT	C71H116N4O53	C103H180N4O53
G50553TX	C113H185N7O81	C161H281N7O81
G50554LM	C104H169N7O75	C149H259N7O75
G50556DR	C88H142N8O62	C127H220N8O62
G50558NC	C50H84N4O35	C72H128N4O35
G50558OY	C64H107N5O45	C92H163N5O45
G50559WI	C84H136N6O61	C121H210N6O61
G50562TV	C26H43NO20	C38H67NO20
G50562US	C72H118N6O55S2	C99H172N6O55S2
G50563ZO	C45H74N2O33	C64H112N2O33
G50565IN	C107H175N7O76	C152H265N7O76
G50566YD	C77H126N4O57	C111H194N4O57
G50567GM	C115H186N8O85	C167H290N8O85
G50570BE	C12H21NO9	C19H35NO9
G50570JV	C48H81N3O33	C68H121N3O33
G50570OR	C78H126N6O56	C112H194N6O56
G50571WR	C32H55NO24	C47H85NO24
G50573BS	C12H19NO16S2	C17H29NO16S2
G50573QG	C75H122N6O56S	C106H184N6O56S
G50574FX	C68H112N4O48	C96H168N4O48
G50574GT	C24H40O20	C36H64O20
G50574XD	C38H63NO29	C55H97NO29
G50575BK	C23H37NO18	C34H59NO18
G50576GW	C66H109N3O48	C94H165N3O48
G50576VG	C91H148N8O63	C129H224N8O63
G50576YD	C93H152N6O73S2	C131H228N6O73S2
G50577LF	C67H109N5O58S3	C94H163N5O58S3
G50578PR	C26H43NO18	C36H63NO18
G50579NE	C84H138N6O59	C119H208N6O59
G50581EF	C36H59N3O25	C51H89N3O25
G50584DZ	C62H102N4O45	C89H156N4O45
G50584UT	C93H152N6O67	C133H232N6O67
G50587UD	C53H86N4O39	C77H134N4O39
G50587ZA	C38H65NO28	C55H99NO28
G50591OC	C90H146N6O65	C129H224N6O65
G50596YN	C119H195N7O85	C169H295N7O85
G50598JV	C43H72N2O32	C63H112N2O32
G50598PQ	C51H85N3O36	C73H129N3O36
G50599NT	C114H188N6O81	C161H282N6O81
G50602GD	C93H152N6O67	C133H232N6O67
G50604GS	C51H83N3O38	C74H129N3O38
G50606VA	C60H99N3O44	C86H151N3O44
G50608CI	C20H33NO14	C28H49NO14
G50609NM	C88H146N2O70	C130H230N2O70
G50613GW	C51H83N3O36	C72H125N3O36
G50615HW	C122H201N7O86	C172H301N7O86
G50615MW	C12H20O10	C18H32O10
G50616AZ	C18H30O14	C26H46O14
G50616BB	C65H106N4O47	C93H162N4O47
G50617EZ	C28H46N2O20	C40H70N2O20
G50619VO	C62H102N4O43	C87H152N4O43
G50620GN	C60H99N3O44	C86H151N3O44
G50622EF	C52H86N2O38	C74H130N2O38
G50623QQ	C36H59N3O25	C51H89N3O25
G50624KG	C11H18O9	C16H28O9
G50624UG	C30H50O23	C43H76O23
G50626AY	C56H92N4O40	C80H140N4O40
G50629FM	C90H146N6O66	C130H226N6O66
G50631BD	C28H46N2O19	C39H68N2O19
G50636SI	C62H102N4O44	C88H154N4O44
G50638US	C84H136N6O63	C123H214N6O63
G50638YD	C42H67N3O31	C61H105N3O31
G50639MB	C96H158N6O72S	C136H238N6O72S
G50640WI	C124H202N8O88	C176H306N8O88
G50643JW	C40H66N2O30	C58H102N2O30
G50644WX	C85H139N5O63	C123H215N5O63
G50645MF	C53H87N3O38	C75H131N3O38
G50645ZL	C22H34N2O16	C32H54N2O16
G50646MX	C34H56N2O24	C48H84N2O24
G50648LW	C64H102N4O47	C91H156N4O47
G50652EJ	C53H86N4O38	C76H132N4O38
G50653CC	C129H209N9O92	C184H319N9O92
G50653GX	C95H153N7O69	C137H237N7O69
G50653UY	C32H53NO24	C46H81NO24
G50658WG	C104H169N7O74	C148H257N7O74
G50659FG	C116H191N7O84	C166H291N7O84
G50659JL	C62H102N4O44	C88H154N4O44
G50660UT	C154H249N11O111	C221H383N11O111
G50664WQ	C90H148N6O63	C127H222N6O63
G50665HR	C153H249N9O111	C219H381N9O111
G50665PM	C20H33NO15	C29H51NO15
G50666DF	C42H67N3O30	C60H103N3O30
G50674LZ	C29H47NO22	C42H73NO22
G50679XJ	C50H82N4O34	C70H122N4O34
G50680HC	C61H99N5O43	C87H151N5O43
G50680KB	C28H46N2O20	C40H70N2O20
G50681RC	C12H20O9	C17H30O9
G50683ZR	C53H88N4O38	C77H136N4O38
G50685MJ	C45H73N3O33	C65H113N3O33
G50690RH	C100H165N5O72	C142H249N5O72
G50690RS	C39H63N3O31S	C55H95N3O31S
G50692JY	C46H78N2O32	C65H116N2O32
G50692LL	C72H119N3O52	C102H179N3O52
G50695DE	C96H156N6O71	C139H242N6O71
G50695RX	C18H30O15	C27H48O15
G50695ST	C90H148N6O63	C127H222N6O63
G50696OD	C52H86N2O40	C76H134N2O40
G50697EP	C45H74N2O34	C65H114N2O34
G50703DZ	C78H128N6O56	C113H198N6O56
G50705JT	C42H67N3O31	C61H105N3O31
G50706US	C73H119N5O53	C105H183N5O53
G50706ZH	C50H80N4O39S	C71H122N4O39S
G50707YR	C50H82N4O35	C71H124N4O35
G50708OX	C85H139N5O62	C122H213N5O62
G50708YO	C28H46N2O23S	C39H68N2O23S
G50709EY	C68H112N4O49	C97H170N4O49
G50709IS	C22H38N2O15	C32H58N2O15
G50709KW	C38H63NO29	C55H97NO29
G50710KI	C60H99N3O43	C85H149N3O43
G50712VR	C14H23NO10	C20H35NO10
G50713DU	C78H129N3O60	C114H201N3O60
G50714RV	C52H86N2O40	C76H134N2O40
G50720BX	C68H112N4O49	C97H170N4O49
G50724SP	C18H30O15	C27H48O15
G50726KV	C22H38N2O18S	C31H56N2O18S
G50727CF	C74H122N4O54	C106H186N4O54
G50728CA	C64H106N2O50	C94H166N2O50
G50730KL	C60H99N3O44	C86H151N3O44
G50731QB	C71H116N4O54S	C100H174N4O54S
G50732SE	C154H249N11O112	C222H385N11O112
G50733RG	C37H60N2O28	C54H94N2O28
G50734FM	C28H48N2O23S	C40H72N2O23S
G50734LV	C104H169N7O76	C150H261N7O76
G50735MY	C118H194N8O84	C168H294N8O84
G50736GY	C12H20O10	C18H32O10
G50737AO	C28H46N2O20	C40H70N2O20
G50737VR	C12H20O10	C18H32O10
G50738IZ	C44H73NO35	C65H115NO35
G50739NP	C73H119N5O53	C105H183N5O53
G50739TK	C72H113N5O53	C103H175N5O53
G50755IT	C84H138N6O60	C120H210N6O60
G50757KG	C72H118N6O49	C101H176N6O49
G50761PC	C76H125N5O55	C109H191N5O55
G50762GU	C59H94N4O44	C86H148N4O44
G50762OP	C36H59N3O25	C51H89N3O25
G50764QU	C34H50N2O31S	C48H78N2O31S
G50769VE	C71H116N4O50	C100H174N4O50
G50775RM	C52H86N2O40	C76H134N2O40
G50777HT	C46H76N2O35	C67H118N2O35
G50779LX	C92H149N7O66	C132H229N7O66
G50781SO	C61H100N4O44	C87H152N4O44
G50782CE	C12H20O9	C17H30O9
G50782HI	C72H119N3O54	C104H183N3O54
G50782LR	C104H169N7O75	C149H259N7O75
G50783JY	C96H158N6O69	C137H240N6O69
G50785UU	C70H115N5O50	C100H175N5O50
G50789VZ	C56H92N4O39	C79H138N4O39
G50790RU	C48H80O40	C72H128O40
G50791ES	C79H129N5O58	C114H199N5O58
G50792NR	C42H67N3O31	C61H105N3O31
G50794JC	C118H194N8O85	C169H296N8O85
G50798YC	C52H86N2O40	C76H134N2O40
G50802FP	C33H53N3O23	C47H81N3O23
G50804BU	C21H35NO17	C33H59NO17
G50805QB	C26H43NO19	C37H65NO19
G50806EJ	C45H74N2O33	C64H112N2O33
G50807OM	C31H49NO25	C45H77NO25
G50808JB	C72H118N6O52S	C100H174N6O52S
G50808YS	C70H113N5O50	C100H173N5O50
G50809LR	C42H71N3O29	C60H107N3O29
G50809NC	C45H74N2O33	C64H112N2O33
G50810FH	C87H142N6O63	C125H218N6O63
G50817TZ	C101H165N7O72	C144H251N7O72
G50821RC	C87H142N6O63	C125H218N6O63
G50824HV	C70H113N5O50	C100H173N5O50
G50825VR	C96H158N6O69	C137H240N6O69
G50826PR	C80H132N4O57	C113H198N4O57
G50829CY	C74H124N4O53	C106H188N4O53
G50837EH	C68H112N4O49	C97H170N4O49
G50839HB	C90H148N6O65	C129H226N6O65
G50840BB	C70H111N5O53	C103H177N5O53
G50841UI	C75H124N6O56S	C107H188N6O56S
G50842FY	C72H118N6O50	C102H178N6O50
G50842MS	C56H92N4O39	C79H138N4O39
G50844LU	C39H65N3O31S	C56H99N3O31S
G50845UM	C60H101N3O44	C87H155N3O44
G50847MW	C18H30O15	C27H48O15
G50849OF	C62H104N4O43	C88H156N4O43
G50849VH	C14H23NO10	C20H35NO10
G50850NI	C11H17NO8	C16H27NO8
G50853LH	C59H96N4O43	C85H148N4O43
G50855DY	C34H56N2O25	C49H86N2O25
G50855RB	C28H46N2O20	C40H70N2O20
G50856PC	C125H205N7O89	C177H309N7O89
G50866KI	C26H43NO23S	C37H65NO23S
G50867WL	C26H43NO20	C38H67NO20
G50868OM	C36H60O30	C54H96O30
G50869YE	C96H158N6O68	C136H238N6O68
G50870EW	C71H116N4O53	C103H180N4O53
G50871KO	C112H185N5O81	C159H279N5O81
G50871QA	C11H18O9	C16H28O9
G50873FM	C72H118N6O50	C102H178N6O50
G50878XZ	C36H60O30	C54H96O30
G50880EE	C73H119N5O52	C104H181N5O52
G50882AV	C36H60O30	C54H96O30
G50886AE	C31H50N2O23	C45H78N2O23
G50887TF	C54H87N3O40	C78H135N3O40
G50888IQ	C26H43NO19	C37H65NO19
G50888WV	C70H115N5O49	C99H173N5O49
G50889HK	C18H30O14	C26H46O14
G50891HV	C118H192N8O84	C168H292N8O84
G50896EJ	C64H103N5O46	C92H159N5O46
G50896KE	C74H123NO60	C110H195NO60
G50896TP	C101H163N7O73	C145H251N7O73
G50898VZ	C104H169N7O74	C148H257N7O74
G50899UD	C26H43NO19	C37H65NO19
G50901FO	C88H145N5O64	C126H221N5O64
G50902RD	C21H35NO14	C28H49NO14
G50902XT	C86H143NO70	C128H227NO70
G50903CR	C36H59N3O27S	C49H85N3O27S
G50903RY	C79H129N5O57	C113H197N5O57
G50905UI	C76H125N5O53	C107H187N5O53
G50906KO	C26H43NO22S	C36H63NO22S
G50907XI	C19H29NO15	C27H45NO15
G50911BZ	C98H159N7O74S	C140H243N7O74S
G50911OK	C74H122N4O55	C107H188N4O55
G50912QV	C24H39N3O15	C33H57N3O15
G50915WK	C65H108N4O47	C94H166N4O47
G50916FM	C115H186N8O83	C165H286N8O83
G50918DF	C79H129N5O58	C114H199N5O58
G50918LY	C26H43NO19	C37H65NO19
G50919MP	C71H116N4O54	C104H182N4O54
G50920KZ	C113H185N7O80	C160H279N7O80
G50923OA	C90H146N6O65	C129H224N6O65
G50926NK	C12H20O13S	C17H30O13S
G50931GW	C53H86N4O38	C76H132N4O38
G50932EE	C67H109N5O57S3	C93H161N5O57S3
G50932PM	C82H135N5O59	C117H205N5O59
G50933AH	C12H20O10	C18H32O10
G50933UG	C86H141N7O59	C121H211N7O59
G50933ZE	C26H43NO23S	C37H65NO23S
G50935AR	C18H30O15	C27H48O15
G50937OW	C59H98N4O42	C85H150N4O42
G50939RX	C50H82N4O38S	C70H122N4O38S
G50940QK	C24H40O20	C36H64O20
G50940ZR	C87H142N6O62	C124H216N6O62
G50943ZX	C67H109N5O47	C95H165N5O47
G50947HO	C126H205N9O89	C179H311N9O89
G50947IE	C133H218N8O99	C193H338N8O99
G50950LE	C43H70N2O33	C63H110N2O33
G50956UT	C14H23NO10	C20H35NO10
G50959AX	C88H145N5O63	C125H219N5O63
G50962LI	C38H65NO28	C55H99NO28
G50964FV	C42H70O35	C63H112O35
G50964YW	C140H226N10O101	C201H348N10O101
G50966OU	C34H56N2O25	C49H86N2O25
G50967SW	C28H46N2O20	C40H70N2O20
G50968FR	C37H58NO37PS	C55H94NO37PS
G50970GU	C62H102N4O44	C88H154N4O44
G50972GR	C20H33NO15	C29H51NO15
G50972KK	C14H21NO14S	C19H31NO14S
G50976GG	C102H166N6O73	C145H252N6O73
G50976TT	C109H176N8O81	C159H276N8O81
G50977JR	C20H33NO15	C29H51NO15
G50977RZ	C30H50O24	C44H78O24
G50979WN	C51H83N3O38	C74H129N3O38
G50992EZ	C30H50O24	C44H78O24
G50993XY	C67H109N5O49	C97H169N5O49
G50994QR	C85H139N5O62	C122H213N5O62
G50995GE	C66H108N6O48S	C92H160N6O48S
G50997KD	C134H218N10O97	C194H338N10O97
G50999ES	C58H96N2O45	C85H150N2O45
G50999NW	C12H21O13P	C19H35O13P
G50999TP	C36H57N3O26	C52H89N3O26
G51000ET	C26H43NO20	C38H67NO20
G51001GF	C31H50N2O22	C44H76N2O22
G51004EY	C70H115N5O50	C100H175N5O50
G51005JI	C81H132N6O68S3	C114H198N6O68S3
G51007QO	C75H122N6O53	C107H186N6O53
G51010TU	C52H86N2O39	C75H132N2O39
G51012XH	C24H40O18	C34H60O18
G51013IK	C70H115N5O49	C99H173N5O49
G51013PJ	C56H92N4O39	C79H138N4O39
G51014CE	C25H40N2O18	C36H62N2O18
G51014DP	C46H76N2O34	C66H116N2O34
G51014ET	C98H159N7O71	C141H245N7O71
G51015NS	C48H79N3O33	C67H117N3O33
G51018GI	C115H186N8O84	C166H288N8O84
G51018LC	C99H164N6O70	C141H248N6O70
G51018ZX	C104H169N7O76	C150H261N7O76
G51020FB	C68H112N4O48	C96H168N4O48
G51020QH	C11H17NO8	C16H27NO8
G51021QB	C36H56N2O39S3	C56H96N2O39S3
G51022CI	C37H60N2O27	C53H92N2O27
G51022MS	C82H136N2O65	C121H214N2O65
G51022NV	C118H194N8O84	C168H294N8O84
G51023KG	C71H116N4O52	C102H178N4O52
G51024RU	C82H135N5O58	C116H203N5O58
G51024ZU	C101H165N7O71	C143H249N7O71
G51033FK	C14H23NO10	C20H35NO10
G51034LA	C56H93NO45	C83H147NO45
G51041MW	C70H115N5O49	C99H173N5O49
G51043SI	C18H30O15	C27H48O15
G51044QT	C100H165N5O72	C142H249N5O72
G51045DL	C62H102N4O45	C89H156N4O45
G51045EJ	C84H138N6O60	C120H210N6O60
G51045MH	C12H21NO9	C19H35NO9
G51045UG	C76H125N5O54	C108H189N5O54
G51047RS	C72H119N3O52	C102H179N3O52
G51048YI	C38H63NO29	C55H97NO29
G51050KK	C172H279N11O124	C246H427N11O124
G51050LD	C100H165N5O71	C141H247N5O71
G51057EI	C28H46N2O20	C40H70N2O20
G51057GZ	C14H21NO17S2	C18H29NO17S2
G51057KO	C62H102N4O44	C88H154N4O44
G51060UD	C26H43NO18	C36H63NO18
G51061UK	C115H186N8O85	C167H290N8O85
G51064SM	C84H138N6O58	C118H206N6O58
G51065AQ	C58H98N2O45	C86H154N2O45
G51066MD	C63H95N3O61S3	C90H149N3O61S3
G51066TO	C93H152N6O67	C133H232N6O67
G51067CM	C84H138N6O59	C119H208N6O59
G51067UE	C17H28O14	C25H44O14
G51070HN	C58H96N2O45	C85H150N2O45
G51071LC	C25H40N2O18	C36H62N2O18
G51071WE	C46H76N2O32	C64H112N2O32
G51072PW	C26H38N2O24S	C38H62N2O24S
G51074KT	C110H179N7O79	C157H273N7O79
G51077XN	C38H63NO28	C54H95NO28
G51078BW	C94H156N2O75	C139H246N2O75
G51080VE	C36H59N3O24	C50H87N3O24
G51083SH	C118H194N8O84	C168H294N8O84
G51083UG	C66H110O55	C99H176O55
G51083UL	C45H73N3O35S	C63H109N3O35S
G51084BB	C36H55N3O48S6	C51H85N3O48S6
G51084WS	C109H176N8O79	C157H272N8O79
G51086FE	C109H176N8O79	C157H272N8O79
G51087AZ	C56H92N4O39	C79H138N4O39
G51087ZL	C84H136N6O63	C123H214N6O63
G51088QH	C14H21NO14S	C19H31NO14S
G51090RT	C33H53N3O26S	C46H79N3O26S
G51091HB	C26H45NO19	C38H69NO19
G51092AP	C30H50O25	C45H80O25
G51092SE	C40H66N2O30	C58H102N2O30
G51093RA	C114H187N9O79	C161H281N9O79
G51096IO	C101H165N7O74	C146H255N7O74
G51096RK	C26H44NO23P	C39H70NO23P
G51098AA	C93H152N6O73S2	C131H228N6O73S2
G51098AK	C143H232N10O103	C205H356N10O103
G51098OG	C76H123N5O56	C110H191N5O56
G51099WR	C60H99N3O42	C84H147N3O42
G51100CM	C64H103N5O46	C92H159N5O46
G51100OU	C48H81N3O34	C69H123N3O34
G51103QO	C36H59N3O25	C51H89N3O25
G51107LG	C102H170N6O74	C147H260N6O74
G51107TC	C99H162N6O71	C141H246N6O71
G51109LD	C24H39NO18	C34H59NO18
G51111IE	C54H89N3O40	C78H137N3O40
G51113GH	C12H20O9	C17H30O9
G51114IJ	C40H66N2O28	C56H98N2O28
G51114LH	C50H83NO38	C72H127NO38
G51114UP	C67H109N5O48	C96H167N5O48
G51116JR	C47H76N4O32	C66H114N4O32
G51119AC	C46H76N2O34	C66H116N2O34
G51119RL	C76H126N2O60	C112H198N2O60
G51122PB	C82H135N5O58	C116H203N5O58
G51122TA	C28H46N2O19	C39H68N2O19
G51123DJ	C70H111N5O53	C103H177N5O53
G51123LX	C26H43NO20	C38H67NO20
G51123VI	C58H98N2O45	C86H154N2O45
G51123ZO	C42H63N3O33	C60H99N3O33
G51127PP	C124H206N8O89	C178H314N8O89
G51127XF	C50H80N4O36	C72H124N4O36
G51129KH	C52H86N2O39	C75H132N2O39
G51131QL	C22H36N2O15	C31H54N2O15
G51131QP	C28H46N2O20	C40H70N2O20
G51132ID	C12H20O13S	C17H30O13S
G51134OF	C68H114N4O50	C99H176N4O50
G51136LJ	C59H94N4O46	C88H152N4O46
G51136OY	C72H118N6O49	C101H176N6O49
G51138SQ	C31H52N2O22	C45H80N2O22
G51140AE	C72H118N6O49	C101H176N6O49
G51144LI	C134H216N10O98	C194H336N10O98
G51146HY	C146H236N10O105	C209H362N10O105
G51149EA	C71H116N4O53	C103H180N4O53
G51157XM	C34H58N2O24	C49H88N2O24
G51158NS	C18H30O15	C27H48O15
G51159QK	C116H193N7O84	C167H295N7O84
G51162XR	C33H53N3O23	C47H81N3O23
G51168AJ	C26H43NO20	C38H67NO20
G51168CH	C40H68N2O29	C58H104N2O29
G51168MK	C121H196N8O87	C173H300N8O87
G51170KR	C80H131N7O55	C113H197N7O55
G51170QD	C68H112N4O50	C98H172N4O50
G51175LB	C59H94N4O46	C88H152N4O46
G51175PR	C52H86N2O39	C75H132N2O39
G51176DS	C14H23NO16S2	C18H31NO16S2
G51176VI	C28H46N2O23S	C39H68N2O23S
G51177EP	C81H132N6O57	C115H200N6O57
G51181EZ	C31H50N2O26S	C44H76N2O26S
G51184PT	C16H26N2O10	C22H38N2O10
G51188ML	C146H240N10O105	C209H366N10O105
G51190KY	C26H43NO20	C38H67NO20
G51192NL	C47H76N4O32	C66H114N4O32
