GlyTouCanAccession	NativeFormula	PermethylatedFormula
G00403ZD	C32H57N2O27P	C50H93N2O27P
G00405TO	C125H205N7O89	C177H309N7O89
G00406II	C46H76N2O34	C66H116N2O34
G00407UJ	C26H43NO20	C38H67NO20
G00410BM	C98H161N7O69	C139H243N7O69
G00412SV	C61H100N4O43	C86H150N4O43
G00413UF	C98H159N7O71	C141H245N7O71
G00418DG	C31H50N2O23	C45H78N2O23
G00420CS	C115H186N8O83	C165H286N8O83
G00420UH	C91H148N8O63	C129H224N8O63
G00422AZ	C48H79N3O34	C68H119N3O34
G00423IN	C121H198N8O85	C171H298N8O85
G00423TL	C22H36N2O18S	C30H52N2O18S
G00428HK	C52H88N2O38	C75H134N2O38
G00429OU	C84H138N6O61	C122H214N6O61
G00430ZK	C70H113N5O50	C100H173N5O50
G00432WV	C82H135N5O59	C117H205N5O59
G00432WW	C36H59N3O25	C51H89N3O25
G00433KW	C58H96N2O45	C85H150N2O45
G00433UK	C132H215N9O96	C190H331N9O96
G00435KL	C54H89N3O40	C78H137N3O40
G00435KX	C26H43NO19	C37H65NO19
G00438EF	C100H165N5O74	C144H253N5O74
G00442PP	C19H29NO15	C27H45NO15
G00449DS	C79H129N5O58	C114H199N5O58
G00450EO	C79H131N5O57	C114H201N5O57
G00451UT	C140H226N10O101	C201H348N10O101
G00454PR	C12H20O10	C18H32O10
G00455MN	C110H181N7O79	C157H275N7O79
G00455NP	C26H43NO19	C37H65NO19
G00457KD	C20H33NO13	C27H47NO13
G00458CW	C31H50N2O22	C44H76N2O22
G00459BD	C106H172N8O75	C151H262N8O75
G00459HM	C37H60N2O28	C54H94N2O28
G00460DH	C110H181N7O80	C159H279N7O80
G00461RR	C51H85N3O39S	C72H127N3O39S
G00461ZN	C18H30O15	C27H48O15
G00462AS	C39H63N3O37S3	C53H91N3O37S3
G00463XD	C80H131N7O54	C112H195N7O54
G00466XG	C63H103N3O48	C92H161N3O48
G00467QU	C40H68N2O29	C58H104N2O29
G00468IT	C104H171N7O75	C149H261N7O75
G00468KU	C56H92N4O40	C80H140N4O40
G00468NI	C39H63N3O29	C57H99N3O29
G00469BS	C50H82N4O34	C70H122N4O34
G00470UO	C80H131N7O54	C112H195N7O54
G00471UP	C80H132N4O58	C114H200N4O58
G00480IB	C72H118N6O49	C101H176N6O49
