GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00588HO	3219	2c9042cb	cfg	extended
G00591PZ	4426	e533cb0d	cfg	extended
G00594AV	7184	8bd3bd63	cfg	extended
G00594CD	1717	95cf6eb4	cfg	extended
G00598SQ	5090	5430a2a3	cfg	extended
G00601UG	2560	682318d4	cfg	extended
G00606LX	7527	93151e72	cfg	extended
G00619DD	1510	207956cb	cfg	extended
G00628MV	1797	52ddc405	cfg	extended
G00629YK	3634	8aab5d7f	cfg	extended
G00631XZ	1714	fffbc04a	cfg	extended
G00633GI	4125	0e5d7316	cfg	extended
G00641XC	1368	4753a1fc	cfg	extended
G00644ZZ	4247	5e61ef3e	cfg	extended
G00646SN	4989	223ce4eb	cfg	extended
G00647RA	2453	67cf45b4	cfg	extended
G00650AC	4242	e3abf299	cfg	extended
G00653TI	2352	f16cbd53	cfg	extended
G00657YY	1068	9cac3916	cfg	extended
G00659GQ	1738	224c0ce4	cfg	extended
G00662IB	5004	037a1a3b	cfg	extended
G00662UH	5839	06936c50	cfg	extended
G00666EC	6094	4024a4d6	cfg	extended
G00667RI	1892	c0fd110c	cfg	extended
G00670OT	4246	4bbc7e0f	cfg	extended
G00672PE	1717	92d31a1d	cfg	extended
G00673KJ	2786	b7d994ca	cfg	extended
G00674TY	1095	37db5cb3	cfg	extended
G00675GF	4335	84d04ef6	cfg	extended
G00682IE	1210	3aff5037	cfg	extended
G00688TE	1028	e4b04092	cfg	extended
G00688XN	3549	920d1e91	cfg	extended
G00691LW	1207	cffa5a5d	cfg	extended
G00691NS	5749	0e565b61	cfg	extended
G00692HC	3146	2aef7fca	cfg	extended
G00695FC	2542	14a4ced5	cfg	extended
G00695JO	3362	40efdaaa	cfg	extended
G00702NP	2981	2ab1e036	cfg	extended
G00705GA	1955	cadda4c1	cfg	extended
G00705XW	1687	310cf622	cfg	extended
G00706AL	5001	15883075	cfg	extended
G00706QN	2592	046674b1	cfg	extended
G00709CF	4225	870c35be	cfg	extended
G00709ZM	1264	e67365d5	cfg	extended
G00711NG	1754	83d66bea	cfg	extended
G00711QT	892	4c688301	cfg	extended
G00717KJ	3481	6ab279f5	cfg	extended
