GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G39170TE	1061	GlyConnectComposition
G39170TE	1061	GlyConnectComposition
G39172SO	2025	GlyConnectStructure
G39188ZX	603	GlyConnectComposition
G39188ZX	603	GlyConnectComposition
G39203UC	3147	GlyConnectStructure
G39213VZ	3258	GlyConnectStructure
G39247UK	2882	GlyConnectStructure
G39253LL	687	GlyConnectStructure
G39294YF	2484	GlyConnectStructure
G39298RF	2471	GlyConnectStructure
G39308XN	1911	GlyConnectStructure
G39326PP	593	GlyConnectStructure
G39338NX	3045	GlyConnectStructure
G39368QD	1053	GlyConnectComposition
G39368QD	1053	GlyConnectComposition
G39377DE	239	GlyConnectStructure
G39397SW	430	GlyConnectStructure
G39431MA	3513	GlyConnectStructure
G39439UR	2053	GlyConnectStructure
G39523KI	342	GlyConnectStructure
G39540XG	3447	GlyConnectStructure
G39562VT	1598	GlyConnectStructure
G39595CR	873	GlyConnectStructure
G39595FH	468	GlyConnectComposition
G39595FH	468	GlyConnectComposition
G39602UU	381	GlyConnectStructure
G39617JJ	3677	GlyConnectStructure
G39619TI	598	GlyConnectComposition
G39619TI	598	GlyConnectComposition
G39624YQ	2739	GlyConnectStructure
G39643OJ	344	GlyConnectComposition
G39643OJ	344	GlyConnectComposition
G39758MG	1493	GlyConnectStructure
G39841VH	2208	GlyConnectStructure
G39856ST	768	GlyConnectStructure
G39887ME	507	GlyConnectStructure
G39891VF	26	GlyConnectComposition
G39916NT	3531	GlyConnectStructure
G39943KJ	3276	GlyConnectStructure
G39952PY	934	GlyConnectStructure
G40027VO	2093	GlyConnectStructure
G40033UH	1995	GlyConnectStructure
G40096SL	2242	GlyConnectStructure
G40097PQ	2810	GlyConnectStructure
G40103VO	1109	GlyConnectStructure
G40119MV	2052	GlyConnectStructure
G40124HY	1244	GlyConnectStructure
G40142JY	244	GlyConnectComposition
G40142JY	244	GlyConnectComposition
G40183VY	1012	GlyConnectStructure
G40193LX	2986	GlyConnectStructure
G40194MN	91	GlyConnectStructure
G40270LS	1213	GlyConnectStructure
G40291QP	80	GlyConnectStructure
G40319SF	1666	GlyConnectStructure
G40352EF	2279	GlyConnectStructure
G40428GO	2275	GlyConnectStructure
G40490KT	164	GlyConnectStructure
G40537VT	29	GlyConnectStructure
G40544US	172	GlyConnectStructure
G40554DX	1020	GlyConnectStructure
G40560HO	861	GlyConnectStructure
G40608DF	3649	GlyConnectStructure
G40671AG	630	GlyConnectComposition
G40671AG	630	GlyConnectComposition
G40673VG	10749	GlyConnectStructure
G40689UV	423	GlyConnectStructure
G40702WU	362	GlyConnectStructure
G40707SF	1988	GlyConnectStructure
G40737EA	1825	GlyConnectStructure
G40765JD	2893	GlyConnectStructure
G40778XV	2648	GlyConnectStructure
G40843RG	587	GlyConnectComposition
G40843RG	587	GlyConnectComposition
G40852TV	2088	GlyConnectStructure
G40865GN	1338	GlyConnectStructure
G40874QJ	1992	GlyConnectStructure
G40906DZ	3444	GlyConnectStructure
G40943ZI	115	GlyConnectComposition
G40966IE	2679	GlyConnectStructure
G40966IE	5364	GlyConnectStructure
G41015OA	2726	GlyConnectStructure
G41170ZW	859	GlyConnectComposition
G41170ZW	859	GlyConnectComposition
G41191PN	3451	GlyConnectStructure
G41225ZT	2777	GlyConnectStructure
G41245OZ	1185	GlyConnectStructure
G41278YY	2312	GlyConnectStructure
G41278YY	3677	GlyConnectStructure
G41286JH	2544	GlyConnectStructure
G41304KE	826	GlyConnectStructure
G41321IO	1799	GlyConnectStructure
G41331JX	1673	GlyConnectStructure
G41346UA	1042	GlyConnectComposition
G41346UA	1042	GlyConnectComposition
G41403MI	2989	GlyConnectStructure
G41405AU	2022	GlyConnectStructure
G41424HD	1531	GlyConnectStructure
G41440AQ	2429	GlyConnectStructure
G41449ZD	3475	GlyConnectStructure
G41498BE	2908	GlyConnectStructure
G41552FO	140	GlyConnectStructure
G41575BQ	516	GlyConnectStructure
G41611UP	10756	GlyConnectStructure
G41690KS	3223	GlyConnectStructure
G41720HN	2307	GlyConnectStructure
G41726FA	1937	GlyConnectStructure
G41734DZ	2324	GlyConnectStructure
G41786IU	2503	GlyConnectStructure
G41801LM	297	GlyConnectStructure
G41820ZZ	3062	GlyConnectStructure
G41824PC	142	GlyConnectStructure
G41827IE	817	GlyConnectStructure
G41850LO	700	GlyConnectStructure
G41860WU	1426	GlyConnectStructure
G41874XU	1919	GlyConnectStructure
G41882MT	223	GlyConnectComposition
G41882MT	223	GlyConnectComposition
G41917DR	207	GlyConnectComposition
G41917DR	207	GlyConnectComposition
G41929NX	240	GlyConnectStructure
G41940MB	2790	GlyConnectStructure
G41953RN	2009	GlyConnectStructure
G41964LZ	1942	GlyConnectStructure
G41981MA	1399	GlyConnectStructure
G42028DN	3323	GlyConnectStructure
G42039DE	3409	GlyConnectStructure
G42039DE	3497	GlyConnectStructure
G42097JO	2409	GlyConnectStructure
G42175IR	1489	GlyConnectStructure
G42239OO	108	GlyConnectStructure
G42239OO	833	GlyConnectStructure
G42240DE	69	GlyConnectStructure
G42262TV	2128	GlyConnectStructure
G42264OV	3204	GlyConnectStructure
G42292MP	1453	GlyConnectStructure
G42296CW	2780	GlyConnectStructure
G42358LZ	3353	GlyConnectStructure
G42436GS	2961	GlyConnectStructure
G42440OJ	1180	GlyConnectStructure
G42459UQ	375	GlyConnectComposition
G42459UQ	375	GlyConnectComposition
G42466VF	840	GlyConnectStructure
G42477ZH	912	GlyConnectStructure
G42493LZ	939	GlyConnectStructure
G42537PG	573	GlyConnectStructure
G42545LJ	762	GlyConnectStructure
G42553JB	608	GlyConnectStructure
G42604PC	740	GlyConnectStructure
G42658SU	3151	GlyConnectStructure
G42665KV	1142	GlyConnectStructure
G42666HT	2126	GlyConnectStructure
G42679AH	256	GlyConnectStructure
G42686NQ	995	GlyConnectStructure
G42797SX	1948	GlyConnectStructure
G42929LX	2534	GlyConnectStructure
G42929LX	3707	GlyConnectStructure
G42944BA	3273	GlyConnectStructure
G42989XH	1312	GlyConnectStructure
G43040IL	1249	GlyConnectStructure
G43059PA	96	GlyConnectStructure
G43072YM	3466	GlyConnectStructure
G43088GK	612	GlyConnectStructure
G43089EG	996	GlyConnectComposition
G43089EG	996	GlyConnectComposition
G43137UY	1205	GlyConnectStructure
G43157GC	669	GlyConnectStructure
G43157UW	1147	GlyConnectStructure
G43195FH	1756	GlyConnectStructure
G43221GX	1545	GlyConnectStructure
G43255OW	3614	GlyConnectStructure
G43299SD	2297	GlyConnectStructure
G43346PX	1376	GlyConnectStructure
G43402RG	1566	GlyConnectStructure
G43438SM	1404	GlyConnectStructure
G43453KC	2971	GlyConnectStructure
G43507KQ	1079	GlyConnectStructure
G43509OH	463	GlyConnectStructure
G43639BV	187	GlyConnectStructure
G43639BV	3388	GlyConnectStructure
G43648DB	1192	GlyConnectStructure
G43656YN	609	GlyConnectStructure
G43664YB	3678	GlyConnectStructure
G43665PB	3402	GlyConnectStructure
G43687XR	2374	GlyConnectStructure
G43694RQ	1715	GlyConnectStructure
G43702IX	1216	GlyConnectStructure
G43761WH	673	GlyConnectStructure
G43838OY	1621	GlyConnectStructure
G43930QJ	523	GlyConnectStructure
G43984TE	465	GlyConnectStructure
G43993DD	2613	GlyConnectStructure
G44073EJ	1591	GlyConnectStructure
G44121LY	1438	GlyConnectStructure
G44173IH	1051	GlyConnectComposition
G44173IH	1051	GlyConnectComposition
G44215PV	353	GlyConnectComposition
G44268RP	2556	GlyConnectStructure
G44276EF	1201	GlyConnectStructure
G44305KR	1045	GlyConnectComposition
G44305KR	1045	GlyConnectComposition
G44306ED	679	GlyConnectStructure
G44331JI	1082	GlyConnectComposition
G44331JI	1082	GlyConnectComposition
G44339YF	3488	GlyConnectStructure
G44339YF	4253	GlyConnectStructure
G44342ZF	2176	GlyConnectStructure
G44346CQ	3414	GlyConnectStructure
G44411RJ	661	GlyConnectStructure
G44444MB	404	GlyConnectStructure
G44490NG	767	GlyConnectComposition
G44490NG	767	GlyConnectComposition
G44504WW	3368	GlyConnectStructure
G44528IE	1117	GlyConnectStructure
G44530QE	575	GlyConnectStructure
G44533KV	2247	GlyConnectStructure
G44547LX	1549	GlyConnectStructure
G44617UT	3502	GlyConnectStructure
G44623TX	977	GlyConnectStructure
G44660UQ	2479	GlyConnectStructure
G44748WB	347	GlyConnectComposition
G44748WB	347	GlyConnectComposition
G44778BV	1034	GlyConnectComposition
G44778BV	1034	GlyConnectComposition
G44865WY	1303	GlyConnectStructure
G44904UE	2522	GlyConnectStructure
G44953KX	2280	GlyConnectStructure
G44988YY	2232	GlyConnectStructure
G45036WQ	2023	GlyConnectStructure
G45048TZ	2500	GlyConnectStructure
G45116BB	315	GlyConnectStructure
G45127HA	3104	GlyConnectStructure
G45187EI	3189	GlyConnectStructure
G45209NR	3501	GlyConnectStructure
G45249UV	23	GlyConnectStructure
G45264AM	3214	GlyConnectStructure
G45300SB	3264	GlyConnectStructure
G45333LE	2055	GlyConnectStructure
G45359RY	2263	GlyConnectStructure
G45400XL	2836	GlyConnectStructure
G45411OE	2630	GlyConnectStructure
G45426NO	1985	GlyConnectStructure
G45498YC	1962	GlyConnectStructure
G45546UR	105	GlyConnectStructure
G45559GE	722	GlyConnectStructure
G45560HM	2177	GlyConnectStructure
G45570JA	3150	GlyConnectStructure
G45579IH	459	GlyConnectStructure
G45637XA	3049	GlyConnectStructure
G45661NA	765	GlyConnectStructure
G45695EY	2057	GlyConnectStructure
G45699QA	2254	GlyConnectStructure
G45700OA	1739	GlyConnectStructure
G45700OA	2718	GlyConnectStructure
G45711GR	774	GlyConnectStructure
G45827GY	660	GlyConnectStructure
G45827ZM	650	GlyConnectStructure
G45827ZM	917	GlyConnectStructure
G45841FE	279	GlyConnectStructure
G45864TJ	1514	GlyConnectStructure
G45883VE	470	GlyConnectComposition
G45883VE	470	GlyConnectComposition
G45889JQ	2705	GlyConnectStructure
G45917UD	3211	GlyConnectStructure
G45939NL	2907	GlyConnectStructure
G45981GB	344	GlyConnectStructure
G46185ND	2274	GlyConnectStructure
G46208LD	2849	GlyConnectStructure
G46241DR	109	GlyConnectComposition
G46241DR	109	GlyConnectComposition
G46252BF	776	GlyConnectStructure
G46271TS	1144	GlyConnectStructure
G46283XF	362	GlyConnectComposition
G46283XF	362	GlyConnectComposition
G46309AS	97	GlyConnectComposition
G46406BL	1345	GlyConnectStructure
G46409AI	1773	GlyConnectStructure
G46422KL	86	GlyConnectComposition
G46422KL	86	GlyConnectComposition
G46449AK	2654	GlyConnectStructure
G46455GO	2169	GlyConnectStructure
G46470AD	1027	GlyConnectStructure
G46487SG	1048	GlyConnectComposition
G46487SG	1048	GlyConnectComposition
G46503KK	3190	GlyConnectStructure
G46524LG	685	GlyConnectComposition
G46524LG	685	GlyConnectComposition
G46568MX	3023	GlyConnectStructure
G46576CR	3335	GlyConnectStructure
G46626CC	3434	GlyConnectStructure
G46638GC	3084	GlyConnectStructure
G46665ZP	643	GlyConnectComposition
G46665ZP	643	GlyConnectComposition
G46687AB	350	GlyConnectComposition
G46687AB	350	GlyConnectComposition
G46748BU	2586	GlyConnectStructure
G46758LT	850	GlyConnectStructure
G46815RD	2903	GlyConnectStructure
G46823OG	586	GlyConnectStructure
G46823OG	7156	GlyConnectStructure
G46831QF	699	GlyConnectComposition
G46836GH	2256	GlyConnectStructure
G46842SD	617	GlyConnectComposition
G46842SD	617	GlyConnectComposition
G46849ZO	3040	GlyConnectStructure
G46902YN	252	GlyConnectComposition
G46902YN	252	GlyConnectComposition
G46935AJ	2285	GlyConnectStructure
G46974YF	2079	GlyConnectStructure
G47007PV	2887	GlyConnectStructure
G47010DH	154	GlyConnectStructure
G47011KD	3526	GlyConnectStructure
G47012YE	113	GlyConnectComposition
G47012YE	113	GlyConnectComposition
G47023LO	2062	GlyConnectStructure
G47058MH	1081	GlyConnectStructure
G47122SX	709	GlyConnectComposition
G47122SX	709	GlyConnectComposition
G47175EF	2	GlyConnectStructure
G47180UC	282	GlyConnectStructure
G47196YN	24	GlyConnectComposition
G47196YN	24	GlyConnectComposition
G47253CO	2123	GlyConnectStructure
G47279LF	1035	GlyConnectStructure
G47318KU	2543	GlyConnectStructure
G47325XO	1106	GlyConnectStructure
G47384NK	2765	GlyConnectStructure
G47447OK	1983	GlyConnectStructure
G47448YK	751	GlyConnectComposition
G47448YK	751	GlyConnectComposition
G47452EQ	1833	GlyConnectStructure
G47518TP	330	GlyConnectComposition
G47518TP	330	GlyConnectComposition
G47573PO	493	GlyConnectStructure
G47573PO	773	GlyConnectStructure
G47606XQ	797	GlyConnectStructure
G47613FH	3625	GlyConnectStructure
G47669IJ	2709	GlyConnectStructure
G47681UP	388	GlyConnectComposition
G47748JZ	944	GlyConnectComposition
G47748JZ	944	GlyConnectComposition
G47760VS	485	GlyConnectStructure
G47832TO	78	GlyConnectStructure
G47837MS	2864	GlyConnectStructure
G47871MN	3065	GlyConnectStructure
G47909JD	657	GlyConnectStructure
G47967RK	487	GlyConnectComposition
G47975JA	3650	GlyConnectStructure
G47992RQ	201	GlyConnectStructure
G48059CD	3051	GlyConnectStructure
G48109OV	2002	GlyConnectStructure
G48275DN	396	GlyConnectStructure
G48288NV	2108	GlyConnectStructure
G48296OD	619	GlyConnectStructure
G48329CR	1936	GlyConnectStructure
G48362SO	1232	GlyConnectStructure
G48381WH	2306	GlyConnectStructure
G48390IG	2729	GlyConnectStructure
G48414YA	712	GlyConnectComposition
G48414YA	712	GlyConnectComposition
G48440GN	460	GlyConnectStructure
G48488CO	384	GlyConnectComposition
G48488CO	384	GlyConnectComposition
G48584BU	53	GlyConnectComposition
G48584BU	53	GlyConnectComposition
G48626HI	3572	GlyConnectStructure
G48712ZJ	1539	GlyConnectStructure
G48712ZJ	4043	GlyConnectStructure
G48728KD	2600	GlyConnectStructure
G48740SL	196	GlyConnectStructure
G48753IC	2675	GlyConnectStructure
G48809BS	2820	GlyConnectStructure
G48818KL	800	GlyConnectStructure
G48844XN	2482	GlyConnectStructure
G48848IF	1686	GlyConnectStructure
G48849EN	1365	GlyConnectStructure
G48854JY	3116	GlyConnectStructure
G48856VC	3055	GlyConnectStructure
G48905NO	3413	GlyConnectStructure
G48954CA	1145	GlyConnectStructure
G48980RC	3033	GlyConnectStructure
G49084LP	210	GlyConnectComposition
G49084LP	210	GlyConnectComposition
G49096VL	2150	GlyConnectStructure
G49105NA	110	GlyConnectStructure
G49108TO	8849	GlyConnectStructure
G49129IL	271	GlyConnectStructure
G49197XP	519	GlyConnectStructure
G49204YH	1009	GlyConnectComposition
G49204YH	1009	GlyConnectComposition
G49228QV	2303	GlyConnectStructure
G49232RW	1230	GlyConnectStructure
G49277CJ	786	GlyConnectStructure
G49278EO	752	GlyConnectComposition
G49278EO	752	GlyConnectComposition
G49299ZV	10812	GlyConnectStructure
G49305IN	2384	GlyConnectStructure
G49307MQ	3463	GlyConnectStructure
G49329HX	2507	GlyConnectStructure
G49329XU	870	GlyConnectComposition
G49329XU	870	GlyConnectComposition
G49356OF	490	GlyConnectComposition
G49356OF	490	GlyConnectComposition
G49383JW	349	GlyConnectStructure
G49386TY	3253	GlyConnectStructure
G49424IS	785	GlyConnectStructure
G49424TY	3416	GlyConnectStructure
G49446SO	3483	GlyConnectStructure
G49447IS	1203	GlyConnectStructure
G49478NM	1379	GlyConnectStructure
G49520ZT	405	GlyConnectStructure
G49527BY	1015	GlyConnectStructure
G49582PC	491	GlyConnectStructure
G49632WD	3391	GlyConnectStructure
G49644CL	276	GlyConnectComposition
G49743VF	3081	GlyConnectStructure
G49754EX	9	GlyConnectStructure
G49767OI	1389	GlyConnectStructure
G49774KM	3657	GlyConnectStructure
G49854OS	2020	GlyConnectStructure
G49856OX	1028	GlyConnectComposition
G49856OX	1028	GlyConnectComposition
G49874UX	742	GlyConnectComposition
G49874UX	742	GlyConnectComposition
G49889OJ	1057	GlyConnectStructure
G49933AX	845	GlyConnectStructure
G49936EV	810	GlyConnectStructure
G49961MS	866	GlyConnectStructure
G49963IQ	3064	GlyConnectStructure
G50006QM	934	GlyConnectComposition
G50006QM	934	GlyConnectComposition
G50045TK	9	GlyConnectComposition
G50045TK	9	GlyConnectComposition
G50058RB	2078	GlyConnectStructure
G50068TE	807	GlyConnectStructure
G50078RT	1657	GlyConnectStructure
G50078RT	3182	GlyConnectStructure
G50120TH	1035	GlyConnectComposition
G50120TH	1035	GlyConnectComposition
G50135PA	1496	GlyConnectStructure
G50236GJ	3394	GlyConnectStructure
G50251EH	734	GlyConnectStructure
G50329HB	1126	GlyConnectStructure
G50353PP	1333	GlyConnectStructure
G50427EN	1965	GlyConnectStructure
G50427EO	1003	GlyConnectComposition
G50457PU	498	GlyConnectComposition
G50457PU	498	GlyConnectComposition
G50487BS	1332	GlyConnectStructure
G50489VC	1745	GlyConnectStructure
G50489VC	2401	GlyConnectStructure
G50540JU	25	GlyConnectStructure
G50550RZ	2397	GlyConnectStructure
G50608CI	1432	GlyConnectStructure
G50619VO	1247	GlyConnectStructure
G50636SI	2547	GlyConnectStructure
G50707YR	2152	GlyConnectStructure
G50738IZ	759	GlyConnectComposition
G50738IZ	759	GlyConnectComposition
G50755IT	2572	GlyConnectStructure
G50757KG	192	GlyConnectComposition
G50757KG	192	GlyConnectComposition
G50779LX	2408	GlyConnectStructure
G50783JY	969	GlyConnectStructure
G50824HV	2036	GlyConnectStructure
G50871KO	3457	GlyConnectStructure
G50888WV	1884	GlyConnectStructure
G50905UI	3674	GlyConnectStructure
G50911BZ	239	GlyConnectComposition
G50911BZ	239	GlyConnectComposition
G50943ZX	1024	GlyConnectStructure
G51012XH	3060	GlyConnectStructure
G51020FB	648	GlyConnectStructure
G51034LA	529	GlyConnectStructure
G51050LD	363	GlyConnectStructure
G51057KO	2296	GlyConnectStructure
G51066TO	3432	GlyConnectStructure
G51098AA	149	GlyConnectStructure
G51114IJ	3281	GlyConnectStructure
G51114IJ	6549	GlyConnectStructure
G51140AE	1462	GlyConnectStructure
G51188ML	1313	GlyConnectStructure
G51239WU	1653	GlyConnectStructure
G51264BB	1272	GlyConnectStructure
G51287LK	138	GlyConnectComposition
G51287LK	138	GlyConnectComposition
G51318YG	2743	GlyConnectStructure
G51367TM	1458	GlyConnectStructure
G51413EV	195	GlyConnectComposition
G51413EV	195	GlyConnectComposition
G51444LH	2182	GlyConnectStructure
G51496DK	2309	GlyConnectStructure
G51500VV	1949	GlyConnectStructure
G51519NL	2885	GlyConnectStructure
G51557QE	2801	GlyConnectStructure
G51562OR	1	GlyConnectStructure
G51624KI	588	GlyConnectStructure
G51640FO	303	GlyConnectComposition
G51640FO	303	GlyConnectComposition
G51705EB	2329	GlyConnectStructure
G51705EB	5667	GlyConnectStructure
G51793MY	1050	GlyConnectStructure
G51806IG	3222	GlyConnectStructure
G51827GO	707	GlyConnectStructure
G51895WL	249	GlyConnectComposition
G51895WL	249	GlyConnectComposition
G51941GC	3185	GlyConnectStructure
G51955KU	1422	GlyConnectStructure
G51984GX	2347	GlyConnectStructure
G51987NK	6	GlyConnectStructure
G52004GX	710	GlyConnectStructure
G52038JM	1881	GlyConnectStructure
G52038JM	2060	GlyConnectStructure
G52064IJ	2091	GlyConnectStructure
G52070NB	3310	GlyConnectStructure
G52070NB	7338	GlyConnectStructure
G52080WL	1649	GlyConnectStructure
G52096TR	947	GlyConnectComposition
G52096TR	947	GlyConnectComposition
G52104WT	58	GlyConnectStructure
G52114WE	572	GlyConnectComposition
G52114WE	572	GlyConnectComposition
G52126RR	3216	GlyConnectStructure
G52131KU	1079	GlyConnectComposition
G52131KU	1079	GlyConnectComposition
G52139TP	382	GlyConnectStructure
G52144RR	3410	GlyConnectStructure
G52187WF	1734	GlyConnectStructure
G52242HT	828	GlyConnectStructure
G52293LN	2158	GlyConnectStructure
G52336LJ	3067	GlyConnectStructure
G52358QA	348	GlyConnectComposition
G52358QA	348	GlyConnectComposition
G52361CE	3304	GlyConnectStructure
G52428MJ	2465	GlyConnectStructure
G52477OC	2720	GlyConnectStructure
G52524NI	1789	GlyConnectStructure
G52527GH	427	GlyConnectComposition
G52527GH	427	GlyConnectComposition
G52567OL	1747	GlyConnectStructure
G52589SM	689	GlyConnectComposition
G52589SM	689	GlyConnectComposition
G52622SW	1876	GlyConnectStructure
G52676LZ	1693	GlyConnectStructure
G52692IB	3164	GlyConnectStructure
G52692IB	6059	GlyConnectStructure
G52706RS	2870	GlyConnectStructure
G52754KY	2988	GlyConnectStructure
G52770HR	1267	GlyConnectStructure
G52782YT	1152	GlyConnectStructure
G52809WZ	1585	GlyConnectStructure
G52823TN	1590	GlyConnectStructure
G52880ZF	2645	GlyConnectStructure
G52880ZN	1655	GlyConnectStructure
G52880ZN	211	GlyConnectStructure
G52890YB	665	GlyConnectComposition
G52890YB	665	GlyConnectComposition
G52902AR	2074	GlyConnectStructure
G52902IE	518	GlyConnectStructure
G52902IE	7009	GlyConnectStructure
G52919XH	2966	GlyConnectStructure
G52934AK	427	GlyConnectStructure
G52956BX	2730	GlyConnectStructure
G52962ZI	832	GlyConnectStructure
G53031QB	3494	GlyConnectStructure
G53046BR	929	GlyConnectComposition
G53046BR	929	GlyConnectComposition
G53084MW	1140	GlyConnectStructure
G53084MW	6808	GlyConnectStructure
G53098FA	162	GlyConnectStructure
G53168IY	1888	GlyConnectStructure
G53193KA	1071	GlyConnectComposition
G53193KA	1071	GlyConnectComposition
G53206FD	1004	GlyConnectStructure
G53208AY	3176	GlyConnectStructure
G53225BR	3259	GlyConnectStructure
G53227QM	3565	GlyConnectStructure
G53241XQ	3370	GlyConnectStructure
G53241XQ	6434	GlyConnectStructure
G53276NK	2174	GlyConnectStructure
G53280MT	1834	GlyConnectStructure
G53322JT	2931	GlyConnectStructure
G53342VT	3072	GlyConnectStructure
G53402KW	2440	GlyConnectStructure
G53402KW	915	GlyConnectStructure
G53435KM	535	GlyConnectStructure
G53450AF	384	GlyConnectStructure
G53487ZB	3367	GlyConnectStructure
G53492UE	1984	GlyConnectStructure
G53498KG	3591	GlyConnectStructure
G53521RZ	1526	GlyConnectStructure
G53522BA	2815	GlyConnectStructure
G53572QC	1706	GlyConnectStructure
G53572WH	741	GlyConnectComposition
G53661HY	274	GlyConnectComposition
G53661HY	274	GlyConnectComposition
G53667CH	3398	GlyConnectStructure
G53726DG	168	GlyConnectStructure
G53728DU	1986	GlyConnectStructure
G53752TA	2537	GlyConnectStructure
G53756MH	2939	GlyConnectStructure
G53812BX	123	GlyConnectStructure
G53844ZR	1091	GlyConnectComposition
G53844ZR	1091	GlyConnectComposition
G53868KU	1219	GlyConnectStructure
G53933HU	2221	GlyConnectStructure
G53957WR	2605	GlyConnectStructure
G53957WR	620	GlyConnectStructure
G53959KE	933	GlyConnectComposition
G53959KE	933	GlyConnectComposition
G53962WT	345	GlyConnectStructure
G53985AY	3181	GlyConnectStructure
G54018RP	2120	GlyConnectStructure
G54021WX	212	GlyConnectStructure
G54059XR	3374	GlyConnectStructure
G54215YX	3157	GlyConnectStructure
G54285KU	245	GlyConnectComposition
G54285KU	245	GlyConnectComposition
G54330GJ	724	GlyConnectComposition
G54330GJ	724	GlyConnectComposition
G54422SY	2071	GlyConnectStructure
G54499BT	3544	GlyConnectStructure
G54499HR	1990	GlyConnectStructure
G54505OS	683	GlyConnectStructure
G54567CI	66	GlyConnectComposition
G54567CI	66	GlyConnectComposition
G54584SU	553	GlyConnectStructure
G54585VU	2783	GlyConnectStructure
G54611ZT	267	GlyConnectStructure
G54612UD	534	GlyConnectComposition
G54612UD	534	GlyConnectComposition
G54639VI	178	GlyConnectStructure
G54643MT	1827	GlyConnectStructure
G54702KT	3659	GlyConnectStructure
G54706BB	3580	GlyConnectStructure
G54740VA	336	GlyConnectComposition
G54740VA	336	GlyConnectComposition
G54845IR	941	GlyConnectComposition
G54845IR	941	GlyConnectComposition
G54896JZ	1281	GlyConnectStructure
G54956ME	298	GlyConnectStructure
G54982TL	937	GlyConnectComposition
G54982TL	937	GlyConnectComposition
G54986EB	2781	GlyConnectStructure
G55055JS	1660	GlyConnectStructure
G55061AW	247	GlyConnectStructure
G55097ES	3480	GlyConnectStructure
G55126WZ	1923	GlyConnectStructure
G55144QZ	2416	GlyConnectStructure
G55184VW	558	GlyConnectStructure
G55220VL	1443	GlyConnectStructure
G55282VK	3246	GlyConnectStructure
G55321QC	2582	GlyConnectStructure
G55373ZG	4	GlyConnectStructure
G55383ZG	160	GlyConnectComposition
G55383ZG	160	GlyConnectComposition
G55394YE	674	GlyConnectComposition
G55396DW	3288	GlyConnectStructure
G55412XP	936	GlyConnectComposition
G55412XP	936	GlyConnectComposition
G55455WR	444	GlyConnectStructure
G55479DB	767	GlyConnectStructure
G55484MX	2551	GlyConnectStructure
G55507CF	639	GlyConnectStructure
G55521GY	1310	GlyConnectStructure
G55529NV	1440	GlyConnectStructure
G55559HZ	878	GlyConnectStructure
G55648EG	2164	GlyConnectStructure
G55661CO	2892	GlyConnectStructure
G55668HM	2454	GlyConnectStructure
G55668HM	6436	GlyConnectStructure
G55693GF	2442	GlyConnectStructure
G55811AY	1275	GlyConnectStructure
G55925JJ	5833	GlyConnectStructure
G55925JJ	602	GlyConnectStructure
G56014GC	2638	GlyConnectStructure
G56034WQ	806	GlyConnectStructure
G56038AR	3210	GlyConnectStructure
G56087PR	1037	GlyConnectComposition
G56087PR	1037	GlyConnectComposition
G56102PZ	10687	GlyConnectStructure
G56202WQ	629	GlyConnectComposition
G56202WQ	629	GlyConnectComposition
G56236GF	3311	GlyConnectStructure
G56245IE	3551	GlyConnectStructure
G56259BH	3613	GlyConnectStructure
G56269EA	2725	GlyConnectStructure
G56271TF	1844	GlyConnectStructure
G56284ZY	367	GlyConnectComposition
G56284ZY	367	GlyConnectComposition
G56296MY	1837	GlyConnectStructure
G56315MK	891	GlyConnectStructure
G56318NV	2795	GlyConnectStructure
G56329KE	951	GlyConnectStructure
G56344DH	501	GlyConnectComposition
G56345UO	535	GlyConnectComposition
G56345UO	535	GlyConnectComposition
G56364PT	3593	GlyConnectStructure
G56381GN	1560	GlyConnectStructure
G56427WT	1110	GlyConnectStructure
G56438GL	576	GlyConnectComposition
G56438GL	576	GlyConnectComposition
G56491QJ	1639	GlyConnectStructure
G56499YQ	2356	GlyConnectStructure
G56501FP	528	GlyConnectStructure
G56516KW	3427	GlyConnectStructure
G56516VH	2467	GlyConnectStructure
G56549DH	2082	GlyConnectStructure
G56575BH	937	GlyConnectStructure
G56591LC	2774	GlyConnectStructure
G56682BC	3490	GlyConnectStructure
G56732OZ	1689	GlyConnectStructure
G56741TR	3671	GlyConnectStructure
G56748EO	160	GlyConnectStructure
G56749GV	311	GlyConnectStructure
G56749GV	3302	GlyConnectStructure
G56784JY	515	GlyConnectComposition
G56784JY	515	GlyConnectComposition
G56811US	1865	GlyConnectStructure
G56876DF	371	GlyConnectStructure
G56903ZB	2643	GlyConnectStructure
G56913CG	2199	GlyConnectStructure
G56960KY	766	GlyConnectStructure
G57036KN	1350	GlyConnectStructure
G57081YJ	197	GlyConnectStructure
G57097ZE	299	GlyConnectComposition
G57097ZE	299	GlyConnectComposition
G57141NR	1122	GlyConnectStructure
G57144YM	1429	GlyConnectStructure
G57173NZ	143	GlyConnectComposition
G57173NZ	143	GlyConnectComposition
G57196QI	246	GlyConnectComposition
G57196QI	246	GlyConnectComposition
G57197YA	1768	GlyConnectStructure
G57249PT	1894	GlyConnectStructure
G57321FI	2305	GlyConnectStructure
G57410TH	984	GlyConnectStructure
G57413FT	1624	GlyConnectStructure
G57449OF	1795	GlyConnectStructure
G57504TA	2661	GlyConnectStructure
G57539MP	417	GlyConnectStructure
G57557NS	1069	GlyConnectComposition
G57557NS	1069	GlyConnectComposition
G57565TQ	3608	GlyConnectStructure
