GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G08514XR	2219	GlyConnectStructure
G08520NM	3141	GlyConnectStructure
G08551YA	2984	GlyConnectStructure
G08606CV	1670	GlyConnectStructure
G08624KO	3369	GlyConnectStructure
G08653HP	2996	GlyConnectStructure
G08673AT	2634	GlyConnectStructure
G08697NH	1861	GlyConnectStructure
G08709JB	1609	GlyConnectStructure
G08790WV	204	GlyConnectStructure
G08796TW	1078	GlyConnectComposition
G08796TW	1078	GlyConnectComposition
G08907YK	729	GlyConnectStructure
G08916CY	3250	GlyConnectStructure
G08919AM	211	GlyConnectComposition
G08919AM	211	GlyConnectComposition
G08939IS	1373	GlyConnectStructure
G09026AJ	2317	GlyConnectStructure
G09057YJ	2713	GlyConnectStructure
G09087VQ	97	GlyConnectStructure
G09095HL	749	GlyConnectStructure
G09118YK	1816	GlyConnectStructure
G09150LP	3438	GlyConnectStructure
G09176OA	2517	GlyConnectStructure
G09185DX	1495	GlyConnectStructure
G09285QR	31	GlyConnectComposition
G09285QR	31	GlyConnectComposition
G09287HW	1974	GlyConnectStructure
G09416DG	3073	GlyConnectStructure
G09441VY	2954	GlyConnectStructure
G09480OP	3456	GlyConnectStructure
G09482NW	948	GlyConnectStructure
G09517ZR	1499	GlyConnectStructure
G09520ZQ	1353	GlyConnectStructure
G09546QO	1492	GlyConnectStructure
G09576QH	1022	GlyConnectStructure
G09633HU	2663	GlyConnectStructure
G09663DE	1046	GlyConnectStructure
G09684AX	1630	GlyConnectStructure
G09696LD	1897	GlyConnectStructure
G09698FP	3380	GlyConnectStructure
G09709WX	2923	GlyConnectStructure
G09724ZC	313	GlyConnectStructure
G09811YI	471	GlyConnectStructure
G09826WW	1577	GlyConnectStructure
G09921WG	255	GlyConnectStructure
G10008NR	1977	GlyConnectStructure
G10013HB	584	GlyConnectStructure
G10019LZ	995	GlyConnectComposition
G10019LZ	995	GlyConnectComposition
G10073SM	2565	GlyConnectStructure
G10082ZS	170	GlyConnectStructure
G10148VG	422	GlyConnectComposition
G10148VG	422	GlyConnectComposition
G10219AA	2075	GlyConnectStructure
G10225UW	1651	GlyConnectStructure
G10228OD	2929	GlyConnectStructure
G10256JP	538	GlyConnectComposition
G10256JP	538	GlyConnectComposition
G10258MC	3158	GlyConnectStructure
G10326NC	845	GlyConnectComposition
G10326NC	845	GlyConnectComposition
G10374FO	1714	GlyConnectStructure
G10385EY	2196	GlyConnectStructure
G10422IZ	1922	GlyConnectStructure
