GlyTouCanAccession	GlycoShapeAccession
G19790PJ	G19790PJ
G19806ZW	G19806ZW
G19829VK	G19829VK
G19841IT	G19841IT
G19848FD	G19848FD
G19865CT	G19865CT
G19958IL	G19958IL
G19968XU	G19968XU
G19979XJ	G19979XJ
G20030CU	G20030CU
G20044TD	G20044TD
G20059NZ	G20059NZ
G20160SB	G20160SB
G20169US	G20169US
G20190VL	G20190VL
G20253QO	G20253QO
G20268UK	G20268UK
G20269DJ	G20269DJ
G20274PP	G20274PP
G20322UZ	G20322UZ
G20378LH	G20378LH
G20457KL	G20457KL
G20539AG	G20539AG
G20692KB	G20692KB
G20744UW	G20744UW
G20749KW	G20749KW
G20768QM	G20768QM
G20835CN	G20835CN
G21007OV	G21007OV
G21067JW	G21067JW
G21203GT	G21203GT
G21219CJ	G21219CJ
G21264BB	G21264BB
G21290RB	G21290RB
G21311YA	G21311YA
G21406HC	G21406HC
G21412CQ	G21412CQ
G21469TE	G21469TE
G21489VK	G21489VK
G21518JT	G21518JT
G21564HN	G21564HN
G21572FM	G21572FM
G21845NG	G21845NG
G21847RB	G21847RB
G21856LC	G21856LC
G21859TY	G21859TY
G21920UI	G21920UI
G21971UP	G21971UP
G21986FE	G21986FE
G22011DS	G22011DS
G22185MF	G22185MF
G22252FR	G22252FR
G22260HK	G22260HK
G22262VS	G22262VS
G22306HH	G22306HH
G22351RY	G22351RY
G22478ZB	G22478ZB
G22529YL	G22529YL
G22533OA	G22533OA
G22566WO	G22566WO
G22603VZ	G22603VZ
G22678XU	G22678XU
G22701RO	G22701RO
G22732DH	G22732DH
G22732RT	G22732RT
G22768VO	G22768VO
G22871NC	G22871NC
G22880KN	G22880KN
G22893MK	G22893MK
G22917YC	G22917YC
G23021IW	G23021IW
G23023HU	G23023HU
G23026QZ	G23026QZ
G23068ZB	G23068ZB
G23094JF	G23094JF
G23119MJ	G23119MJ
G23347CS	G23347CS
G23422DM	G23422DM
G23436FC	G23436FC
G23447MZ	G23447MZ
G23491CM	G23491CM
G23546HG	G23546HG
G23681XP	G23681XP
G23706QF	G23706QF
G23707SD	G23707SD
G23773CP	G23773CP
G23796IQ	G23796IQ
G23799GS	G23799GS
G23819TW	G23819TW
G23849BG	G23849BG
G23980PE	G23980PE
G24090VR	G24090VR
G24100LD	G24100LD
G24124EW	G24124EW
G24142JB	G24142JB
G24260RG	G24260RG
G24267OV	G24267OV
G24366RG	G24366RG
G24432YB	G24432YB
G24620AI	G24620AI
G24646NC	G24646NC
G24694RX	G24694RX
G24720OO	G24720OO
G24755EK	G24755EK
G24760XQ	G24760XQ
G24953KB	G24953KB
G24957GS	G24957GS
G24970UY	G24970UY
G24990UB	G24990UB
G24994OK	G24994OK
G25000OT	G25000OT
G25069TE	G25069TE
G25095CM	G25095CM
G25127JU	G25127JU
G25216QA	G25216QA
G25322NY	G25322NY
G25355GN	G25355GN
G25361DH	G25361DH
G25369MO	G25369MO
G25407RZ	G25407RZ
G25416CE	G25416CE
G25499LZ	G25499LZ
G25505UF	G25505UF
G25559RS	G25559RS
G25682YL	G25682YL
G25699LZ	G25699LZ
G25761WW	G25761WW
G25821ZR	G25821ZR
G25865NX	G25865NX
G25940DW	G25940DW
G26123AX	G26123AX
G26133AM	G26133AM
G26136SJ	G26136SJ
G26166QH	G26166QH
G26192RP	G26192RP
G26203DP	G26203DP
G26221DG	G26221DG
G26237YH	G26237YH
G26238GL	G26238GL
G26274XD	G26274XD
G26275JI	G26275JI
G26295XE	G26295XE
G26366JF	G26366JF
G26405FM	G26405FM
G26529EC	G26529EC
G26596ON	G26596ON
G26629OM	G26629OM
G26629TM	G26629TM
G27001IV	G27001IV
G27011YI	G27011YI
G27014FJ	G27014FJ
G27169KC	G27169KC
G27170BX	G27170BX
G27243GN	G27243GN
G27476OM	G27476OM
G27734JF	G27734JF
G27776PG	G27776PG
G27783HI	G27783HI
G27802LV	G27802LV
G27818GJ	G27818GJ
G27893KR	G27893KR
G27901SD	G27901SD
G27919IH	G27919IH
G28052FT	G28052FT
G28148HG	G28148HG
G28185IZ	G28185IZ
G28248MC	G28248MC
G28291VA	G28291VA
G28298VW	G28298VW
G28441WA	G28441WA
G28478RU	G28478RU
G28553JC	G28553JC
G28600QE	G28600QE
G28663KH	G28663KH
G28691NY	G28691NY
G28694FA	G28694FA
G28814ND	G28814ND
G28868ZC	G28868ZC
G28885XK	G28885XK
G28954HQ	G28954HQ
G29011KL	G29011KL
G29068IK	G29068IK
G29140EJ	G29140EJ
G29159BL	G29159BL
G29183GB	G29183GB
G29276DW	G29276DW
G29316WB	G29316WB
G29339IQ	G29339IQ
G29427FS	G29427FS
G29440SE	G29440SE
G29487JS	G29487JS
G29527VW	G29527VW
G29546CR	G29546CR
G29548YX	G29548YX
G29681BP	G29681BP
G29703NT	G29703NT
G29741BF	G29741BF
G29879FQ	G29879FQ
G29966LR	G29966LR
G30056KC	G30056KC
G30110UW	G30110UW
G30207PZ	G30207PZ
G30208IA	G30208IA
G30212HV	G30212HV
G30284MN	G30284MN
G30309QX	G30309QX
G30331AP	G30331AP
G30370YC	G30370YC
G30404IO	G30404IO
G30431XW	G30431XW
G30460NZ	G30460NZ
G30502VG	G30502VG
G30648VY	G30648VY
G30737ZF	G30737ZF
G30781KG	G30781KG
G31087MR	G31087MR
G31119YY	G31119YY
G31377ER	G31377ER
G31385PY	G31385PY
G31429YW	G31429YW
G31612WK	G31612WK
G31734OS	G31734OS
G31824MM	G31824MM
G31976RQ	G31976RQ
G31984FM	G31984FM
G32081WS	G32081WS
G32114AT	G32114AT
G32152BH	G32152BH
G32156ZV	G32156ZV
G32167RW	G32167RW
G32254QI	G32254QI
G32387AH	G32387AH
G32580WO	G32580WO
G32601MJ	G32601MJ
G32617ZX	G32617ZX
G32722PR	G32722PR
G32723SL	G32723SL
G32776KY	G32776KY
G32801HX	G32801HX
G32910OR	G32910OR
G32930BG	G32930BG
G32952DG	G32952DG
G32967PZ	G32967PZ
G33129LQ	G33129LQ
G33159AG	G33159AG
G33184LI	G33184LI
G33227IS	G33227IS
G33278DK	G33278DK
G33334QS	G33334QS
G33347FM	G33347FM
G33368QU	G33368QU
G33391ZV	G33391ZV
G33476GF	G33476GF
G33501SL	G33501SL
G33506JS	G33506JS
G33528AU	G33528AU
G33589SN	G33589SN
G33662YL	G33662YL
G33772BZ	G33772BZ
G33817VA	G33817VA
G34129PR	G34129PR
G34234AZ	G34234AZ
G34318OB	G34318OB
G34343FT	G34343FT
G34356AA	G34356AA
G34376NH	G34376NH
G34491AS	G34491AS
G34499SX	G34499SX
G34592BE	G34592BE
G34650EM	G34650EM
G34742RW	G34742RW
G34764BK	G34764BK
G34816WQ	G34816WQ
G34944JL	G34944JL
G34962RK	G34962RK
G35061DQ	G35061DQ
G35184TV	G35184TV
G35234CM	G35234CM
G35257SQ	G35257SQ
G35324PX	G35324PX
G35369ST	G35369ST
G35408LA	G35408LA
G35446HX	G35446HX
G35569VL	G35569VL
G35594BH	G35594BH
G35778AN	G35778AN
G35839XA	G35839XA
G35879BG	G35879BG
G35986YT	G35986YT
G35988TF	G35988TF
G36123IU	G36123IU
G36191CD	G36191CD
G36191EH	G36191EH
G36264SN	G36264SN
G36377WQ	G36377WQ
G36399IB	G36399IB
G36414FS	G36414FS
G36443XA	G36443XA
G36476BA	G36476BA
G36519NW	G36519NW
G36603AX	G36603AX
G36672CQ	G36672CQ
G36691KB	G36691KB
G36712XC	G36712XC
G36855WW	G36855WW
G36909XX	G36909XX
G37126IL	G37126IL
G37135JQ	G37135JQ
G37239FO	G37239FO
G37305PC	G37305PC
G37369YO	G37369YO
G37383BH	G37383BH
G37385IT	G37385IT
G37463LT	G37463LT
G37636YK	G37636YK
G37703SF	G37703SF
G37774ZQ	G37774ZQ
G37805DA	G37805DA
G37830TX	G37830TX
G37862DQ	G37862DQ
G37957OL	G37957OL
G37997SE	G37997SE
G38100FX	G38100FX
G38141KL	G38141KL
G38187KY	G38187KY
G38229RW	G38229RW
G38310GJ	G38310GJ
G38507HK	G38507HK
