GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G79761XY	Human	Subsumption	GNOme	G82730QA	
G79761XY	Human	Subsumption	GNOme	G89877QI	
G79761XY	Human	Subsumption	GNOme	G91388QD	
G79761XY	Human	Subsumption	GNOme	G92821YI	
G79761XY	Human	Subsumption	GNOme	G93638BI	
G79761XY	Human	Subsumption	GNOme	G93922AL	
G79761XY	Human	Subsumption	GNOme	G95186HE	
G79761XY	Human	Subsumption	GNOme	G95333ZG	
G79761XY	Human	Subsumption	GNOme	G95924JX	
G79761XY	Human	Subsumption	GNOme	G98366ZJ	
G79761XY	Human	Subsumption	GNOme	G98790NR	
G79761XY	Mouse	Subsumption	GNOme	G23616ZX	
G79761XY	Mouse	Subsumption	GNOme	G28330DZ	
G79761XY	Mouse	Subsumption	GNOme	G89877QI	
G79761XY	Mouse	Subsumption	GNOme	G93638BI	
G79761XY	Rat	Subsumption	GNOme	G37070WM	
G79761XY	Rat	Subsumption	GNOme	G78030KJ	
G79761XY	Rat	Subsumption	GNOme	G93922AL	
G79761XY	Rat	Subsumption	GNOme	G95186HE	
G79762CW	Human	Subsumption	GNOme	G46935AJ	
G79770RZ	Human	Subsumption	GNOme	G72070EH	
G79771YZ	Human	Subsumption	GNOme	G00492CQ	
G79771YZ	Human	Subsumption	GNOme	G11994QC	
G79776GW	Human	Direct	GlyTouCan	G79776GW	9606
G79781PS	Human	Direct	GlyTouCan	G79781PS	9606
G79794JD	Human	Subsumption	GNOme	G83833IM	
G79794WE	Mouse	Subsumption	GNOme	G65466VT	
G79804LR	Human	Subsumption	GNOme	G72166HB	
G79804LR	Human	Subsumption	GNOme	G83945CT	
G79804LR	Rat	Subsumption	GNOme	G72166HB	
G79804LR	Rat	Subsumption	GNOme	G83945CT	
G79807LP	Human	Subsumption	GNOme	G03652TR	
G79807LP	Human	Subsumption	GNOme	G05241IE	
G79807LP	Human	Subsumption	GNOme	G07617FP	
G79807LP	Human	Subsumption	GNOme	G08304AG	
G79807LP	Human	Subsumption	GNOme	G11837XH	
G79807LP	Human	Subsumption	GNOme	G32104JU	
G79807LP	Human	Subsumption	GNOme	G44276EF	
G79807LP	Human	Subsumption	GNOme	G45841FE	
G79807LP	Human	Subsumption	GNOme	G51623PN	
G79807LP	Human	Subsumption	GNOme	G54059XR	
G79807LP	Human	Subsumption	GNOme	G55220VL	
