label	nonspec	spec	total	percent	fisherscore	
H3N6F	Y[pH3N4]	2	0	2	100.0	-12.81	
H6N7	Y[pN]	2	0	2	100.0	-12.81	
H3N5F	Y[pH3N3]	2	0	2	100.0	-12.81	
H4N5F2	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pN]	2	0	2	100.0	-12.81	
H5N4F3	Y[pNF]	2	0	2	100.0	-12.81	
H4N4F2	Y[pH4N3F]	2	0	2	100.0	-12.81	
H9N9F	Y[pN]	2	0	2	100.0	-12.81	
H9N9F	Y[pH4N4]	2	0	2	100.0	-12.81	
H4N5	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pH3N2]	2	0	2	100.0	-12.81	
H4N5FS	Y[pH2N2]	2	0	2	100.0	-12.81	
H3N5F	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pH2N2]	2	0	2	100.0	-12.81	
H4N5FS	Y[pH3N2F]	2	0	2	100.0	-12.81	
H6N4	Y[pHN2]	2	0	2	100.0	-12.81	
H5N4F3S	Y[pH4N4]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pH4N4]	2	0	2	100.0	-12.81	
H5N4F3	Y[pH5N4]	2	0	2	100.0	-12.81	
H5N5F2	Y[pN]	2	0	2	100.0	-12.81	
H9N9F	Y[pH5N4]	2	0	2	100.0	-12.81	
H5N4F2	Y[pH4N3F]	2	0	2	100.0	-12.81	
H4N4F2	Y[pH2N3F2]	2	0	2	100.0	-12.81	
H6N4	Y[pH3N3]	2	0	2	100.0	-12.81	
H6N7	Y[pH4N4]	2	0	2	100.0	-12.81	
H6N5F2S	Y[pH4N3]	2	0	2	100.0	-12.81	
H5N6F	Y[pNF]	2	0	2	100.0	-12.81	
H3N3F	Y[pH2N2]	2	0	2	100.0	-12.81	
H5N4F2S	Y[pH4N4F]	2	0	2	100.0	-12.81	
H4N5F	Y[pH2N2F]	2	0	2	100.0	-12.81	
H5N4F3S	Y[pH5N4S]	2	0	2	100.0	-12.81	
H3N4F2	Y[pH2N3F]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pH3N3]	2	0	2	100.0	-12.81	
H5N3F	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N5FS2	Y[pH6N5]	4	3	7	57.14	-12.79	
H8N7S	Y[pN2]	4	3	7	57.14	-12.79	
H5N3	Y[pHN2]	4	3	7	57.14	-12.79	
H5N5S2	Y[pN]	4	3	7	57.14	-12.79	
H5N5	Y[pH2N3]	5	5	10	50.0	-12.54	
H6N3	Y[pH2N2]	5	5	10	50.0	-12.54	
H4N4F	Y[pH3N2]	5	5	10	50.0	-12.54	
H6N5S	Y[pN]	10	17	27	37.04	-11.62	
H6N2	Y[pN]	7	10	17	41.18	-11.45	
H6N3S	Y[pH3N2]	7	10	17	41.18	-11.45	
H4N4F	Y[pH2N3F]	7	10	17	41.18	-11.45	
H4N5F	Y[pH3N4F]	6	8	14	42.86	-11.09	
H5N4FS2	Y[p]	6	8	14	42.86	-11.09	
H5N4F4	Y[pH3N3]	6	8	14	42.86	-11.09	
H5N4F3	Y[pH5N4F]	3	2	5	60.0	-10.84	
H4N5F	Y[pH3N4]	3	2	5	60.0	-10.84	
H3N4	Y[pH2N2]	3	2	5	60.0	-10.84	
H4N3F	Y[pH4N2]	3	2	5	60.0	-10.84	
H5N4F4	Y[pHN2]	3	2	5	60.0	-10.84	
H3N4	Y[pN2]	3	2	5	60.0	-10.84	
H3N5F	Y[pN2F]	3	2	5	60.0	-10.84	
H5N4F4	Y[pH3N2]	5	6	11	45.45	-10.79	
H4N4F	Y[pHN2]	5	6	11	45.45	-10.79	
H4N4F	Y[pNF]	8	13	21	38.1	-10.69	
H6N5FS2	Y[pH2N2]	8	13	21	38.1	-10.69	
H5N3	Y[pH4N2]	4	4	8	50.0	-10.63	
H4N5	Y[pN2]	4	4	8	50.0	-10.63	
H4N4	Y[pH3N2]	4	4	8	50.0	-10.63	
H5N4F4	Y[pH5N4]	4	4	8	50.0	-10.63	
H5N4F3S	Y[pH2N2F]	4	4	8	50.0	-10.63	
