acc	id	glytoucan	sequence	name
EP0320	150	G29406SZ	GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-)-R	GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1)
EP0321	151	G60859DF	GalNAc(b1-4)Gal-R	GalNAc(b1-4)Gal
EP0322	152	G45827GY	Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-R	Lacto-N-Tetraose
EP0323	153	G21066IE	Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-R	2-3 Sialyl-Lacto-N-Tetraose
EP0324	154	G78436BB	Gal(b1-3)GalNAc-R	Gal(b1-3)GalNAc
EP0325	155	G56299XO	Neu5Ac(a2-3)Gal(b1-3)GalNAc-R	Neu5Ac(a2-3)Gal(b1-3)GalNAc
EP0326	156	G93910CU	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc-R	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc
EP0350	157	G48059CD	Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-R	Lacto-N-Neotetraose
EP0351	158	G44345UH	Neu5Ac(a2-6)Gal-R	Neu5Ac(a2-6)Gal
EP0352	159	G08371CD	Neu5Ac(a2-6)GalNAc-R	Neu5Ac(a2-6)GalNAc
EP0353	160	G03509EL	Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-)-R	2-6 Sialyl-LacNAc-Gal
EP0370	161	G02880JU	GlcNAc(b1-3)Gal-R	GlcNAc(b1-3)Gal
EP0371	162	G48117BL	GlcNAc(b1-3)Gal(b1-4)GlcNAc-R	GlcNAc(b1-3)Gal(b1-4)GlcNAc
EP0500	163	G25318VQ		Homogalacturonan
EP0501	164	G00367NK		Xylogalacturonan
EP0503	165	G98272RS		Arabinogalactan Type I
EP0504	166	G12828SG		Arabinogalactan Type ll
EP0506	167	G77076MY	-[Gal(b1-4)]n-	beta 1-4 Galactan
EP0507	168	G69386QK	-[Gal(b1-6)]n-	1-6 beta Galactan
EP0508	169	G22535ZZ		Arabinan
EP0509	170	G88924MD		Glucomannan
EP0510	171	G93424OB		Galactomannan
EP0511	172	G25326UC		Xyloglucan
EP0512	173	G46558JB		1-3,1-4 beta Glucan
EP0513	174	G94091AV		Glucronoxylan
EP0514	175	G54315VV		Glucronoarabinoxylan
