GlyTouCan	MonosaccharideDB_ID
G02302MM	3
G02302MM	5
G02302MM	6
G02302MM	15
G02310VX	1
G02310VX	3
G02310VX	5
G02310VX	7
G02310VX	12
G02311IE	1
G02311IE	2
G02311IE	3
G02311IE	5
G02311IE	6
G02311IE	7
G02322JK	Some monosaccharide(s) has no ID in monosaccharide DB
G02322JK	1
G02322JK	2
G02322JK	3
G02322JK	5
G02322JK	7
G02353KU	1
G02353KU	2
G02353KU	6
G02353KU	7
G02353KU	18
G02379AH	1
G02379AH	2
G02379AH	7
G02379AH	18
G02386TE	Some monosaccharide(s) has no ID in monosaccharide DB
G02386TE	2
G02386TE	14
G02402FF	Some monosaccharide(s) has no ID in monosaccharide DB
G02402FF	1
G02402FF	3
G02402FF	5
G02410EE	Some monosaccharide(s) has no ID in monosaccharide DB
G02410EE	1
G02410EE	2
G02410EE	3
G02410EE	5
G02410EE	6
G02441OB	1
G02441OB	2
G02441OB	3
G02441OB	5
G02441OB	7
G02441OB	15
G02456AL	Some monosaccharide(s) has no ID in monosaccharide DB
G02456AL	1
G02456AL	2
G02456AL	3
G02456AL	5
G02456AL	6
G02456AL	7
G02470WS	Some monosaccharide(s) has no ID in monosaccharide DB
G02470WS	1
G02470WS	2
G02470WS	3
G02470WS	5
G02470WS	6
G02470WS	7
G02471GW	1
G02471GW	2
G02471GW	3
G02471GW	5
G02471GW	7
G02471GW	10
G02473HY	Some monosaccharide(s) has no ID in monosaccharide DB
G02473HY	1
G02473HY	3
G02473HY	5
G02473HY	6
G02473HY	7
G02473HY	12
G02483WT	Some monosaccharide(s) has no ID in monosaccharide DB
G02483WT	1
G02483WT	2
G02483WT	3
G02483WT	5
G02483WT	6
G02483WT	7
G02561FC	Some monosaccharide(s) has no ID in monosaccharide DB
G02561FC	1
G02561FC	3
G02561FC	5
G02562EQ	Some monosaccharide(s) has no ID in monosaccharide DB
G02562EQ	1
G02562EQ	2
G02562EQ	6
G02582JY	1
G02582JY	2
G02582JY	3
G02582JY	5
G02582JY	6
G02594WS	Some monosaccharide(s) has no ID in monosaccharide DB
G02594WS	1
G02594WS	2
G02594WS	6
G02600QJ	Some monosaccharide(s) has no ID in monosaccharide DB
G02600QJ	1
G02600QJ	2
G02600QJ	7
G02600QJ	212
G02625SJ	Some monosaccharide(s) has no ID in monosaccharide DB
G02646YL	1
G02646YL	2
G02646YL	3
G02646YL	5
G02646YL	6
G02646YL	7
G02646YL	15
G02654EL	Some monosaccharide(s) has no ID in monosaccharide DB
G02654EL	1
G02654EL	2
G02654EL	3
G02654EL	5
G02654EL	7
G02657AK	2
G02657AK	4
G02657AK	6
G02657AK	12
G02657BS	1
G02657BS	7
G02657BS	251
G02661MY	Some monosaccharide(s) has no ID in monosaccharide DB
G02661MY	1
G02661MY	2
G02661MY	3
G02661MY	5
G02679YX	1
G02679YX	2
G02679YX	3
G02679YX	5
G02679YX	7
G02718AK	1
G02718AK	2
G02718AK	3
G02718AK	5
G02718AK	6
G02718AK	7
G02718AK	15
G02760XH	Some monosaccharide(s) has no ID in monosaccharide DB
G02760XH	1
G02760XH	2
G02760XH	3
G02760XH	5
G02760XH	6
G02763QD	1
G02763QD	3
G02763QD	5
G02776UX	Some monosaccharide(s) has no ID in monosaccharide DB
G02776UX	1
G02776UX	2
G02776UX	7
G02786XX	Some monosaccharide(s) has no ID in monosaccharide DB
G02786XX	1
G02786XX	2
G02786XX	3
G02786XX	5
G02786XX	6
G02786XX	7
G02799CL	Some monosaccharide(s) has no ID in monosaccharide DB
G02799CL	1
G02799CL	2
G02799CL	7
G02837JA	Some monosaccharide(s) has no ID in monosaccharide DB
G02837JA	1
G02837JA	2
G02837JA	3
G02837JA	5
G02837JA	6
G02915XR	Some monosaccharide(s) has no ID in monosaccharide DB
G02915XR	1
G02915XR	3
G02915XR	5
G02915XR	6
G02915XR	7
G02915XR	12
G02934UB	1
G02934UB	2
G02934UB	3
G02934UB	5
G02934UB	6
G02945KQ	Some monosaccharide(s) has no ID in monosaccharide DB
G02945KQ	1
G02945KQ	3
G02945KQ	5
G03003KR	1
G03003KR	2
G03003KR	7
G03003KR	18
G03004PD	Some monosaccharide(s) has no ID in monosaccharide DB
G03004PD	1
G03004PD	2
G03004PD	3
G03004PD	5
G03004PD	6
G03016BW	1
G03016BW	2
G03016BW	6
G03016BW	7
G03016BW	18
G03021WA	1
