b-dgal-HEX-1:5|6:d||(2d:1)n-acetyl|(4d:1)amino	168
a-dglc-HEX-1:5||(2o:1)methyl|(6o:1)methyl	169
a-dglc-HEX-1:5||(4o:1)methyl	170
b-lglc-HEX-1:5|6:d||(3d:1)n-acetyl	171
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d||(5d:1)n-glycolyl|(8o:1)methyl	172
b-dxyl-PEN-1:4	173
o-dgal-HEX-0:0|1:aldi|6:d||(2d:1)n-acetyl	174
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d||(5d:1)amino|(9o:1)acetyl	175
a-dglc-HEX-1:5||(2o:1)acetyl|(3o:1)acetyl|(6o:1)acetyl	176
b-dgal-HEX-1:5||(6o:1)acetyl	177
b-dall-HEX-1:5||(2d:1)n-acetyl	178
b-dgal-HEX-1:5||(6d:1)amino	179
b-dglc-HEX-1:5||(2d:1)n-acetyl|(3o:1)acetyl|(6o:1)acetyl	180
a-dglc-HEX-1:5||(4d:1)amino|(6d:1)amino	181
b-dglc-HEX-1:5|6:d||(4d:1)amino	182
b-dara-HEX-1:5|2:d|6:d||(4o:1)methyl	183
a-dglc-HEX-1:5||(2d:1)fluoro	184
a-dxyl-HEX-1:5|4:d	185
b-dxyl-HEX-1:5|4:d|6:a	186
a-dglc-HEX-1:5||(4d:1)amino	187
o-dglc-HEX-0:0|1:a|6:a	188
a-dxyl-HEX-1:5|4:d|6:d	189
a-dglc-HEX-1:5||(5d:1)thio	190
a-dglc-HEX-1:5||(2d:1)n-sulfate	191
b-dglc-HEX-1:5||(4d:1)thio	192
b-dgal-HEX-1:5|6:a||(2o:1)methyl|(3o:1)methyl	193
o-dglc-HEX-0:0	194
a-dglc-HEX-1:5||(2o:1)sulfate|(3o:1)sulfate|(4o:1)sulfate|(6o:1)sulfate	195
a-dglc-HEX-1:5||(2o:1)methyl|(3o:1)methyl|(6o:1)sulfate	196
a-dgal-HEX-1:5||(2o:1)sulfate|(3o:1)sulfate|(6o:1)sulfate	197
b-dglc-HEX-1:5||(2o:1)methyl|(3o:1)methyl|(6o:1)methyl	198
b-dara-HEX-1:5|1:keto|2:keto	199
o-lglc-HEX-0:0|1:a|6:a	200
b-lido-HEX-1:5||(2d:1)amino|(6d:1)amino	201
a-lglc-HEX-1:5||(2d:1)n-acetyl	202
b-dglc-HEX-1:5||(2d:1)n-trifluoroacetyl	203
a-dglc-HEX-1:5||(2o:1)sulfate|(3o:1)sulfate	204
o-dglc-HEX-0:0|1:aldi	205
a-drib-HEX-1:5|3:d||(2d:1)amino|(6d:1)amino	206
a-dlyx-HEX-1:5|2:d|6:d||(4o:1)methyl	207
a-dlyx-HEX-1:5|2:d	208
b-dgal-HEX-1:5||(2d:1)fluoro	209
a-dlyx-HEX-1:5|2:d|6:d||(4o:1)acetyl	210
a-dgal-HEX-1:5||(2o:1)methyl	211
a-dgal-HEX-1:5|6:d	212
b-lgal-HEX-1:5|6:d||(2d:1)fluoro	213
b-dgal-HEX-1:5||(4o:1)sulfate	214
b-dgal-HEX-1:5||(6o:1)sulfate	215
a-dery-HEX-1:5|3:d|4:d||(2d:1)amino|(6d:1)amino	216
b-dgal-HEX-1:5|6:a||(2o:1)sulfate|(3o:1)sulfate|(6o:1)sulfate	217
o-lgal-HEX-0:0|1:a|6:d	218
b-lgal-HEX-1:5|6:d||(2o:1)methyl	219
b-dgal-HEX-1:5||(2d:1)n-acetyl|(6o:1)sulfate	220
a-dgal-HEX-1:5||(2d:1)n-acetyl|(4o:1)sulfate	221
b-dgal-HEX-1:5||(3o:1)sulfate	222
a-dxyl-PEN-1:5||(2d:1)fluoro	223
o-dxyl-PEN-0:0	224
a-dxyl-PEN-1:5	225
a-dman-OCT-2:6|1:a|2:keto|3:d	226
a-dman-HEX-1:5||(2d:1)fluoro	227
a-dman-HEX-1:5|6:a	228
b-dman-HEX-1:5||(2d:1)fluoro	229
o-lman-HEX-0:0|6:d	230
b-drib-HEX-1:5|2:d|6:d||(4d:1)thio	232
