GlyTouCanAccession	CarbbankAccession
G00028MO	5949
G00028MO	5950
G00028MO	5951
G00028MO	5955
G00028MO	5956
G00028MO	5958
G00028MO	5959
G00028MO	5960
G00028MO	5961
G00028MO	5963
G00028MO	5965
G00028MO	5966
G00028MO	5970
G00028MO	5971
G00028MO	5972
G00028MO	5973
G00028MO	5975
G00028MO	5977
G00028MO	5978
G00028MO	5980
G00028MO	5982
G00028MO	5988
G00028MO	5989
G00028MO	5993
G00028MO	5994
G00028MO	5996
G00028MO	5997
G00028MO	5998
G00028MO	5999
G00028MO	6541
G00028MO	6569
G00028MO	6679
G00028MO	878
G00031MO	100
G00031MO	14321
G00031MO	20223
G00031MO	20981
G00031MO	2225
G00031MO	2226
G00031MO	2227
G00031MO	2228
G00031MO	2229
G00031MO	2230
G00031MO	2231
G00031MO	2232
G00031MO	2234
G00031MO	2235
G00031MO	2236
G00031MO	2237
G00031MO	2238
G00031MO	2239
G00031MO	2240
G00031MO	2241
G00031MO	2242
G00031MO	2243
G00031MO	25363
G00031MO	25729
G00031MO	25730
G00031MO	28182
G00031MO	29012
G00031MO	29046
G00031MO	29175
G00031MO	29393
G00031MO	29521
G00031MO	29709
G00031MO	30501
G00031MO	30734
G00031MO	30735
G00031MO	30848
G00031MO	30849
G00031MO	30850
G00031MO	30917
G00031MO	3235
G00031MO	3236
G00031MO	3239
G00031MO	3240
G00031MO	3245
G00031MO	3255
G00031MO	32646
G00031MO	33002
G00031MO	33022
G00031MO	33211
G00031MO	33469
G00031MO	33576
G00031MO	33832
G00031MO	33848
G00031MO	33851
G00031MO	33878
G00031MO	33952
G00031MO	3406
G00031MO	34693
G00031MO	34766
G00031MO	34823
G00031MO	34829
G00031MO	34830
G00031MO	34986
G00031MO	34995
G00031MO	35029
G00031MO	35050
G00031MO	35069
G00031MO	35107
G00031MO	35108
G00031MO	35805
G00031MO	35833
G00031MO	35991
G00031MO	36264
G00031MO	36818
G00031MO	36826
G00031MO	36863
G00031MO	37676
G00031MO	37768
G00031MO	37770
G00031MO	3795
G00031MO	3803
G00031MO	38102
G00031MO	38263
G00031MO	3842
G00031MO	3846
G00031MO	38587
G00031MO	38640
G00031MO	38672
G00031MO	38687
G00031MO	3903
G00031MO	40630
G00031MO	40825
G00031MO	40957
G00031MO	41263
G00031MO	41866
G00031MO	42208
G00031MO	42209
G00031MO	42740
G00031MO	42797
G00031MO	42875
G00031MO	43908
G00031MO	43915
G00031MO	43921
G00031MO	43923
G00031MO	43951
G00031MO	44029
G00031MO	44376
G00031MO	44505
G00031MO	44775
G00031MO	45972
G00031MO	45973
G00031MO	45974
G00031MO	45975
G00031MO	45976
G00031MO	45977
G00031MO	45978
G00031MO	45979
G00031MO	45980
G00031MO	45981
G00031MO	46056
G00031MO	46438
G00031MO	46466
G00031MO	46562
G00031MO	4685
G00031MO	47015
G00031MO	47100
G00031MO	47186
G00031MO	47327
G00031MO	47600
G00031MO	47770
G00031MO	48244
G00031MO	48247
G00031MO	48891
G00031MO	49121
G00031MO	49283
G00031MO	49507
G00031MO	5035
G00031MO	5038
G00031MO	50477
G00031MO	50865
G00031MO	5203
G00031MO	5232
G00031MO	5434
G00031MO	5887
G00031MO	98
G00031MO	99
G00032MO	13768
G00032MO	13992
G00032MO	15263
G00032MO	16600
G00032MO	2325
G00032MO	2326
G00032MO	25451
G00032MO	29070
G00032MO	29117
G00032MO	30733
G00032MO	3193
G00032MO	33148
G00032MO	33170
G00032MO	33707
G00032MO	33934
G00032MO	34165
G00032MO	34723
G00032MO	34800
G00032MO	35016
G00032MO	35028
G00032MO	36592
G00032MO	37364
G00032MO	37489
G00032MO	37819
G00032MO	37950
G00032MO	38124
G00032MO	40295
G00032MO	41694
G00032MO	41808
G00032MO	42979
G00032MO	43172
G00032MO	43284
G00032MO	43437
G00032MO	44364
G00032MO	44768
G00032MO	44776
G00032MO	45879
G00032MO	46002
G00032MO	46790
G00032MO	47099
G00032MO	48143
G00032MO	48393
G00032MO	49114
G00032MO	49402
G00032MO	49520
G00032MO	49602
G00032MO	50452
G00032MO	5474
G00032MO	58
G00032MO	7222
G00032MO	7483
G00033MO	13751
G00033MO	16601
G00033MO	23753
G00033MO	2452
G00033MO	2453
G00033MO	30426
G00033MO	30851
G00033MO	33633
G00033MO	34767
G00033MO	3486
G00033MO	3487
G00033MO	35109
G00033MO	35110
G00033MO	36265
G00033MO	38265
G00033MO	38269
G00033MO	38650
G00033MO	42743
G00033MO	46429
G00033MO	47878
G00034MO	14460
G00034MO	21911
G00034MO	22811
G00034MO	29071
G00034MO	29118
G00034MO	31739
G00034MO	37818
G00034MO	49603
G00034MO	5653
G00034MO	9374
G00034WH	18466
G00035MO	30844
G00035MO	3347
G00035MO	33470
G00035MO	38651
G00035MO	42738
G00035MO	43960
G00035MO	47102
G00036MO	29072
G00036MO	49604
G00037MO	30845
G00037MO	30863
G00037MO	33471
G00037MO	33472
G00037MO	33575
G00037MO	3464
G00037MO	38266
G00037MO	38652
G00037MO	42744
G00037MO	46430
G00037MO	47154
G00038JC	10567
G00038JC	10695
G00038JC	13371
G00038JC	13641
G00038JC	15287
G00038JC	19391
G00038JC	23151
G00038JC	30001
G00038JC	44285
G00038JC	4928
G00038JC	640
G00038JC	641
G00038MO	29073
G00038MO	49605
G00039MO	43965
G00040MO	2224
G00040MO	29074
G00040MO	39860
G00040MO	49433
G00040MO	49606
G00041MO	24323
G00041MO	30846
G00041MO	33121
G00041MO	3346
G00041MO	36262
G00042MO	29075
G00042MO	37817
G00042MO	49607
G00043MO	43967
G00044MO	29076
G00044MO	49608
G00046MO	31628
G00046MO	43990
G00046MO	44259
G00046MO	44267
G00046MO	47050
G00046MO	50768
G00047MO	35732
G00048MO	10750
G00048MO	11676
G00048MO	14314
G00048MO	14327
G00048MO	14797
G00048MO	14806
G00048MO	14879
G00048MO	15227
G00048MO	15506
G00048MO	16399
G00048MO	17270
G00048MO	19154
G00048MO	19267
G00048MO	20260
G00048MO	23720
G00048MO	2591
G00048MO	2592
G00048MO	28540
G00048MO	28558
G00048MO	28576
G00048MO	28582
G00048MO	28593
G00048MO	30018
G00048MO	32873
G00048MO	33527
G00048MO	33967
G00048MO	34482
G00048MO	34674
G00048MO	34708
G00048MO	34788
G00048MO	34798
G00048MO	34846
G00048MO	34943
G00048MO	34978
G00048MO	34982
G00048MO	35040
G00048MO	36257
G00048MO	3680
G00048MO	36813
G00048MO	36882
G00048MO	36920
G00048MO	36940
G00048MO	37264
G00048MO	37379
G00048MO	38015
G00048MO	42685
G00048MO	42871
G00048MO	42932
G00048MO	43457
G00048MO	43743
G00048MO	44219
G00048MO	44373
G00048MO	44523
G00048MO	44893
G00048MO	45125
G00048MO	45859
G00048MO	45894
G00048MO	45899
G00048MO	4592
G00048MO	46189
G00048MO	46493
G00048MO	46559
G00048MO	47071
G00048MO	47858
G00048MO	48383
G00048MO	49348
G00048MO	49518
G00048MO	49664
G00048MO	50531
G00048MO	50532
G00048MO	609
G00048MO	632
G00048MO	7764
G00049MO	14075
G00049MO	16225
G00049MO	16344
G00049MO	16405
G00049MO	16462
G00049MO	16881
G00049MO	17013
G00049MO	17492
G00049MO	17704
G00049MO	18402
G00049MO	18410
G00049MO	18414
G00049MO	18428
G00049MO	18482
G00049MO	18646
G00049MO	19320
G00049MO	19510
G00049MO	20843
G00049MO	21117
G00049MO	21195
G00049MO	21889
G00049MO	22781
G00049MO	23027
G00049MO	25474
G00049MO	25512
G00049MO	26474
G00049MO	26602
G00049MO	27233
G00049MO	27538
G00049MO	33733
G00049MO	34914
G00049MO	35926
G00049MO	36055
G00049MO	36111
G00049MO	36165
G00049MO	37150
G00049MO	37215
G00049MO	41524
G00049MO	43546
G00049MO	43808
G00049MO	44618
G00049MO	47562
G00049MO	480
G00049MO	481
G00049MO	48134
G00049MO	48548
G00049MO	50494
G00049MO	5298
G00049MO	5512
G00049MO	8599
G00050MO	11647
G00050MO	14076
G00050MO	14545
G00050MO	14898
G00050MO	15609
G00050MO	16293
G00050MO	16566
G00050MO	18203
G00050MO	18420
G00050MO	18437
G00050MO	19508
G00050MO	21071
G00050MO	21321
G00050MO	21741
G00050MO	21883
G00050MO	21903
G00050MO	22779
G00050MO	25513
G00050MO	2603
G00050MO	29099
G00050MO	33616
G00050MO	35052
G00050MO	35061
G00050MO	40777
G00050MO	42842
G00050MO	43866
G00050MO	50200
G00050MO	50492
G00050MO	706
G00050MO	707
G00050MO	8360
G00050MO	8723
G00051MO	10754
G00051MO	10780
G00051MO	14881
G00051MO	21240
G00051MO	22777
G00051MO	23567
G00051MO	2464
G00051MO	2465
G00051MO	2466
G00051MO	24780
G00051MO	25837
G00051MO	26753
G00051MO	28521
G00051MO	28541
G00051MO	28577
G00051MO	28586
G00051MO	29466
G00051MO	30801
G00051MO	31612
G00051MO	31648
G00051MO	32263
G00051MO	32264
G00051MO	32816
G00051MO	33033
G00051MO	33145
G00051MO	33903
G00051MO	33916
G00051MO	34675
G00051MO	34702
G00051MO	34847
G00051MO	34945
G00051MO	34979
G00051MO	35089
G00051MO	35240
G00051MO	35278
G00051MO	3543
G00051MO	35711
G00051MO	35824
G00051MO	35853
G00051MO	35975
G00051MO	36230
G00051MO	36553
G00051MO	36883
G00051MO	36907
G00051MO	36919
G00051MO	36943
G00051MO	36959
G00051MO	37026
G00051MO	37263
G00051MO	379
G00051MO	38314
G00051MO	38376
G00051MO	38645
G00051MO	38701
G00051MO	40293
G00051MO	40356
G00051MO	41899
G00051MO	42057
G00051MO	42748
G00051MO	42872
G00051MO	42933
G00051MO	43212
G00051MO	43449
G00051MO	43767
G00051MO	43768
G00051MO	43810
G00051MO	44017
G00051MO	44220
G00051MO	44363
G00051MO	44370
G00051MO	44512
G00051MO	44878
G00051MO	45122
G00051MO	4538
G00051MO	45866
G00051MO	46169
G00051MO	46190
G00051MO	46199
G00051MO	46376
G00051MO	46414
