SID,REGID,CID
252296937,G32076TW,91862679
252296936,G99951MO,91862678
252296935,G79737JA,91862677
252296934,G24512IC,91862676
252296933,G48898TH,57339194
252296932,G58474MY,21627869
252296931,G45560HM,91862675
252296930,G15797BE,91862674
252296929,G40460RA,91862673
252296928,G42305DG,91862672
252296927,G03666NQ,91862671
252296926,G49616WZ,91862670
252296925,G32781PL,91862669
252296924,G88241WJ,91862668
252296923,G49480AS,91862667
252296922,G20908QO,91862666
252296921,G75858VL,91885651
252296920,G29796ZE,91862664
252296919,G95862MW,91862663
252296918,G68927OS,10267
252296917,G12617AB,91862662
252296916,G88396HX,91862661
252296915,G89090WX,91862660
252296914,G69888XT,91862659
252296913,G75197HN,91862658
252296912,G21410AR,91862657
252296911,G05946XD,441035
252296910,G87820MQ,91852021
252296909,G70697FM,46185937
252296908,G17160BN,136666731
252296907,G55829QO,91862655
252296906,G86309LD,91862654
252296905,G75485SI,91489367
252296904,G84849IE,91862653
252296903,G88396AL,91862652
252296902,G75461SV,91862651
252296901,G45767XH,91862650
252296900,G85205IS,91862649
252296899,G60273PS,91862648
252296898,G10385EY,91862647
252296897,G21110GE,91862646
252296896,G47773BX,51351801
252296895,G30011VO,91862645
252296894,G85872LH,91862644
252296893,G41078PD,5287993
252296892,G26473JD,91862643
252296891,G31135WM,56836112
252296890,G68750IB,91862642
252296889,G10911ZB,91862641
252296888,G63103GD,91862640
252296887,G19353QT,91862639
252296886,G68140PE,91862638
252296885,G68983XG,91862637
252296884,G08783WL,91862636
252296883,G41499DL,91862635
252296882,G73638NT,91862634
252296881,G22177SA,91862633
252296880,G02507UG,91862632
252296879,G42003FG,5288378
252296878,G82746VF,71297253
252296877,G81130PO,91862631
252296876,G41836YE,91862630
252296875,G93379TV,91862629
252296874,G18113TU,91862628
252296873,G85873JQ,91862627
252296872,G37521FQ,91862626
252296871,G32803FN,91862625
252296870,G41812FF,71297473
252296869,G41812QN,91862624
252296868,G30184ZO,91862623
252296867,G56850KS,91862622
252296866,G42908EG,71298200
252296865,G64545TQ,91862621
252296864,G54300AX,91862620
252296863,G76726PJ,91862619
252296862,G15512ZG,91862618
252296861,G12185WN,91862617
252296860,G94934HZ,53356681
252296859,G39696RK,91862616
252296858,G90328PY,91862615
252296857,G61026BS,91862614
252296856,G97881KR,91862613
252296855,G15167GU,136666730
252296854,G59932ZF,91862611
252296853,G22754NV,91862610
252296852,G56756HZ,65127
252296851,G88411RP,91862609
252296850,G51449MC,91862608
252296849,G90966NV,91862607
252296848,G92315KF,5459947
252296847,G70445JJ,91862606
252296846,G78980OK,91862605
252296845,G05096LE,91862604
252296844,G67610CQ,91862603
252296843,G97583DJ,57106720
252296842,G08282ML,91862602
252296841,G27164TZ,91862601
252296840,G75096PE,91862600
252296839,G20061RO,71298120
252296838,G31619DM,91862599
252296837,G36388EA,91862598
252296836,G42028VS,71297678
252296835,G39437CF,21673257
252296834,G64564BP,91862597
252296833,G88978UV,46236626
252296832,G29849KU,91862596
252296831,G11457RF,91862595
252296830,G86049ID,91862594
252296829,G23011ET,91862593
252296828,G16235BU,91862592
252296827,G56933JF,91862591
252296826,G58293BE,91862590
252296825,G84824ZO,10712
252296824,G79126ZL,91862589
252296823,G57141VD,91862588
252296822,G90889KG,71297692
252296821,G86389SS,91862587
252296820,G18819HY,91862586
252296819,G58870SD,91862585
252296818,G16708YX,91862584
252296817,G08631JB,91862583
252296816,G29848AT,91862582
252296815,G48806LN,91862581
252296814,G09391SV,91862580
252296813,G33304JP,91862579
252296812,G15439CY,91862578
252296811,G03081TH,91862577
252296810,G10419AP,91862576
252296809,G64851ON,91862575
252296808,G91549QU,91862574
252296807,G53110VE,91862573
252296806,G01702SO,74539966
252296805,G69955IB,91862572
252296804,G60397EF,91862571
252296803,G43730BS,91862570
252296802,G66650NK,91862569
252296801,G10240SH,91862568
252296800,G46626DA,91862567
252296799,G07810DU,91862566
252296798,G74716XL,71297756
252296797,G53943KH,91862565
252296796,G30105ET,91862564
252296795,G81725PI,91862563
252296794,G34213DE,91862562
252296793,G67449HM,91862561
252296792,G01747MA,91862560
252296791,G18721GF,54157542
252296790,G71635ZC,91862559
252296789,G17897SP,91862558
