G07799LX	HexNAc(4)Hex(5)dHex(3)NeuAc(1)
G07847PX	HexNAc(4)Hex(3)dHex(2)NeuAc(6)
G07856GX	HexNAc(6)Hex(10)dHex(2)
G07888KH	Hex(3)dHex(2)
G08006BD	Hex(14)Phospho(1)
G08014IP	HexNAc(3)Hex(3)dHex(6)
G08023SJ	HexNAc(6)Hex(3)dHex(5)NeuAc(2)
G08053CX	HexNAc(8)Hex(10)dHex(4)
G08121IQ	HexNAc(6)Hex(5)Fuc(1)NeuGc(3)
G08139BP	HexNAc(6)Hex(10)dHex(5)
G08208QR	HexNAc(6)Hex(2)
G08215ZD	Hex(2)Sulpho(4)
G08250HU	HexNAc(3)Hex(1)NeuAc(4)
G08293MJ	HexNAc(4)Hex(5)dHex(1)NeuAc(1)
G08308YR	HexNAc(3)Hex(8)dHex(2)
G08453HV	Hex(1)dHex(1)
G08457HQ	HexNAc(9)Hex(1)dHex(9)
G08539HC	HexNAc(7)Hex(6)Fuc(1)NeuAc(1)
G08561DP	HexNAc(5)Hex(3)dHex(6)NeuAc(1)
G08578KJ	HexNAc(9)Hex(9)dHex(1)
G08590QR	HexNAc(1)Hex(3)
G08594TS	HexNAc(1)Hex(3)dHex(4)
G08609CW	HexNAc(7)Hex(6)Fuc(1)NeuAc(4)
G08691QG	HexNAc(1)Hex(4)dHex(2)
G08729IZ	HexNAc(2)Hex(5)Pent(3)
G08775HA	HexNAc(1)Hex(1)Phospho(1)
G08785MP	HexNAc(6)Hex(3)NeuGc(1)
G08805HB	HexNAc(3)Hex(3)dHex(2)NeuAc(1)
G08838PW	Hex(10)dHex(2)Pent(6)
G08916ML	Hex(2)dHex(3)
G08918QI	HexNAc(5)Hex(14)
G08918WF	HexNAc(4)Hex(5)Fuc(2)NeuAc(1)
G09084RP	HexNAc(7)Hex(6)dHex(2)
G09086VB	HexNAc(13)Hex(14)dHex(1)
G09197ZW	HexNAc(4)Hex(6)dHex(1)
G09223FP	HexNAc(5)Hex(2)Fuc(5)NeuAc(1)
G09277XQ	HexNAc(4)Hex(4)dHex(3)Pent(1)
G09281FA	NeuAc(5)
G09368HV	Hex(5)Pent(4)
G09375WA	Hex(5)dHex(2)
G09406IK	HexNAc(6)Hex(5)NeuAc(2)
