G03964PW	HexNAc4Hex6dHex1NeuGc1
G04040IT	Hex5S5
G04055MU	HexNAc9Hex7dHex1NeuAc1
G04088UN	HexNAc2dHex8
G04203ZT	HexNAc3S1
G04331HP	HexNAc7Hex1dHex7NeuAc3
G04392VI	HexNAc2dHex3NeuGc3
G04424FL	Pent2HexA1
G04469GF	HexNAc6Hex10dHex4
G04507NJ	Hex5Pent2
G04612UW	HexNAc5Hex6NeuAc2S1
G04651TU	HexNAc4Hex5dHex1HexA1
G04664LP	HexA2
G04681UD	HexNAc1Hex10
G04734ND	dHex3HexA6
G04784US	HexNAc5Hex6dHex3NeuAc1
G04854VP	HexNAc8Hex5
G04904WP	HexNAc8Hex2dHex4NeuAc1
G04939HG	Hex2P2
G04941DP	HexNAc1Hex3S1HexA1
G05049IC	HexNAc6Hex6dHex2
G05051WF	HexNAc6Hex7NeuAc1NeuGc1
G05178YC	HexNAc4dHex4NeuAc3
G05243OF	HexNAc3Hex4NeuGc1
G05289OX	HexNAc4Hex2NeuAc3
G05378EG	HexNAc4dHex4NeuAc4NeuGc2
G05394UY	HexNAc1Hex2
G05460KC	HexNAc2Hex1dHex2
G05505YW	HexNAc6Hex5dHex4NeuAc2
G05528SJ	HexNAc11Hex11NeuAc1
G05609XV	HexNAc5Hex7NeuAc2
G05620XR	HexNAc4dHex3NeuAc2
G05645NK	HexNAc1Hex6
G05664AS	HexNAc6Hex8dHex1NeuAc1
G05700KC	HexNAc1Hex1Pent1P1
G05761AI	HexNAc1Hex1dHex1NeuAc1S1
G05807DV	HexNAc5dHex4NeuAc1P2
G05926FW	HexNAc9Hex3dHex1
G05931YV	HexNAc1HexA1
G05933EN	HexNAc4Hex5dHex4
G06042JP	HexNAc2dHex1
G06045JZ	HexNAc4Hex3dHex1NeuGc5
G06046KU	HexNAc2Hex4dHex2NeuAc1
G06048QL	HexNAc2Hex2NeuGc1
G06075RK	HexNAc1Hex3dHex1S1HexA1
G06088ET	HexNAc4dHex4NeuAc1NeuGc1
G06112AG	HexNAc4dHex5NeuAc1NeuGc2
G06156DS	HexNAc2Hex14
G06164JP	HexNAc1dHex3HexA1
G06184AZ	Hex11dHex3Pent6
G06231AO	HexNAc3Hex5dHex3
G06242AY	HexNAc6Hex8dHex3
G06247RL	HexNAc5Hex6NeuAc3
G06393BZ	HexNAc9Hex9dHex1NeuAc1
G06394GI	HexNAc8Hex8dHex2NeuAc4
G06461TM	HexNAc1Hex1S1
G06534GX	Hex3dHex1Pent1
G06583FZ	HexNAc2Hex15
G06605CW	dHex2S5
G06626ND	HexNAc8Hex8dHex3NeuAc4
G06695ES	HexNAc10Hex10dHex3
G06704MH	HexNAc5Hex6dHex2NeuAc3
G06718RB	HexNAc1dHex1NeuAc1
G06765VS	HexNAc6dHex4NeuAc2
G06818RT	HexNAc7Hex8dHex1NeuAc3NeuGc1
G06829PV	Hex1P1
G06853GH	HexNAc7Hex4dHex1
G06854MP	HexNAc1Hex1dHex4
G06932DR	HexNAc1Hex2S1
G06984PP	HexNAc2dHex3NeuAc2
G06986ZW	HexNAc9Hex16
G07032AA	HexNAc3Hex2dHex2NeuAc5
G07036HW	HexNAc6Hex5NeuAc3
G07238JI	HexNAc7Hex7dHex1NeuAc2S2
G07278EA	HexNAc13Hex15
G07281TY	HexNAc3dHex2P1
G07325EF	HexNAc10Hex18
G07342AF	HexNAc3dHex6NeuAc3
G07416NL	HexNAc3Hex3dHex2Pent2
G07427JK	HexNAc11Hex11dHex3
G07609DD	HexNAc5Hex1dHex3
G07697LN	HexNAc6Hex1dHex6NeuAc3
G07698FG	HexNAc3Hex5dHex1Pent1
G07711PE	HexNAc3dHex3NeuAc1NeuGc2
G07764QX	HexNAc5Hex5NeuAc1NeuGc1
G07799LX	HexNAc4Hex5dHex3NeuAc1
G07810QS	HexNAc7Hex8NeuAc2
G07847PX	HexNAc4Hex3dHex2NeuAc6
G07856GX	HexNAc6Hex10dHex2
G07888KH	Hex3dHex2
G07937JG	HexNAc4Hex5NeuGc3
G07994XN	HexNAc3dHex5NeuGc2
G08006BD	Hex14P1
G08014IP	HexNAc3Hex3dHex6
G08023SJ	HexNAc6Hex3dHex5NeuAc2
G08053CX	HexNAc8Hex10dHex4
G08139BP	HexNAc6Hex10dHex5
G08188WC	Hex1NeuAc1S1
G08208QR	HexNAc6Hex2
G08215ZD	Hex2S4
G08250HU	HexNAc3Hex1NeuAc4
G08256EB	HexNAc5dHex4NeuGc1P1
G08293MJ	HexNAc4Hex5dHex1NeuAc1
G08308YR	HexNAc3Hex8dHex2
G08423HQ	HexNAc5dHex6NeuAc2NeuGc1
G08453HV	Hex1dHex1
G08457HQ	HexNAc9Hex1dHex9
G08458MD	HexNAc7Hex7dHex2NeuAc1
G08561DP	HexNAc5Hex3dHex6NeuAc1
G08578KJ	HexNAc9Hex9dHex1
G08590QR	HexNAc1Hex3
G08594PJ	HexNAc6Hex9dHex3NeuAc2
G08594TS	HexNAc1Hex3dHex4
G08662QV	HexNAc4dHex4NeuAc2NeuGc1
G08691QG	HexNAc1Hex4dHex2
G08729IZ	HexNAc2Hex5Pent3
G08775HA	HexNAc1Hex1P1
G08785MP	HexNAc6Hex3NeuGc1
G08805HB	HexNAc3Hex3dHex2NeuAc1
G08808PS	HexNAc12Hex13dHex2NeuAc1
G08828RE	HexNAc3dHex3NeuAc3
