accession	replace
G62024GU	G03498CK
G11314AS	G09557UZ
G72787SB	G55070DG
G22572EH	G90224LB
G80323WP	G31010RE
G09406IK	G58210ML
G53404OY	G93855KU
G98602XH	G46528UN
G89390NA	G60290EX
G50947YF	G16417LZ
G20812UT	G83669IK
G21133VQ	G03360IC
G12313UH	G13070ZL
G29939FD	G57338FP
G37501DF	G21119UI
G65558CS	G95771LW
G85383BD	G06765CE
G32885SL	G91199TT
G70242VT	G38716SR
G34328HG	G82642XZ
G33336TU	G39627WV
G18076DR	G82858FU
G51294OZ	G43847RM
G06035SJ	G31332IL
G82986WO	G98035WM
G61481KS	G23498VP
G16981MQ	G17288IS
G67949WF	G13423TH
G41070YH	G25869NX
G19375TH	G43626RR
G83594TJ	G80883KN
G86475DO	G50772XJ
G91389YW	G25884NS
G95571VT	G57890VC
G70495CD	G67738OE
G20191HY	G92195EH
G22715BH	G31028TZ
G56199RI	G56297DP
G32839DB	G80543XY
G92353VG	G93633VH
G10479NQ	G64569ML
G71168ID	G86612FG
G96645EF	G13910JA
G07203DV	G49861MJ
G21766EB	G85527AO
G91557LB	G82646XD
G19017LQ	G00301JN
G98235NV	G63614XZ
G11618YR	G74926XO
G95428BT	G50136PJ
G61282ST	G87892YI
G73821MJ	G13464NW
G38275VO	G57676ST
G33636GH	G68981NN
G20455KP	G51163UA
G40791UK	G72772OZ
G21604FU	G19094FA
G83288FQ	G99096MH
G64112PJ	G01797UE
G19017LQ	G58107UI
G99133WX	G48733LR
G56296FC	G12045NX
G00278JY	G01185VI
G44831DX	G49627YJ
G61737SB	G46738PV
G38584HG	G78073XU
G13398OC	G89845RJ
G74034GS	G07837EP
G24909QV	G57168QF
G49792US	G45313JV
G41674KE	G10623WW
G93793YK	G45241DN
G27620XW	G42118FT
G05551OP	G44791DH
G40178VU	G46867SL
G21863NU	G49835NW
G41796XU	G57304SO
G01191UJ	G85683MA
G80874KA	G64600FZ
G75038IY	G01055ZN
G58568BI	G45987AL
G81092UR	G37822RQ
G38728DI	G81072QM
G35882XL	G58793MQ
G52409FC	G23353WV
G07709WY	G87408WK
G56224BS	G77568BX
G30236HD	G42052JG
G08139DV	G49391WD
G90738WU	G57283XR
G00945TF	G30796HW
G46584KG	G32759ZI
G24228ZC	G31740HK
G59809QW	G20617ME
G90918KQ	G52750OG
G86679IS	G79593RU
G09637DA	G71280ZC
G73501HK	G20521NU
G73602OZ	G27719EQ
G70903BR	G24256GI
G21071DB	G45729FX
G43681VS	G88203PI
G12306QZ	G88203PI
G52858ZO	G43112KI
G26786ID	G74358RQ
G21442IF	G84479BF
G22715BH	G29674YM
G63828GM	G00423ZB
G57866EB	G91815WH
G64112PJ	G76668FN
G50254WF	G26534LT
G51061UK	G48129DD
G74962OJ	G22504EU
G08287LA	G24157SB
G08287LA	G14695QA
G51061UK	G58006LW
G35169MM	G39298TJ
G58350FQ	G64210OS
G21558OI	G53620CN
G63518MY	G23376YQ
G33096VM	G30395RQ
G80628YM	G31856BD
G25368IS	G96156XM
G65065MS	G76663WO
G42935TE	G49682FC
G71810DJ	G31088CK
G10103AZ	G87375AE
G15183AQ	G50310RF
G61046QU	G21569LQ
G36940WM	G22669MP
