"gtc"	"ch"
"https://glytoucan.org/Structures/Glycans/G09686UT"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68415"
"https://glytoucan.org/Structures/Glycans/G04187IN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68432"
"https://glytoucan.org/Structures/Glycans/G00057MO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68448"
"https://glytoucan.org/Structures/Glycans/G09482NW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68450"
"https://glytoucan.org/Structures/Glycans/G05946XD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68462"
"https://glytoucan.org/Structures/Glycans/G11075NK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68471"
"https://glytoucan.org/Structures/Glycans/G04624DG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68473"
"https://glytoucan.org/Structures/Glycans/G06873PC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68474"
"https://glytoucan.org/Structures/Glycans/G08176ZW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68477"
"https://glytoucan.org/Structures/Glycans/G08689WQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68492"
"https://glytoucan.org/Structures/Glycans/G08689WQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68516"
"https://glytoucan.org/Structures/Glycans/G09501KH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68522"
"https://glytoucan.org/Structures/Glycans/G06309ED"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68526"
"https://glytoucan.org/Structures/Glycans/G07357YR"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68582"
"https://glytoucan.org/Structures/Glycans/G09938IH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68586"
"https://glytoucan.org/Structures/Glycans/G01759NM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68587"
"https://glytoucan.org/Structures/Glycans/G04472WL"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68623"
"https://glytoucan.org/Structures/Glycans/G07182IC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68668"
"https://glytoucan.org/Structures/Glycans/G07182IC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68676"
"https://glytoucan.org/Structures/Glycans/G04472WL"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68678"
"https://glytoucan.org/Structures/Glycans/G09921WG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68690"
"https://glytoucan.org/Structures/Glycans/G04443UP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68704"
"https://glytoucan.org/Structures/Glycans/G07031HL"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68727"
"https://glytoucan.org/Structures/Glycans/G09681LD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68843"
"https://glytoucan.org/Structures/Glycans/G09491FI"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68909"
"https://glytoucan.org/Structures/Glycans/G03854WA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68911"
"https://glytoucan.org/Structures/Glycans/G08128VZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68916"
"https://glytoucan.org/Structures/Glycans/G10831QJ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68934"
"https://glytoucan.org/Structures/Glycans/G04266MN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68980"
"https://glytoucan.org/Structures/Glycans/G08425PU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68981"
